email,mission_type,host_country,city,address,phone,website,wikidata_qid
,high commission,Australia,Canberra,,,https://foreignandeu.gov.mt/en/Embassies/Hc_Canberra,http://www.wikidata.org/entity/Q106474571
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q54168880
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69878764
,embassy,Egypt,Cairo,,,https://foreignandeu.gov.mt/en/Embassies/Me_Cairo,http://www.wikidata.org/entity/Q107718499
,embassy,France,,,,https://foreign.gov.mt/fr/embassies/me_paris/Pages/ME_Paris.aspx,http://www.wikidata.org/entity/Q2841814
,honorary consulate,France,6th arrondissement of Lyon,,,,http://www.wikidata.org/entity/Q59676275
,embassy,Germany,Berlin,,,https://foreignaffairs.gov.mt/en/Embassies/Me_Berlin/Pages/Me_Berlin.aspx,http://www.wikidata.org/entity/Q31838855
,high commission,Ghana,Accra,,,,http://www.wikidata.org/entity/Q107718549
,embassy,Greece,Athens,,,https://foreignandeu.gov.mt/en/Embassies/Athens,http://www.wikidata.org/entity/Q107718582
,high commission,India,New Delhi,,,https://foreignandeu.gov.mt/en/Embassies/Hc_New_Delhi,http://www.wikidata.org/entity/Q107718410
,embassy,Ireland,Dublin,,,,http://www.wikidata.org/entity/Q104772064
,embassy,Israel,Tel Aviv,,,https://foreignandeu.gov.mt/en/Embassies/Me_TelAviv,http://www.wikidata.org/entity/Q107718769
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103848646
,honorary consulate,Japan,,,,,http://www.wikidata.org/entity/Q61923727
,embassy,Japan,Minato,,,https://foreignandeu.gov.mt/mt/Embassies/ME_Tokyo,http://www.wikidata.org/entity/Q104491974
,embassy,Kuwait,Kuwait City,,,https://foreignandeu.gov.mt/mt/Embassies/Me_Kuwait_City,http://www.wikidata.org/entity/Q107718842
,embassy,Libya,Tripoli,,,https://foreignandeu.gov.mt/en/Embassies/Me_Tripoli,http://www.wikidata.org/entity/Q107718880
,embassy,Netherlands,The Hague,,,https://foreignandeu.gov.mt/mt/Embassies/Me_The_Hague,http://www.wikidata.org/entity/Q100552616
,embassy,People's Republic of China,Beijing,,,https://foreignandeu.gov.mt/en/Embassies/ME_Beijing,http://www.wikidata.org/entity/Q100276588
,embassy,Poland,Warsaw,,+48-22-646-46-39,http://foreignaffairs.gov.mt/en/Embassies/Me_Warsaw/Pages/Me_Warsaw.aspx,http://www.wikidata.org/entity/Q9149546
,embassy,Portugal,Lisbon,,,https://foreignandeu.gov.mt/mt/Embassies/Me_Lisbon,http://www.wikidata.org/entity/Q105455479
,embassy,Russia,Moscow,,,https://foreignandeu.gov.mt/mt/Embassies/ME_Moscow,http://www.wikidata.org/entity/Q4374020
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68170057
,embassy,Spain,Madrid,,,,http://www.wikidata.org/entity/Q105304699
,embassy,Tunisia,Tunis,,,https://foreignandeu.gov.mt/en/Embassies/Me_Tunis,http://www.wikidata.org/entity/Q107719367
,embassy,Turkey,Ankara,,,https://foreignandeu.gov.mt/en/Embassies/ME_Ankara,http://www.wikidata.org/entity/Q107719407
,consulate general,Turkey,Istanbul,,,,http://www.wikidata.org/entity/Q111584952
,embassy,United Arab Emirates,Abu Dhabi,,,https://foreignandeu.gov.mt/mt/Embassies/ME_Abu_Dhabi,http://www.wikidata.org/entity/Q107719630
,high commission,United Kingdom,Mayfair,,,https://foreignaffairs.gov.mt/en/Embassies/Hc_London/Pages/HC-London.aspx,http://www.wikidata.org/entity/Q16843009
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369782
