email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Algeria,Ben Aknoun,,,https://embamex.sre.gob.mx/argelia/,http://www.wikidata.org/entity/Q111699518
,embassy,Argentina,Buenos Aires,,,https://embamex.sre.gob.mx/argentina/,http://www.wikidata.org/entity/Q110289436
,embassy,Australia,Canberra,,,https://embamex.sre.gob.mx/australia/,http://www.wikidata.org/entity/Q106476933
,embassy,Austria,Vienna,,,https://directorio.sre.gob.mx/index.php/embajadas-de-mexico-en-el-exterior/austria,http://www.wikidata.org/entity/Q24264229
,embassy,Azerbaijan,Baku,,,https://embamex.sre.gob.mx/azerbaiyan/,http://www.wikidata.org/entity/Q111699621
,embassy,Belgium,City of Brussels,,,https://embamex.sre.gob.mx/belgica/,http://www.wikidata.org/entity/Q69883204
,embassy,Belize,Belmopan,,,https://embamex.sre.gob.mx/belice,http://www.wikidata.org/entity/Q111705447
,embassy,Bolivia,La Paz,,,,http://www.wikidata.org/entity/Q110589486
,embassy,Brazil,Brasília,,,https://embamex.sre.gob.mx/brasil/,http://www.wikidata.org/entity/Q105711420
,embassy,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q937730
,embassy,Chile,Las Condes,,,https://embamex.sre.gob.mx/chile,http://www.wikidata.org/entity/Q110477700
,embassy,Colombia,Bogotá,,,https://embamex.sre.gob.mx/colombia,http://www.wikidata.org/entity/Q110890481
,embassy,Costa Rica,San José,,,https://embamex.sre.gob.mx/costarica,http://www.wikidata.org/entity/Q111095719
,embassy,Cuba,Havana,,,https://embamex.sre.gob.mx/cuba,http://www.wikidata.org/entity/Q111705559
,embassy,Czech Republic,Prague,,,https://embamex.sre.gob.mx/republicacheca,http://www.wikidata.org/entity/Q5369788
,embassy,Dominican Republic,Santo Domingo,,,https://embamex.sre.gob.mx/republicadominicana,http://www.wikidata.org/entity/Q111737997
,embassy,Ecuador,Quito,,,https://embamex.sre.gob.mx/ecuador,http://www.wikidata.org/entity/Q110780832
,embassy,Egypt,Cairo,,,https://embamex.sre.gob.mx/egipto,http://www.wikidata.org/entity/Q111705586
,embassy,El Salvador,San Salvador,,,https://embamex.sre.gob.mx/elsalvador,http://www.wikidata.org/entity/Q111705668
