email,mission_type,host_country,city,address,phone,website,wikidata_qid
albania@mfa.gov.me,embassy,Albania,Tirana,,+355-4-226-1309,https://www.gov.me/en/diplomatic-missions/embassies-and-consulates-of-montenegro/albania,http://www.wikidata.org/entity/Q5369797
,embassy,Argentina,Buenos Aires,,,,http://www.wikidata.org/entity/Q108870243
,embassy,Austria,Vienna,,,http://www.me-austria.eu/,http://www.wikidata.org/entity/Q5369795
,embassy,Belgium,Ixelles - Elsene,,,,http://www.wikidata.org/entity/Q69884790
,embassy,Bosnia and Herzegovina,Centar Municipality,,,,http://www.wikidata.org/entity/Q95913143
,embassy,Bulgaria,Stolichna Municipality,,,,http://www.wikidata.org/entity/Q108870323
,embassy,Croatia,Gornji Grad–Medveščak,,,,http://www.wikidata.org/entity/Q5369799
,embassy,France,Paris,,,,http://www.wikidata.org/entity/Q16010352
,embassy,Germany,Berlin,,,,http://www.wikidata.org/entity/Q73264069
,embassy,Greece,Athens,,,,http://www.wikidata.org/entity/Q108870494
,embassy,Hungary,Budapest District V,,,,http://www.wikidata.org/entity/Q108878629
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q56326420
,embassy,Italy,Rome,,,http://ambasciatamontenegro.it/,http://www.wikidata.org/entity/Q103855942
,embassy,North Macedonia,Skopje,,,,http://www.wikidata.org/entity/Q108878998
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q108878347
,embassy,Poland,Warsaw,,+48-22-319-56-70,,http://www.wikidata.org/entity/Q9149476
,embassy,Romania,Bucharest,,,,http://www.wikidata.org/entity/Q106858429
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q4374082
,embassy,Serbia,Belgrade,,,,http://www.wikidata.org/entity/Q108160054
,embassy,Serbia,Pristina,,,,http://www.wikidata.org/entity/Q108878457
,embassy,Slovenia,Ljubljana,,,,http://www.wikidata.org/entity/Q5369796
,embassy,Spain,Madrid,,,,http://www.wikidata.org/entity/Q105305410
,embassy,Switzerland,Bern,,,,http://www.wikidata.org/entity/Q100909070
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q108879193
ukraine@mfa.gov.me,embassy,Ukraine,Kyiv,,+380-44-287-7811,,http://www.wikidata.org/entity/Q30966369
,embassy,United Arab Emirates,Abu Dhabi,,,,http://www.wikidata.org/entity/Q108870281
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q104772189
,embassy,United States of America,"Washington, D.C.",,,http://www.embassyofmontenegrous.info/,http://www.wikidata.org/entity/Q5369798
