email,mission_type,host_country,city,address,phone,website,wikidata_qid
,consulate general,Algeria,Algiers,,,,http://www.wikidata.org/entity/Q122876262
cgalger@maec.gov.ma,embassy,Algeria,El Mouradia,,,,http://www.wikidata.org/entity/Q2841873
cgoran@maec.gov.ma,consulate general,Algeria,Oran,,,,http://www.wikidata.org/entity/Q122876263
cgsba@live.fr,consulate general,Algeria,Sidi Bel Abbès,,,,http://www.wikidata.org/entity/Q122876265
aluanda@maec.gov.ma,embassy,Angola,Luanda,,,,http://www.wikidata.org/entity/Q121770254
sifamarruecos@fibertel.com.ar,embassy,Argentina,Buenos Aires,,,,http://www.wikidata.org/entity/Q110289368
sifmacan@moroccoembassy.org.au,embassy,Australia,Canberra,,,http://www.moroccoembassy.org.au/,http://www.wikidata.org/entity/Q106475871
emb-pmissionvienna@morocco.at,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q104641448
amb.moroccoaz@gmail.com,embassy,Azerbaijan,Baku,,,,http://www.wikidata.org/entity/Q121770252
info@sifamana.org,embassy,Bahrain,Manama,,,,http://www.wikidata.org/entity/Q68170380
sifmadac@citech-bd.com,embassy,Bangladesh,Dhaka,,,,http://www.wikidata.org/entity/Q121770250
consmaranvers@yahoo.fr,consulate general,Belgium,Antwerp,,,,http://www.wikidata.org/entity/Q122876269
consumabruxe@skynet.be,consulate general,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q122876270
sifamabruxe@skynet.be,embassy,Belgium,Etterbeek,,,,http://www.wikidata.org/entity/Q69878922
consumaliege@skynet.be,consulate general,Belgium,Liège,,,,http://www.wikidata.org/entity/Q122876271
ambmacoo.benin@gmail.com,embassy,Benin,Cotonou,,,,http://www.wikidata.org/entity/Q121770248
sifamabr@onix.com.br,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105711008
embassy@ambmarsofia.com,embassy,Bulgaria,Stolichna Municipality,,,,http://www.wikidata.org/entity/Q41589240
maroc1@fasonet.bf,embassy,Burkina Faso,Ouagadougou,,,,http://www.wikidata.org/entity/Q121770246
ambassadedumarocauburundi@gmail.com,embassy,Burundi,Bujumbura,,,,http://www.wikidata.org/entity/Q123557532
