email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Algeria,Dély Ibrahim,,,,http://www.wikidata.org/entity/Q113356530
,embassy,Angola,Luanda,,,,http://www.wikidata.org/entity/Q113356180
,embassy,Belgium,Etterbeek,,,,http://www.wikidata.org/entity/Q69885113
,high commission,Botswana,Gaborone,,,,http://www.wikidata.org/entity/Q113361011
,embassy,Brazil,Brasília,,,http://www.mozambique.org.br/,http://www.wikidata.org/entity/Q105668578
,embassy,Cuba,Havana,,,,http://www.wikidata.org/entity/Q113362616
,embassy,Egypt,Giza,,,,http://www.wikidata.org/entity/Q113361010
,high commission,Eswatini,Mbabane,,,,http://www.wikidata.org/entity/Q113361342
,embassy,Ethiopia,Addis Ababa,,,,http://www.wikidata.org/entity/Q113361242
,embassy,France,,,,https://ambassademozambiquefrance.fr/,http://www.wikidata.org/entity/Q16506785
,embassy,Germany,Mitte,,,http://www.embassy-of-mozambique.de/,http://www.wikidata.org/entity/Q63623993
,high commission,India,New Delhi,,,http://www.wikidata.org/.well-known/genid/5012719cae3497abbb8bf112150eac3d,http://www.wikidata.org/entity/Q106436941
,embassy,Indonesia,Jakarta,,,http://www.embamoc-indonesia.com/,http://www.wikidata.org/entity/Q107608186
,embassy,Italy,Rome,,,http://www.ambasciatamozambico.org,http://www.wikidata.org/entity/Q103856164
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q124417058
,embassy,Japan,Tokyo,,,http://www.embamoc.jp,http://www.wikidata.org/entity/Q11668257
,high commission,Kenya,Nairobi,,,http://mozambiquehighcommission.co.ke/,http://www.wikidata.org/entity/Q104761758
,high commission,Malawi,Lilongwe,,,,http://www.wikidata.org/entity/Q104768031
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q104738598
,embassy,Portugal,Lisbon,,,http://www.embamoc-lisboa.gov.mz/,http://www.wikidata.org/entity/Q105456487
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q104761713
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68170160
,high commission,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106438129
,embassy,Spain,Madrid,,,https://www.mozambique-emb.es/,http://www.wikidata.org/entity/Q105324181
,embassy,Sweden,Sollentuna Municipality,,,http://www.embassymozambique.se/,http://www.wikidata.org/entity/Q18292350
,embassy,Switzerland,Geneva,,,https://www.mozambiqueembassy.ch/,http://www.wikidata.org/entity/Q101012625
,high commission,Tanzania,Dar es Salaam,,,,http://www.wikidata.org/entity/Q106438235
,embassy,United Arab Emirates,Abu Dhabi,,,,http://www.wikidata.org/entity/Q113362674
,high commission,United Kingdom,London,,,https://mozambiquehighcommission.org.uk/,http://www.wikidata.org/entity/Q104772306
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369802
,embassy,Vietnam,Hanoi,,,,http://www.wikidata.org/entity/Q113362963
,high commission,Zambia,Lusaka,,,,http://www.wikidata.org/entity/Q113361391
,embassy,Zimbabwe,Harare,,,,http://www.wikidata.org/entity/Q113361392
