email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Australia,Canberra,,,http://www.mecanberra.com.au,http://www.wikidata.org/entity/Q106477390
,embassy,Austria,Vienna,,,http://myanmarembvienna.at/,http://www.wikidata.org/entity/Q104161719
,embassy,Belgium,Schaerbeek,,,,http://www.wikidata.org/entity/Q69885320
,embassy,Brazil,Brasília,,,http://myanmarbsb.org/,http://www.wikidata.org/entity/Q105714347
,embassy,Canada,Ottawa,,,https://www.meottawa.org/,http://www.wikidata.org/entity/Q106806116
,embassy,Czech Republic,Prague,,,https://www.meprague.org/,http://www.wikidata.org/entity/Q107126382
,embassy,Egypt,,,,,http://www.wikidata.org/entity/Q125496192
,embassy,France,Paris,,,https://www.meparis.org,http://www.wikidata.org/entity/Q20669702
,embassy,Germany,Berlin,,,http://www.meberlin.com/,http://www.wikidata.org/entity/Q60856400
,embassy,India,New Delhi,,,https://www.myanmedelhi.com/,http://www.wikidata.org/entity/Q112657393
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q107608324
,embassy,Israel,Tel Aviv,,,https://www.metelaviv.org/,http://www.wikidata.org/entity/Q109782258
,embassy,Italy,Rome,,,http://meroma-it.com/,http://www.wikidata.org/entity/Q103857342
,embassy,Japan,Shinagawa-ku,,,http://www.myanmar-embassy-tokyo.net/,http://www.wikidata.org/entity/Q61925625
,embassy,Norway,Oslo Municipality,,+47 21 56 69 80,http://www.meoslo.org,http://www.wikidata.org/entity/Q25431465
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q48927556
,consulate general,People's Republic of China,Chongqing,,,,http://www.wikidata.org/entity/Q118398754
,embassy,Russia,Moscow,,,https://memoscow.org/,http://www.wikidata.org/entity/Q7783963
,embassy,Saudi Arabia,Riyadh,,,https://www.meriyadh.org/,http://www.wikidata.org/entity/Q68170066
,embassy,Serbia,Belgrade,,,,http://www.wikidata.org/entity/Q108189043
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106684537
,embassy,Switzerland,Geneva,,,,http://www.wikidata.org/entity/Q100957233
,embassy,Thailand,Bangkok,,,,http://www.wikidata.org/entity/Q77350892
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16896627
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369803
