email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Angola,Luanda,,,http://www.luanda.mirco.gov.na,http://www.wikidata.org/entity/Q106301389
,embassy,Austria,Vienna,,,http://www.embnamibia.at,http://www.wikidata.org/entity/Q1964309
,embassy,Belgium,Woluwe-Saint-Pierre - Sint-Pieters-Woluwe,,,,http://www.wikidata.org/entity/Q69886029
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105714525
,embassy,Cuba,Havana,,,http://www.namembassycuba.co.cu,http://www.wikidata.org/entity/Q111131006
,embassy,Finland,Helsinki,,,http://www.namembassy.fi/,http://www.wikidata.org/entity/Q106211591
,embassy,France,Paris,,,https://embassyofnamibia.fr/,http://www.wikidata.org/entity/Q16303666
,embassy,Germany,Berlin,,,http://www.namibia-botschaft.de/,http://www.wikidata.org/entity/Q1964306
,high commission,India,New Delhi,,,http://www.nhcdelhi.com/,http://www.wikidata.org/entity/Q112660620
,embassy,Japan,Tokyo,,,,http://www.wikidata.org/entity/Q100696145
,high commission,Malaysia,Kuala Lumpur,,,,http://www.wikidata.org/entity/Q107608378
,de facto embassy,Peru,Lima,,,,http://www.wikidata.org/entity/Q121287397
,embassy,Russia,Moscow,,,http://namibian-embassy.ru,http://www.wikidata.org/entity/Q4374026
,high commission,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106685877
,embassy,Sweden,Stockholm,,,,http://www.wikidata.org/entity/Q10594229
,embassy,Switzerland,Geneva,,,http://missionofnamibia.ch/,http://www.wikidata.org/entity/Q101012752
,high commission,United Kingdom,City of Westminster,,,,http://www.wikidata.org/entity/Q16843021
,embassy,United States of America,"Washington, D.C.",,,https://www.namibiaembassyusa.org/,http://www.wikidata.org/entity/Q5369804
