email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Australia,Canberra,,,https://au.nepalembassy.gov.np/,http://www.wikidata.org/entity/Q106486468
,embassy,Austria,Vienna,,,https://at.nepalembassy.gov.np/,http://www.wikidata.org/entity/Q104641770
,embassy,Bahrain,Manama,,,https://bh.nepalembassy.gov.np,http://www.wikidata.org/entity/Q68170709
,embassy,Bangladesh,Dhaka,,,https://bd.nepalembassy.gov.np,http://www.wikidata.org/entity/Q106686342
,embassy,Belgium,Ixelles - Elsene,,,,http://www.wikidata.org/entity/Q69895868
,embassy,Brazil,Brasília,,,http://www.embaixadadonepal.com.br,http://www.wikidata.org/entity/Q105714709
,embassy,Canada,Ottawa,,,https://ca.nepalembassy.gov.np,http://www.wikidata.org/entity/Q106686352
,embassy,Egypt,Cairo,,,https://eg.nepalembassy.gov.np,http://www.wikidata.org/entity/Q106686415
,embassy,France,Paris,,,https://fr.nepalembassy.gov.np/,http://www.wikidata.org/entity/Q20669720
,embassy,Germany,Berlin,,,https://de.nepalembassy.gov.np/,http://www.wikidata.org/entity/Q60860106
,embassy,India,New Delhi,,,https://in.nepalembassy.gov.np,http://www.wikidata.org/entity/Q106686458
,embassy,Israel,Tel Aviv,,,https://il.nepalembassy.gov.np,http://www.wikidata.org/entity/Q106686470
,embassy,Japan,Meguro-ku,,,http://jp.nepalembassy.gov.np/ne/,http://www.wikidata.org/entity/Q50167021
,embassy,Kingdom of Denmark,Copenhagen Municipality,,,https://dk.nepalembassy.gov.np,http://www.wikidata.org/entity/Q106064582
,embassy,Kuwait,Kuwait City,,,https://kw.nepalembassy.gov.np,http://www.wikidata.org/entity/Q106686567
,embassy,Malaysia,Kuala Lumpur,,,https://my.nepalembassy.gov.np,http://www.wikidata.org/entity/Q106686646
,embassy,Myanmar,Yangon,,,https://mm.nepalembassy.gov.np,http://www.wikidata.org/entity/Q106686661
,embassy,Oman,Muscat,,,https://bd.nepalembassy.gov.np,http://www.wikidata.org/entity/Q106686605
,embassy,Pakistan,Islamabad,,,https://pk.nepalembassy.gov.np,http://www.wikidata.org/entity/Q106686667
,embassy,People's Republic of China,Beijing,,,https://cn.nepalembassy.gov.np/,http://www.wikidata.org/entity/Q100278224
,consulate general,People's Republic of China,Chengdu,,,,http://www.wikidata.org/entity/Q119294262
,consulate general,People's Republic of China,Lhasa,,,,http://www.wikidata.org/entity/Q17024885
,embassy,Qatar,Doha,,,https://qa.nepalembassy.gov.np,http://www.wikidata.org/entity/Q106686701
,embassy,Russia,Moscow,,,https://ru.nepalembassy.gov.np,http://www.wikidata.org/entity/Q106686708
,embassy,Saudi Arabia,Riyadh,,,https://sa.nepalembassy.gov.np/,http://www.wikidata.org/entity/Q30591471
,embassy,South Africa,Pretoria,,,https://za.nepalembassy.gov.np/,http://www.wikidata.org/entity/Q106685875
,embassy,South Korea,Seoul,,,https://kr.nepalembassy.gov.np,http://www.wikidata.org/entity/Q106686558
,embassy,Spain,Madrid,,,,http://www.wikidata.org/entity/Q105324915
,embassy,Sri Lanka,Colombo,,,https://lk.nepalembassy.gov.np,http://www.wikidata.org/entity/Q106686725
,embassy,Switzerland,Geneva,,,https://gva.nepalmission.gov.np/,http://www.wikidata.org/entity/Q101067080
eonbangkok@mofa.gov.np,embassy,Thailand,Bangkok,,,https://th.nepalembassy.gov.np/,http://www.wikidata.org/entity/Q106686770
,embassy,United Arab Emirates,Emirate of Abu Dhabi,,,https://ae.nepalembassy.gov.np,http://www.wikidata.org/entity/Q106686787
,embassy,United Kingdom,Royal Borough of Kensington and Chelsea,,,,http://www.wikidata.org/entity/Q16991731
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369805
