email,mission_type,host_country,city,address,phone,website,wikidata_qid
embajadanzba@gmail.com,embassy,Argentina,Buenos Aires,,+54-11-5070-0700,https://www.mfat.govt.nz/en/countries-and-regions/americas/argentina/new-zealand-embassy/,http://www.wikidata.org/entity/Q75980664
nzhccba@bigpond.net.au,high commission,Australia,Canberra,,+61-2-6270-4211,https://www.mfat.govt.nz/en/countries-and-regions/australia/new-zealand-high-commission/,http://www.wikidata.org/entity/Q75829771
,embassy,Austria,Vienna,,+43-1-5053021,https://www.mfat.govt.nz/en/countries-and-regions/europe/austria/new-zealand-embassy-and-permanent-mission/,http://www.wikidata.org/entity/Q54168886
NZHCBarbados@mfat.govt.nz,high commission,Barbados,Saint Michael,,+1-246-622-7800,https://www.mfat.govt.nz/en/countries-and-regions/americas/barbados/,http://www.wikidata.org/entity/Q75830990
nzemb.brussels@mfat.govt.nz,embassy,Belgium,Etterbeek,,+32-2-512-10-40,https://www.mfat.govt.nz/en/countries-and-regions/europe/belgium/new-zealand-embassy-to-belgium/,http://www.wikidata.org/entity/Q69896741
emb.novazelandia@gmail.com,embassy,Brazil,Brasília,,+55-61-3248-9900,https://www.mfat.govt.nz/en/countries-and-regions/latin-america/brazil/new-zealand-embassy/,http://www.wikidata.org/entity/Q75982212
info@nzhcottawa.org,high commission,Canada,Ottawa,,+1-613-238-5991,https://www.mfat.govt.nz/en/countries-and-regions/north-america/canada/new-zealand-high-commission/,http://www.wikidata.org/entity/Q5755098
embajada@nzembassy.cl,embassy,Chile,Las Condes,,+56-2-2616-3000,https://www.mfat.govt.nz/en/countries-and-regions/americas/chile/new-zealand-embassy/,http://www.wikidata.org/entity/Q75983782
nzembajadacolombia@gmail.com,embassy,Colombia,Bogotá,,+57-1-4391666,https://www.mfat.govt.nz/en/countries-and-regions/americas/colombia/new-zealand-embassy/,http://www.wikidata.org/entity/Q75985452
nzhcraro@gmail.com,high commission,Cook Islands,Avarua,,+682-22-201,https://www.mfat.govt.nz/en/countries-and-regions/australia-and-pacific/cook-islands/new-zealand-high-commission-to-the-cook-islands/,http://www.wikidata.org/entity/Q76385318
DIL@mfat.govt.nz,embassy,East Timor,Dili,,+670-331 0087,https://www.mfat.govt.nz/en/countries-and-regions/south-east-asia/timor-leste/new-zealand-embassy/,http://www.wikidata.org/entity/Q76396346
enquiries@nzembassy.org.eg,embassy,Egypt,Cairo,,+20-2-24616000,https://www.mfat.govt.nz/en/countries-and-regions/africa/egypt/new-zealand-embassy-cairo-egypt/contactfull,http://www.wikidata.org/entity/Q75824481
aue@mfat.govt.nz,embassy,Ethiopia,Addis Ababa,,+251-11-515-1269,https://www.mfat.govt.nz/en/countries-and-regions/africa/ethiopia/new-zealand-embassy-to-ethiopia,http://www.wikidata.org/entity/Q75825645
nzhc@unwired.com.fj,high commission,Fiji,Suva,,+679-331-1422,https://www.mfat.govt.nz/en/countries-and-regions/pacific/fiji/new-zealand-high-commission/,http://www.wikidata.org/entity/Q76385535
,embassy,France,,,,https://www.mfat.govt.nz/en/countries-and-regions/europe/france/new-zealand-embassy/,http://www.wikidata.org/entity/Q30055449
nznoumea@mfat.net,consulate general,France,Noumea,,+27-2543,https://www.mfat.govt.nz/en/countries-and-regions/pacific/new-caledonia/new-zealand-consulate-general/,http://www.wikidata.org/entity/Q16543717
nzembber@infoem.org,embassy,Germany,Berlin,,+49-30-206210,https://www.mfat.govt.nz/en/countries-and-regions/europe/germany/berlin/,http://www.wikidata.org/entity/Q67475136
nzcghkg@biznetvigator.com,consulate general,Hong Kong,Hong Kong,,+852-2525-5044,https://www.mfat.govt.nz/en/countries-and-regions/north-asia/hong-kong-sar/new-zealand-consulate-general/,http://www.wikidata.org/entity/Q76319410
nzhcindia@mfat.net,high commission,India,New Delhi,,+91-11-4688-3170,https://www.mfat.govt.nz/countries-and-regions/asia/india/new-zealand-high-commission/,http://www.wikidata.org/entity/Q76392024
