email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,City of Brussels,,,http://ambaniger-bruxelles.be/,http://www.wikidata.org/entity/Q69896311
,embassy,France,,,,https://www.ambassadeniger-fr.org/,http://www.wikidata.org/entity/Q16303704
,embassy,Germany,Berlin,,,http://ambassadeniger.de/,http://www.wikidata.org/entity/Q16746861
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q106486553
,embassy,Italy,Rome,,,http://ambassadeduniger-it.org/,http://www.wikidata.org/entity/Q103862396
,embassy,Ivory Coast,Abidjan,,,,http://www.wikidata.org/entity/Q112898890
,honorary consulate,Japan,,,,,http://www.wikidata.org/entity/Q61877324
,embassy,Kingdom of Denmark,Copenhagen Municipality,,,https://niger.dk/,http://www.wikidata.org/entity/Q106066169
,embassy,Mali,Bamako,,,https://ambniger-mali.org,http://www.wikidata.org/entity/Q105958825
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68170072
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106685876
,embassy,Switzerland,Geneva,,,http://www.ambassade-niger-geneve.net/,http://www.wikidata.org/entity/Q101012710
,embassy,Turkey,Ankara,,,http://www.ambaniger-tr.org/,http://www.wikidata.org/entity/Q24284154
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369808
