email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Angola,Luanda,,,,http://www.wikidata.org/entity/Q105140483
,embassy,Argentina,Buenos Aires,,,,http://www.wikidata.org/entity/Q110289857
,high commission,Australia,Canberra,,,https://nigeria-can.org.au/,http://www.wikidata.org/entity/Q97602023
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q54168900
,embassy,Belgium,Woluwe-Saint-Pierre - Sint-Pieters-Woluwe,,,,http://www.wikidata.org/entity/Q69896506
,embassy,Brazil,Brasília,,,https://nigerianembbrasilia.gov.ng,http://www.wikidata.org/entity/Q105715855
nigbura@yahoo.com,embassy,Burundi,Bujumbura,,+257-22-257076,https://nigerianembbujumbura.gov.ng/,http://www.wikidata.org/entity/Q107418196
,high commission,Canada,Ottawa,,,https://nigeriahcottawa.ca,http://www.wikidata.org/entity/Q106813252
,embassy,Czech Republic,Dejvice,,,,http://www.wikidata.org/entity/Q98756105
,embassy,Egypt,Cairo,,+20 2 2735 8311,,http://www.wikidata.org/entity/Q115483624
,embassy,France,,,,https://www.nigeriafrance.org/,http://www.wikidata.org/entity/Q16303706
,embassy,Germany,Mitte,,,http://www.nigeriaembassygermany.org/,http://www.wikidata.org/entity/Q1989648
,high commission,Ghana,Accra,,,,http://www.wikidata.org/entity/Q15045724
,embassy,Greece,Filothei-Psychiko Municipality,,,,http://www.wikidata.org/entity/Q109676287
,embassy,Guinea,,,,,http://www.wikidata.org/entity/Q111207254
,embassy,Hungary,Budapest,,,http://nigerianembassy.hu,http://www.wikidata.org/entity/Q106885351
,high commission,India,New Delhi,,,https://www.nigerianhcdelhi.in,http://www.wikidata.org/entity/Q112661251
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q107594936
,embassy,Ireland,Dublin,,,https://nigerianembassydublin.org/,http://www.wikidata.org/entity/Q104772406
,embassy,Israel,Tel Aviv,,,http://www.nigerianembassy.co.il/,http://www.wikidata.org/entity/Q109782863
,embassy,Italy,Rome,,,https://nigerianrome.org/,http://www.wikidata.org/entity/Q60855297
,embassy,Italy,Rome,,,http://www.embassyofnigeriatotheholysee.it/,http://www.wikidata.org/entity/Q103863011
,embassy,Ivory Coast,Abidjan,,,,http://www.wikidata.org/entity/Q112898950
,embassy,Japan,Tokyo,,,http://www.nigeriaembassy.jp/,http://www.wikidata.org/entity/Q42310134
,embassy,Libya,Tripoli,,,https://www.nigeriantripoli.org/,http://www.wikidata.org/entity/Q107736808
,embassy,Mexico,Mexico City,,,https://www.nigerianembmexico.org,http://www.wikidata.org/entity/Q111095851
,embassy,Netherlands,The Hague,,,http://www.nigerianembassythehague.nl/,http://www.wikidata.org/entity/Q100497369
,embassy,Niger,Niamey,,+227-20-73-24-10,,http://www.wikidata.org/entity/Q28477643
,embassy,North Korea,Pyongyang,,,,http://www.wikidata.org/entity/Q118920829
,embassy,People's Republic of China,Sanlitun Subdistrict,,,https://beijing.ngembassy.org/,http://www.wikidata.org/entity/Q100272592
,embassy,Poland,Warsaw,,,https://www.nigeriaembassypoland.org,http://www.wikidata.org/entity/Q11685575
,embassy,Portugal,Lisbon,,,http://www.nigeriaemblisbon.org/,http://www.wikidata.org/entity/Q105456451
,embassy,Qatar,Doha,,,https://nigeriaembassydoha.org,http://www.wikidata.org/entity/Q111937782
,embassy,Romania,Voluntari,,,https://www.nigeriaembromania.gov.ng/,http://www.wikidata.org/entity/Q109320686
,embassy,Russia,Moscow,,,http://www.nigerianembassy.ru,http://www.wikidata.org/entity/Q4374030
,embassy,Saudi Arabia,Riyadh,,,https://nigeria.org.sa/,http://www.wikidata.org/entity/Q68170073
,high commission,South Africa,Pretoria,,,https://www.nhcpsa.org,http://www.wikidata.org/entity/Q106685878
,embassy,Spain,Madrid,,,https://www.ng-embassyspain.org/,http://www.wikidata.org/entity/Q28944843
,embassy,Sweden,Stockholm,,,https://nigerianembassy.nu/,http://www.wikidata.org/entity/Q10600649
info@nigerianbern.org,embassy,Switzerland,Bern,,+41-31-384-26-00,,http://www.wikidata.org/entity/Q26979970
,embassy,São Tomé and Príncipe,São Tomé,,,,http://www.wikidata.org/entity/Q105916403
,embassy,Turkey,Ankara,,,https://embassynigeriaturkey.com/,http://www.wikidata.org/entity/Q111029308
nigeriakiev@yahoo.com,embassy,Ukraine,Kyiv,,+38 (044) 259-77-67,http://nigeriaembassykyiv.com.ua/,http://www.wikidata.org/entity/Q12142672
,embassy,United Arab Emirates,,,,,http://www.wikidata.org/entity/Q125495708
,high commission,United Kingdom,City of Westminster,,,,http://www.wikidata.org/entity/Q16843027
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369811
,embassy,Venezuela,Caracas,,,https://www.nigerianembassycaracas.org,http://www.wikidata.org/entity/Q110780911
