email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q54168907
,embassy,Bangladesh,,,,,http://www.wikidata.org/entity/Q124414961
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q18246506
,embassy,Bulgaria,Stolichna Municipality,,,,http://www.wikidata.org/entity/Q41588743
,embassy,Czech Republic,Prague,,,,http://www.wikidata.org/entity/Q101422291
,embassy,Equatorial Guinea,Malabo,,,,http://www.wikidata.org/entity/Q104769813
,embassy,Germany,Mitte,,,,http://www.wikidata.org/entity/Q1229712
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q112112871
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q95593121
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103582498
,de facto embassy,Japan,,,,http://www.chongryon.com/index-kk.htm,http://www.wikidata.org/entity/Q1058121
,embassy,Malaysia,,,,,http://www.wikidata.org/entity/Q110117675
,embassy,Mexico,Mexico City,,,,http://www.wikidata.org/entity/Q103892965
,embassy,Mongolia,Ulaanbaatar,,+976-11-31-0432,,http://www.wikidata.org/entity/Q33309445
,embassy,Pakistan,Islamabad,,,,http://www.wikidata.org/entity/Q98177488
,consulate general,Pakistan,Karachi,,,,http://www.wikidata.org/entity/Q24936099
,consulate general,People's Republic of China,Changchun,,,,http://www.wikidata.org/entity/Q125973629
,embassy,People's Republic of China,Chaoyang District,,,,http://www.wikidata.org/entity/Q15638048
,consulate,People's Republic of China,Hong Kong,,,,http://www.wikidata.org/entity/Q15885438
,consulate general,People's Republic of China,Shanghai,,,,http://www.wikidata.org/entity/Q119269716
,consulate general,People's Republic of China,Shenyang,,,,http://www.wikidata.org/entity/Q125971939
,consulate,People's Republic of China,Tumen,,,,http://www.wikidata.org/entity/Q125973648
,embassy,Poland,Warsaw,,+48-22-840-58-13,http://www.krld.pl/krld/index,http://www.wikidata.org/entity/Q9149527
,embassy,Romania,Bucharest,,,,http://www.wikidata.org/entity/Q106948673
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q4374004
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106683151
,embassy,Spain,Madrid,,,,http://www.wikidata.org/entity/Q62089090
,embassy,Sweden,Lidingö Municipality,,,,http://www.wikidata.org/entity/Q10602149
,embassy,Switzerland,Muri bei Bern,,,,http://www.wikidata.org/entity/Q101029321
,embassy,Syria,Damascus,,,,http://www.wikidata.org/entity/Q107420163
,embassy,Thailand,,,,,http://www.wikidata.org/entity/Q124055062
,embassy,United Kingdom,London,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,http://www.wikidata.org/entity/Q15216570
,embassy,Vietnam,Hanoi,,,,http://www.wikidata.org/entity/Q101422163
