email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Afghanistan,Kabul,,+47-23-95-00-00,https://www.norway.no/afghanistan,http://www.wikidata.org/entity/Q19383572
,embassy,Algeria,Ben Aknoun,,,https://www.norway.no/fr/algeria/,http://www.wikidata.org/entity/Q19383547
emb.luanda@mfa.no,embassy,Angola,Luanda,,,https://norway.no/en/angola,http://www.wikidata.org/entity/Q19383583
,embassy,Argentina,Buenos Aires,,,https://www.norway.no/es/argentina,http://www.wikidata.org/entity/Q19383562
emb.canberra@mfa.no,embassy,Australia,Yarralumla,,+61-2-6270-5700,https://www.norway.no/en/australia/,http://www.wikidata.org/entity/Q19383563
,embassy,Austria,Vienna,,,https://www.norway.no/de/austria/,http://www.wikidata.org/entity/Q19383605
emb.dhaka@mfa.no,embassy,Bangladesh,Dhaka,,+880 2-55668570,https://www.norway.no/en/bangladesh,http://www.wikidata.org/entity/Q19383566
emb.brussels@mfa.no,embassy,Belgium,City of Brussels,,+32-2-238-73-00,https://www.norway.no/en/belgium,http://www.wikidata.org/entity/Q19383559
,embassy,Bosnia and Herzegovina,Sarajevo,,,https://www.norway.no/en/bosnia-herzegovina,http://www.wikidata.org/entity/Q106335998
,embassy,Brazil,Brasília,,,https://www.norway.no/pt/brasil/,http://www.wikidata.org/entity/Q19383557
,embassy,Canada,Ottawa,,,https://www.norway.no/en/canada/,http://www.wikidata.org/entity/Q19383591
,embassy,Chile,Las Condes,,,https://www.norway.no/es/chile/,http://www.wikidata.org/entity/Q19383597
,embassy,Colombia,Bogotá,,,https://www.norway.no/colombia,http://www.wikidata.org/entity/Q106353162
,embassy,Croatia,Zagreb,,,https://www.norway.no/croatia,http://www.wikidata.org/entity/Q106353661
,embassy,Cuba,Havana,,,https://www.norway.no/es/cuba/,http://www.wikidata.org/entity/Q19383571
,embassy,Czech Republic,Prague,,,https://www.norway.no/cs/Czech-Republic/,http://www.wikidata.org/entity/Q19383592
,embassy,Democratic Republic of the Congo,Kinshasa,,,https://www.norway.no/fr/democratic-republic-of-congo/,http://www.wikidata.org/entity/Q106354140
,embassy,Egypt,Cairo,,,https://www.norway.no/en/egypt/,http://www.wikidata.org/entity/Q19383573
,embassy,Estonia,Tallinn City,,,,http://www.wikidata.org/entity/Q17634309
,embassy,Ethiopia,Addis Ababa,,,https://www.norway.no/en/ethiopia,http://www.wikidata.org/entity/Q19383546
,embassy,Finland,Helsinki,,,https://www.norway.no/finland,http://www.wikidata.org/entity/Q15233677
,embassy,France,,,,https://www.norway.no/fr/france/,http://www.wikidata.org/entity/Q2841823
,embassy,Georgia,Tbilisi,,,https://www.norway.no/georgia,http://www.wikidata.org/entity/Q106355483
,embassy,Germany,Berlin,,,https://www.norway.no/de/germany/,http://www.wikidata.org/entity/Q19383554
,embassy,Ghana,Accra,,,https://www.norway.no/en/ghana/,http://www.wikidata.org/entity/Q19383545
,embassy,Greece,Athens,,,,http://www.wikidata.org/entity/Q19383550
,embassy,Guinea,Conakry,,,,http://www.wikidata.org/entity/Q120550779
,embassy,Hungary,Budapest District I,,,https://www.norway.no/hungary/,http://www.wikidata.org/entity/Q19383561
,embassy,Iceland,Reykjavík,,,https://www.norway.no/no/Iceland/,http://www.wikidata.org/entity/Q19383596
