email,mission_type,host_country,city,address,phone,website,wikidata_qid
,honorary consulate,Armenia,Yerevan,,,,http://www.wikidata.org/entity/Q120253338
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q54168921
,embassy,Bahrain,Manama,,,,http://www.wikidata.org/entity/Q68170388
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69897228
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105715877
,embassy,Cyprus,Strovolos,,,,http://www.wikidata.org/entity/Q109783391
,embassy,Egypt,,,,,http://www.wikidata.org/entity/Q125496181
,embassy,France,,,,,http://www.wikidata.org/entity/Q16303652
,embassy,Germany,Berlin,,,,http://www.wikidata.org/entity/Q60860150
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q112661267
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q107622661
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103868245
,embassy,Japan,Tokyo,,,http://www.omanembassy.jp/,http://www.wikidata.org/entity/Q15264061
,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q100498316
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q100273136
,embassy,Qatar,Doha,,+974-449-31514,,http://www.wikidata.org/entity/Q107428677
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q106963136
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68170079
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106692473
,embassy,Spain,Madrid,,,http://www.embajadaomanspain.es/,http://www.wikidata.org/entity/Q105326461
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q111029356
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16991732
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369814
