email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Albania,Tirana,,,,http://www.wikidata.org/entity/Q29447512
,embassy,Algeria,Algiers,,,,http://www.wikidata.org/entity/Q29512331
,embassy,Angola,Luanda,,,,http://www.wikidata.org/entity/Q29512341
,embassy,Argentina,Buenos Aires,,,http://palestina.int.ar/,http://www.wikidata.org/entity/Q29512264
,embassy,Australia,,,,https://www.palestine-australia.com/,http://www.wikidata.org/entity/Q51158662
,embassy,Azerbaijan,Baku,,,https://embassyofpalestine.az/ar/,http://www.wikidata.org/entity/Q28112011
bhemb@mofa.pna.ps,embassy,Bahrain,Manama,,+973-1727-6099,http://bh.mofa.pna.ps/ar-jo,http://www.wikidata.org/entity/Q28114149
pemnews.dhk@gmail.com,embassy,Bangladesh,Dhaka,,+880-2-9893895,https://palestinemissionbd.com/,http://www.wikidata.org/entity/Q106752423
,embassy,Belarus,Minsk,,,,http://www.wikidata.org/entity/Q29447914
,embassy,Bosnia and Herzegovina,Centar Municipality,,,,http://www.wikidata.org/entity/Q29424519
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q29512256
,embassy,Brunei,,,,,http://www.wikidata.org/entity/Q28716465
,embassy,Bulgaria,Stolichna Municipality,,,,http://www.wikidata.org/entity/Q29448841
,de facto embassy,Canada,Ottawa,,,https://palestinegd.ca/,http://www.wikidata.org/entity/Q29512313
embajada@embajadapalestina.cl,embassy,Chile,Las Condes,,,http://embajadapalestina.cl/site/,http://www.wikidata.org/entity/Q29512276
,embassy,Colombia,Bogotá,,,,http://www.wikidata.org/entity/Q29512259
,embassy,Cuba,,,,,http://www.wikidata.org/entity/Q29512122
,embassy,Czech Republic,Suchdol,,,https://www.palestine.cz,http://www.wikidata.org/entity/Q29448037
,de facto embassy,Denmark,Copenhagen Municipality,,,,http://www.wikidata.org/entity/Q29448154
,embassy,Djibouti,,,,,http://www.wikidata.org/entity/Q29512327
embapalecuador@gmail.com,embassy,Ecuador,Quito,,+593-2-246-6851,,http://www.wikidata.org/entity/Q29512291
,embassy,Egypt,Cairo,,,,http://www.wikidata.org/entity/Q25918058
,embassy,El Salvador,,,,,http://www.wikidata.org/entity/Q29512258
,embassy,Ethiopia,,,,,http://www.wikidata.org/entity/Q29512318
,embassy,France,Paris,,,,http://www.wikidata.org/entity/Q29424493
,de facto embassy,Germany,Berlin,,,https://palaestina.org,http://www.wikidata.org/entity/Q29448234
,embassy,Ghana,,,,,http://www.wikidata.org/entity/Q29512321
,de facto embassy,Greece,Psychiko,,,,http://www.wikidata.org/entity/Q29448170
,embassy,Honduras,,,,,http://www.wikidata.org/entity/Q29512304
,embassy,Hungary,Budapest,,,https://www.palestine.hu/,http://www.wikidata.org/entity/Q29448245
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q28114098
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q107625739
,embassy,Iran,District 6,,,,http://www.wikidata.org/entity/Q28716470
,embassy,Iraq,,,,http://www.palestineembassyiniraq.net/ar/,http://www.wikidata.org/entity/Q28114110
,consulate,Iraq,Erbil,,,,http://www.wikidata.org/entity/Q107012625
,de facto embassy,Ireland,Dublin,,,https://palestinemission.ie/,http://www.wikidata.org/entity/Q29447717
vaticano@ambpalpss.com,embassy,Italy,Rome,,+39-689-325270,http://palvaticanembassy.org/,http://www.wikidata.org/entity/Q28333661
,embassy,Italy,Rome,,,http://ar.ambasciatapalestina.com/,http://www.wikidata.org/entity/Q29447939
,embassy,Ivory Coast,Abidjan,,,,http://www.wikidata.org/entity/Q29512362
,embassy,Japan,Chiyoda-ku,,,https://www.palembjp.org/,http://www.wikidata.org/entity/Q28111926
,embassy,Jordan,,,,https://palembjo.org/,http://www.wikidata.org/entity/Q28114131
,embassy,Kazakhstan,,,,,http://www.wikidata.org/entity/Q28114159
,embassy,Kuwait,,,,,http://www.wikidata.org/entity/Q28064558
,embassy,Lebanon,Beirut,,,,http://www.wikidata.org/entity/Q25918146
,embassy,Libya,Tripoli,,,,http://www.wikidata.org/entity/Q28059918
,embassy,Malaysia,Kuala Lumpur,,,http://palestineembassy.com.my/,http://www.wikidata.org/entity/Q28122764
,embassy,Maldives,,,,,http://www.wikidata.org/entity/Q28716468
,embassy,Mali,Bamako,,,,http://www.wikidata.org/entity/Q29512352
,embassy,Malta,Swieqi,,,,http://www.wikidata.org/entity/Q29447996
,embassy,Mauritania,,,,https://www.palemb.mr/,http://www.wikidata.org/entity/Q29512325
,embassy,Mexico,Mexico City,,,,http://www.wikidata.org/entity/Q29512315
,embassy,Montenegro,Podgorica,,,,http://www.wikidata.org/entity/Q108916436
,embassy,Morocco,,,,,http://www.wikidata.org/entity/Q29512355
,embassy,Mozambique,Maputo,,,,http://www.wikidata.org/entity/Q29512348
,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q29447951
,embassy,Nicaragua,Managua,,,,http://www.wikidata.org/entity/Q29512263
,embassy,Nigeria,Abuja,,,,http://www.wikidata.org/entity/Q29512345
,embassy,North Korea,Pyongyang,,,,http://www.wikidata.org/entity/Q28716469
,embassy,Northern Cyprus,Nicosia,,,,http://www.wikidata.org/entity/Q29447420
,de facto embassy,Norway,Oslo Municipality,,,http://www.palestine.no/,http://www.wikidata.org/entity/Q29447973
,embassy,Oman,,,,,http://www.wikidata.org/entity/Q28114084
,embassy,Pakistan,Islamabad,,,,http://www.wikidata.org/entity/Q20635389
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q28114078
,embassy,Peru,Lima,,,https://www.palestinaperu.com/,http://www.wikidata.org/entity/Q29512255
,embassy,Philippines,,,,,http://www.wikidata.org/entity/Q28716466
,embassy,Poland,Warsaw,,,https://www.palestine.pl/,http://www.wikidata.org/entity/Q9149560
,de facto embassy,Portugal,Lisbon,,,,http://www.wikidata.org/entity/Q29448141
,embassy,Qatar,Doha,,,,http://www.wikidata.org/entity/Q28088223
,embassy,Romania,Bucharest,,,,http://www.wikidata.org/entity/Q29448272
,embassy,Russia,Moscow,,,http://palestine.ru/,http://www.wikidata.org/entity/Q29448097
,embassy,Saudi Arabia,Riyadh,,,http://www.palestineembassy.org.sa,http://www.wikidata.org/entity/Q28114093
,embassy,Senegal,,,,,http://www.wikidata.org/entity/Q29512316
,embassy,Serbia,Belgrade,,,,http://www.wikidata.org/entity/Q108107473
,embassy,Slovakia,Bratislava,,,,http://www.wikidata.org/entity/Q29447860
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q29512366
,embassy,South Korea,,,,,http://www.wikidata.org/entity/Q28716377
,de facto embassy,Spain,Madrid,,,http://www.embajadadepalestina.es,http://www.wikidata.org/entity/Q29448187
,embassy,Sri Lanka,,,,,http://www.wikidata.org/entity/Q28088206
,embassy,Sudan,,,,,http://www.wikidata.org/entity/Q29512338
embassy-se@mfae.gov.ps,embassy,Sweden,Stockholm,,+46-8-151588,https://palestineembassy.se/خدمات-قنصليه/,http://www.wikidata.org/entity/Q19060117
,embassy,Switzerland,Bern,,,,http://www.wikidata.org/entity/Q29448061
,embassy,Syria,,,,https://palemb-sy.com/,http://www.wikidata.org/entity/Q28114106
,embassy,Tanzania,Dar es Salaam,,,,http://www.wikidata.org/entity/Q29512360
,embassy,Thailand,,,,,http://www.wikidata.org/entity/Q28716467
