email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Algeria,Hydra,,,https://www.gob.pe/embajada-del-peru-en-argelia,http://www.wikidata.org/entity/Q110646760
,embassy,Argentina,Buenos Aires,,,https://www.gob.pe/embajada-del-peru-en-argentina,http://www.wikidata.org/entity/Q110300828
,embassy,Australia,Canberra,,,https://www.gob.pe/embajada-del-peru-en-australia/,http://www.wikidata.org/entity/Q106489321
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q54168928
,embassy,Belgium,Woluwe-Saint-Pierre - Sint-Pieters-Woluwe,,,http://www.embajadaperu.be/,http://www.wikidata.org/entity/Q69901836
,embassy,Bolivia,La Paz,,,https://www.gob.pe/embajada-del-peru-en-bolivia,http://www.wikidata.org/entity/Q110589764
conperlapaz@outlook.com,consulate general,Bolivia,La Paz,,+591-2-2750568,http://www.consulado.pe/es/LaPaz/Paginas/Inicio.aspx,http://www.wikidata.org/entity/Q107490659
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105716109
,embassy,Canada,Ottawa,,,http://www.embassyofperu.ca/,http://www.wikidata.org/entity/Q106776702
,embassy,Chile,Providencia,,,https://www.gob.pe/embajada-del-peru-en-chile,http://www.wikidata.org/entity/Q110483909
,embassy,Colombia,Bogotá,,,https://www.gob.pe/embajada-del-peru-en-colombia,http://www.wikidata.org/entity/Q110647692
,embassy,Costa Rica,San José,,,https://www.gob.pe/embajada-del-peru-en-costa-rica,http://www.wikidata.org/entity/Q110648138
,embassy,Cuba,Havana,,,https://www.gob.pe/embajada-del-peru-en-cuba,http://www.wikidata.org/entity/Q94159838
,embassy,Czech Republic,Prague,,,https://www.gob.pe/embajada-del-peru-en-republica-checa/,http://www.wikidata.org/entity/Q107126749
,embassy,Dominican Republic,Santo Domingo,,,https://www.gob.pe/embajada-del-peru-en-republica-dominicana,http://www.wikidata.org/entity/Q110657079
,embassy,Ecuador,Quito,,,https://www.gob.pe/embajada-del-peru-en-ecuador,http://www.wikidata.org/entity/Q110648159
,embassy,Egypt,Cairo,,,https://www.gob.pe/embajada-del-peru-en-egipto,http://www.wikidata.org/entity/Q110648174
,embassy,El Salvador,San Salvador,,,https://www.gob.pe/embajada-del-peru-en-el-salvador,http://www.wikidata.org/entity/Q110648187
,embassy,Finland,Helsinki,,,,http://www.wikidata.org/entity/Q106211710
,embassy,France,,,,https://www.gob.pe/embajada-del-peru-en-francia,http://www.wikidata.org/entity/Q5707495
,consulate general,France,Paris,,,,http://www.wikidata.org/entity/Q118949085
,embassy,Germany,Berlin,,,https://www.gob.pe/embajada-del-peru-en-alemania,http://www.wikidata.org/entity/Q72624148
,embassy,Ghana,Accra,,,https://www.gob.pe/embajada-del-peru-en-ghana,http://www.wikidata.org/entity/Q110648203
,embassy,Greece,Athens,,,https://www.gob.pe/embajada-del-peru-en-grecia,http://www.wikidata.org/entity/Q109321238
,embassy,Honduras,Tegucigalpa,,,https://www.gob.pe/embajada-del-peru-en-honduras,http://www.wikidata.org/entity/Q110655167
,embassy,Hungary,Budapest,,,https://www.gob.pe/embajada-del-peru-en-hungria,http://www.wikidata.org/entity/Q108858733
,embassy,India,New Delhi,,,https://www.gob.pe/embajada-del-peru-en-india,http://www.wikidata.org/entity/Q110655187
,embassy,Indonesia,Jakarta,,,https://www.gob.pe/embajada-del-peru-en-indonesia,http://www.wikidata.org/entity/Q107626087
,embassy,Ireland,Dublin,,,https://www.gob.pe/embajada-del-peru-en-irlanda,http://www.wikidata.org/entity/Q104772530
,embassy,Israel,Herzliya,,,https://www.gob.pe/embajada-del-peru-en-israel,http://www.wikidata.org/entity/Q110655237
conper.florencia@yahoo.it,consulate,Italy,Florence,,+39-055-260-8803,http://www.consulado.pe/es/florencia/Paginas/Inicio.aspx,http://www.wikidata.org/entity/Q79857919
,embassy,Italy,Rome,,,http://portal.rree.gob.pe/Santasede,http://www.wikidata.org/entity/Q56326458
,embassy,Italy,Rome,,,http://www.ambasciataperu.it,http://www.wikidata.org/entity/Q103902370
,consulate general,Japan,Nagoya,,,http://www.consulado.pe/es/Nagoya/Paginas/Inicio.aspx,http://www.wikidata.org/entity/Q61396224
,embassy,Japan,Shibuya-ku,,,https://www.gob.pe/embajada-del-peru-en-japon,http://www.wikidata.org/entity/Q61314250
informacion@consuladoperutokio.org,consulate general,Japan,Shinagawa-ku,,+81-3-5793-4444,http://www.consulado.pe/es/Tokio/Paginas/Inicio.aspx,http://www.wikidata.org/entity/Q61314535
,embassy,Kuwait,Kuwait City,,,https://www.gob.pe/embajada-del-peru-en-kuwait,http://www.wikidata.org/entity/Q110655323
,embassy,Malaysia,Kuala Lumpur,,,https://www.gob.pe/embajada-del-peru-en-malasia,http://www.wikidata.org/entity/Q110655337
,embassy,Mexico,Mexico City,,,https://www.gob.pe/embajada-del-peru-en-mexico,http://www.wikidata.org/entity/Q110656439
,embassy,Morocco,Rabat,,,https://www.gob.pe/embajada-del-peru-en-marruecos,http://www.wikidata.org/entity/Q110655495
,embassy,Netherlands,The Hague,,,https://www.embassyofperu.nl,http://www.wikidata.org/entity/Q100564991
,embassy,New Zealand,Wellington,,,https://www.gob.pe/embajada-del-peru-en-nueva-zelanda,http://www.wikidata.org/entity/Q110656796
,embassy,Nicaragua,Managua,,,,http://www.wikidata.org/entity/Q110656757
,embassy,Norway,Oslo Municipality,,,,http://www.wikidata.org/entity/Q55379895
,embassy,Panama,Panama City,,,https://www.gob.pe/embajada-del-peru-en-panama,http://www.wikidata.org/entity/Q110656830
,embassy,Paraguay,Asunción,,,https://www.gob.pe/embajada-del-peru-en-paraguay,http://www.wikidata.org/entity/Q110573044
,embassy,People's Republic of China,Beijing,,,https://www.gob.pe/embajada-del-peru-en-china,http://www.wikidata.org/entity/Q100276555
,embassy,Poland,Warsaw,,,https://www.gob.pe/embajada-del-peru-en-polonia/,http://www.wikidata.org/entity/Q107470045
,embassy,Portugal,Lisbon,,,http://www.embaixadaperu.pt,http://www.wikidata.org/entity/Q105460744
,embassy,Qatar,Doha,,,https://www.gob.pe/embajada-del-peru-en-qatar,http://www.wikidata.org/entity/Q110656858
,embassy,Romania,Bucharest,,,,http://www.wikidata.org/entity/Q106888225
,embassy,Russia,Moscow,,,https://www.gob.pe/embajada-del-peru-en-rusia,http://www.wikidata.org/entity/Q110190557
,embassy,Saudi Arabia,Riyadh,,,https://www.gob.pe/embajada-del-peru-en-arabia-saudita,http://www.wikidata.org/entity/Q68170155
