email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Argentina,Buenos Aires,,,http://buenosairespe.dfa.gov.ph/,http://www.wikidata.org/entity/Q96377188
,embassy,Australia,Canberra,,,https://www.philembassy.org.au/,http://www.wikidata.org/entity/Q97356787
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q54168936
,embassy,Bahrain,Manama,,,https://manamape.dfa.gov.ph,http://www.wikidata.org/entity/Q68170374
,embassy,Belgium,Ixelles - Elsene,,,,http://www.wikidata.org/entity/Q69902098
,embassy,Brazil,Brasília,,,http://philembassybrasilia.org,http://www.wikidata.org/entity/Q105695553
,embassy,Brunei,Bandar Seri Begawan,,,http://www.philippine-embassybrunei.com,http://www.wikidata.org/entity/Q15216581
,embassy,Canada,Ottawa,,,https://ottawape.dfa.gov.ph/,http://www.wikidata.org/entity/Q96377194
vancouverpcg@telus.net,consulate general,Canada,Vancouver,,,https://www.vancouverpcg.org/,http://www.wikidata.org/entity/Q120604920
,embassy,Chile,Las Condes,,,https://santiagope.dfa.gov.ph/,http://www.wikidata.org/entity/Q96377195
,embassy,Czech Republic,Prague,,,http://www.praguepe.dfa.gov.ph/,http://www.wikidata.org/entity/Q107111726
,embassy,Egypt,Cairo,,,https://cairope.dfa.gov.ph,http://www.wikidata.org/entity/Q104902664
,embassy,France,,,,https://parispe.dfa.gov.ph/,http://www.wikidata.org/entity/Q20669713
,consulate general,Germany,Frankfurt,,,,http://www.wikidata.org/entity/Q107008491
,embassy,Germany,Mitte,,,http://philippine-embassy.de/,http://www.wikidata.org/entity/Q73268247
,embassy,Greece,Psychiko,,,https://athenspe.dfa.gov.ph,http://www.wikidata.org/entity/Q109676605
,embassy,Guinea,,,,,http://www.wikidata.org/entity/Q111207249
,embassy,Hungary,Budapest District II,,,https://budapestpe.dfa.gov.ph,http://www.wikidata.org/entity/Q106949112
,embassy,India,New Delhi,,,https://newdelhipe.dfa.gov.ph,http://www.wikidata.org/entity/Q112662286
,embassy,Indonesia,Central Jakarta,,,https://jakartape.dfa.gov.ph,http://www.wikidata.org/entity/Q96377189
,embassy,Iraq,Baghdad,,,https://baghdadpe.dfa.gov.ph/,http://www.wikidata.org/entity/Q115821522
,embassy,Israel,Tel Aviv,,,,http://www.wikidata.org/entity/Q60775767
,embassy,Italy,Rome,,,http://vaticanpe.dfa.gov.ph/,http://www.wikidata.org/entity/Q56338504
,embassy,Italy,Rome,,,https://romepe.dfa.gov.ph/,http://www.wikidata.org/entity/Q103822047
,consulate general,Japan,Nagoya,,,,http://www.wikidata.org/entity/Q103512932
,consulate general,Japan,Osaka,,,https://osakapcg.dfa.gov.ph/,http://www.wikidata.org/entity/Q78704594
,embassy,Japan,Roppongi,,,https://tokyo.philembassy.net,http://www.wikidata.org/entity/Q52215545
,embassy,Jordan,Amman,,,,http://www.wikidata.org/entity/Q127260172
,embassy,Kingdom of Denmark,Copenhagen Municipality,,,https://copenhagenpe.dfa.gov.ph/,http://www.wikidata.org/entity/Q104821862
,embassy,Lebanon,Baabda,,,http://beirutpe.dfa.gov.ph/,http://www.wikidata.org/entity/Q97356547
,embassy,Malaysia,,,,,http://www.wikidata.org/entity/Q96377192
,embassy,Mexico,Mexico City,,,https://mexicope.dfa.gov.ph/,http://www.wikidata.org/entity/Q96377193
,embassy,Morocco,Rabat,,,https://rabatpe.dfa.gov.ph,http://www.wikidata.org/entity/Q109255294
,embassy,Netherlands,The Hague,,,https://thehaguepe.dfa.gov.ph/,http://www.wikidata.org/entity/Q100570780
,embassy,New Zealand,Wellington,,,https://www.philembassy.org.nz/,http://www.wikidata.org/entity/Q111896202
,embassy,Norway,Oslo Municipality,,,https://oslope.dfa.gov.ph,http://www.wikidata.org/entity/Q11968830
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q119214649
,consulate general,People's Republic of China,Shanghai,,,http://www.philcongenshanghai.org,http://www.wikidata.org/entity/Q15929900
,consulate general,People's Republic of China,Xiamen,,,,http://www.wikidata.org/entity/Q86726660
,embassy,Poland,Warsaw,,+48-22-490-20-25,http://warsawpe.dfa.gov.ph,http://www.wikidata.org/entity/Q9149491
,embassy,Portugal,Lisbon,,,https://lisbonpe.dfa.gov.ph/,http://www.wikidata.org/entity/Q105428841
,embassy,Russia,Moscow,,,https://moscowpe.dfa.gov.ph/,http://www.wikidata.org/entity/Q55610801
,consulate general,Russia,Vladivostok,,,,http://www.wikidata.org/entity/Q57198025
pc.jeddah@gmail.com,consulate general,Saudi Arabia,Jeddah,,+966-12-6696303,https://jeddahpcg.dfa.gov.ph,http://www.wikidata.org/entity/Q107422281
,embassy,Saudi Arabia,Riyadh,,,https://riyadhpe.dfa.gov.ph/,http://www.wikidata.org/entity/Q68170083
,embassy,Singapore,Tanglin,,,,http://www.wikidata.org/entity/Q28419197
,embassy,South Africa,Pretoria,,,https://pretoriape.dfa.gov.ph/,http://www.wikidata.org/entity/Q106692557
consular@philembassy-seoul.com,embassy,South Korea,Yongsan District,,,http://www.philembassy-seoul.com,http://www.wikidata.org/entity/Q107490762
