email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Albania,Tirana,,,https://www.gov.pl/web/albania,http://www.wikidata.org/entity/Q11685581
,embassy,Algeria,Hydra,,,https://www.gov.pl/web/algieria,http://www.wikidata.org/entity/Q30908353
,embassy,Angola,Luanda,,,https://www.gov.pl/web/angola,http://www.wikidata.org/entity/Q30908904
,embassy,Argentina,Buenos Aires,,,https://www.gov.pl/web/argentyna,http://www.wikidata.org/entity/Q30906437
,embassy,Armenia,Yerevan,,,https://www.gov.pl/web/armenia,http://www.wikidata.org/entity/Q30905834
,embassy,Australia,Canberra,,,https://www.gov.pl/web/australia,http://www.wikidata.org/entity/Q5369821
,consulate general,Australia,Sydney,,,http://www.sydney.msz.gov.pl,http://www.wikidata.org/entity/Q48842841
,embassy,Austria,Vienna,,,https://www.gov.pl/austria,http://www.wikidata.org/entity/Q5369829
,embassy,Azerbaijan,Baku,,,https://www.gov.pl/web/azerbejdzan,http://www.wikidata.org/entity/Q30905895
,consulate general,Belarus,Brest,,,https://www.gov.pl/web/bialorus/konsulat-generalny-rp-w-brzesciu,http://www.wikidata.org/entity/Q48856131
,consulate general,Belarus,Hrodna,,,http://www.grodno.msz.gov.pl,http://www.wikidata.org/entity/Q48856125
,embassy,Belarus,Minsk,,,https://www.gov.pl/web/bialorus,http://www.wikidata.org/entity/Q9149578
,embassy,Belgium,City of Brussels,,,https://www.gov.pl/web/belgia,http://www.wikidata.org/entity/Q30909076
,honorary consulate,Bosnia and Herzegovina,Mostar,,,,http://www.wikidata.org/entity/Q115145955
,embassy,Bosnia and Herzegovina,Sarajevo,,,https://www.gov.pl/web/bosniaihercegowina,http://www.wikidata.org/entity/Q30906138
,embassy,Brazil,Brasília,,,http://www.brasilia.msz.gov.pl,http://www.wikidata.org/entity/Q30906401
,consulate general,Brazil,Curitiba,,,http://www.kurytyba.msz.gov.pl,http://www.wikidata.org/entity/Q30906394
,consulate general,Brazil,São Paulo,,,,http://www.wikidata.org/entity/Q84765486
,embassy,Bulgaria,Sofia,,,https://www.gov.pl/web/bulgaria,http://www.wikidata.org/entity/Q30906047
,consulate general,Canada,Montreal,,,https://www.gov.pl/web/kanada/konsulat-generalny-rp-w-montreal,http://www.wikidata.org/entity/Q48851840
