email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Algeria,El Biar,,,https://argel.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105484731
,embassy,Angola,Luanda,,,https://luanda.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105483945
,embassy,Argentina,Buenos Aires,,,https://buenosaires.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105484835
,embassy,Australia,Canberra,,,https://camberra.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105488718
,consulate,Australia,City of Fremantle,,,https://portugalperth.com/,http://www.wikidata.org/entity/Q116057362
,embassy,Austria,Vienna,,,https://viena.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q104643396
,embassy,Belgium,City of Brussels,,,https://www.bruxelas.embaixadaportugal.mne.pt,http://www.wikidata.org/entity/Q69902296
,embassy,Brazil,Brasília,,,https://brasilia.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q18473943
,embassy,Bulgaria,Sofia,,,https://sofia.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105491763
,embassy,Canada,,,,https://otava.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q5369834
,embassy,Cape Verde,Praia,,,https://praia.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105492132
,embassy,Chile,Las Condes,,,https://santiago.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105492967
,embassy,Colombia,Bogotá,,,https://bogota.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105494553
,embassy,Croatia,Zagreb,,,https://zagreb.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105494906
,embassy,Cuba,Havana,,,https://havana.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105494989
,embassy,Czech Republic,Prague,,,https://praga.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105492503
,embassy,Democratic Republic of the Congo,Kinshasa,,,https://kinshasa.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105491917
,embassy,East Timor,Dili,,,https://dili.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q47544991
,embassy,Egypt,Cairo,,,https://cairo.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105495623
,embassy,Ethiopia,Addis Ababa,,,https://adisabeba.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105495575
,embassy,Finland,Helsinki,,,,http://www.wikidata.org/entity/Q105517872
,embassy,France,,,,https://paris.embaixadaportugal.mne.gov.pt/fr/,http://www.wikidata.org/entity/Q20051130
,consulate general,France,6th arrondissement of Lyon,,,http://www.secomunidades.pt/web/lyon,http://www.wikidata.org/entity/Q16507632
,consulate general,France,Bordeaux,,,https://www.bordeus.consuladoportugal.mne.pt/pt/,http://www.wikidata.org/entity/Q16507629
,consulate general,France,Marseille,,,http://www.secomunidades.pt/web/marselha,http://www.wikidata.org/entity/Q16507633
,consulate general,France,Paris,,,http://www.consuladoportugalparis.com,http://www.wikidata.org/entity/Q16507634
,consulate general,France,Strasbourg,,,http://www.secomunidades.pt/web/estrasburgo,http://www.wikidata.org/entity/Q16507660
,embassy,Germany,Mitte,,,https://www.berlim.embaixadaportugal.mne.pt/,http://www.wikidata.org/entity/Q23786534
,embassy,Greece,Athens,,,https://atenas.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105519101
,embassy,Guinea-Bissau,Bissau,,,https://bissau.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105519159
,embassy,Hungary,Budapest,,,https://budapeste.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105519215
,embassy,India,New Delhi,,,https://novadeli.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105489143
,embassy,Indonesia,Jakarta,,,https://jacarta.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105491679
,embassy,Iran,Tehran,,,https://teerao.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105519248
,embassy,Ireland,Dublin,,,https://dublin.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q104773339
,embassy,Israel,Tel Aviv,,,https://telavive.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105120956
,embassy,Italy,Rome,,,https://www.santase.embaixadaportugal.mne.pt,http://www.wikidata.org/entity/Q10272293
,embassy,Italy,Rome,,,https://roma.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q103903813
,embassy,Japan,Tokyo,,,,http://www.wikidata.org/entity/Q61923846
,embassy,Kazakhstan,Astana,,,,http://www.wikidata.org/entity/Q105492422
,embassy,Kenya,Nairobi,,,,http://www.wikidata.org/entity/Q105531227
,embassy,Kingdom of Denmark,Copenhagen Municipality,,,https://copenhaga.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105495477
,embassy,Luxembourg,Luxembourg,,,https://www.luxemburgo.embaixadaportugal.mne.pt,http://www.wikidata.org/entity/Q100787167
,embassy,Mexico,Mexico City,,,https://mexico.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105489246
,embassy,Morocco,Rabat,,,https://rabat.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105519972
,embassy,Mozambique,KaMpfumo district,,,https://maputo.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105517110
,embassy,Namibia,Windhoek,,,https://windhoek.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105530990
,embassy,Netherlands,The Hague,,,https://www.haia.embaixadaportugal.mne.pt/,http://www.wikidata.org/entity/Q100491443
,embassy,Nigeria,Abuja,,,,http://www.wikidata.org/entity/Q105489301
,embassy,Northern Cyprus,Nicosia,,,,http://www.wikidata.org/entity/Q105493058
,embassy,Norway,Oslo Municipality,,,,http://www.wikidata.org/entity/Q17194991
,embassy,Pakistan,Islamabad,,,https://islamabad.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105483183
,de facto embassy,Palestine,Ramallah,,,,http://www.wikidata.org/entity/Q118220593
,embassy,Panama,Panama City,,,https://panama.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105494712
,embassy,People's Republic of China,Beijing,,,https://www.pequim.embaixadaportugal.mne.pt,http://www.wikidata.org/entity/Q100272621
macau@mne.pt,consulate general,People's Republic of China,Macau,,,https://www.cgportugal.org/,http://www.wikidata.org/entity/Q15932771
,embassy,Peru,Lima,,,https://lima.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105490033
,embassy,Poland,Warsaw,,+48-22-511-10-10,http://ambasada-portugalii.pl,http://www.wikidata.org/entity/Q11685579
,embassy,Qatar,Doha,,,https://doha.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105531077
,embassy,Romania,Bucharest,,,https://bucareste.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q105520360
,embassy,Russia,Moscow,,,https://moscovo.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q4374036
,embassy,Saudi Arabia,Riyadh,,,https://riade.embaixadaportugal.mne.gov.pt,http://www.wikidata.org/entity/Q68170086
