email,mission_type,host_country,city,address,phone,website,wikidata_qid
,Quebec Government Office,Belgium,,,,http://www.international.gouv.qc.ca/fr/bruxelles,http://www.wikidata.org/entity/Q17347008
,Quebec Government Office,France,16th arrondissement of Paris,,,http://www.gouv.qc.ca/portail/quebec/international/france/,http://www.wikidata.org/entity/Q335453
,Quebec Government Office,Germany,,,,https://www.international.gouv.qc.ca/fr/allemagne,http://www.wikidata.org/entity/Q16631199
,Quebec Government Office,India,Mumbai,,,https://www.international.gouv.qc.ca/fr/mumbai,http://www.wikidata.org/entity/Q109591583
,Quebec Government Office,Japan,Tokyo,,,http://www.international.gouv.qc.ca/fr/tokyo,http://www.wikidata.org/entity/Q20971023
,Quebec Government Office,Mexico,Mexico City,,,https://www.international.gouv.qc.ca/fr/mexico,http://www.wikidata.org/entity/Q108863735
,Quebec Government Office,People's Republic of China,Beijing,,,https://www.international.gouv.qc.ca/fr/beijing,http://www.wikidata.org/entity/Q109591371
,Quebec Government Office,People's Republic of China,Hong Kong,,,https://www.international.gouv.qc.ca/fr/hong-kong,http://www.wikidata.org/entity/Q109591417
,Quebec Government Office,People's Republic of China,Qingdao,,,https://www.international.gouv.qc.ca/fr/qingdao,http://www.wikidata.org/entity/Q109591383
,Quebec Government Office,People's Republic of China,Shanghai,,,https://www.international.gouv.qc.ca/fr/shanghai,http://www.wikidata.org/entity/Q109591394
,Quebec Government Office,People's Republic of China,Shenzhen,,,https://www.international.gouv.qc.ca/fr/shenzhen,http://www.wikidata.org/entity/Q109591411
,Quebec Government Office,Senegal,Dakar,,,https://www.international.gouv.qc.ca/fr/dakar,http://www.wikidata.org/entity/Q108863838
,Quebec Government Office,Singapore,Singapore,,,https://www.international.gouv.qc.ca/fr/singapour,http://www.wikidata.org/entity/Q109591587
,Quebec Government Office,South Korea,Seoul,,,https://www.international.gouv.qc.ca/fr/seoul,http://www.wikidata.org/entity/Q109591577
,Quebec Government Office,United Kingdom,,,,http://www.international.gouv.qc.ca/fr/londres,http://www.wikidata.org/entity/Q16507689
,Quebec Government Office,United States of America,New York City,,,https://www.international.gouv.qc.ca/fr/new-york,http://www.wikidata.org/entity/Q16507667
