email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69389760
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105690943
,embassy,Canada,Ottawa,,,https://www.ambassadecongocanada.org,http://www.wikidata.org/entity/Q106771704
,embassy,Cuba,Havana,,,,http://www.wikidata.org/entity/Q110844592
,embassy,France,Paris,,,,http://www.wikidata.org/entity/Q16303686
,embassy,Germany,Berlin,,,,http://www.wikidata.org/entity/Q16743781
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q107560374
,embassy,Israel,Herzliya,,,https://www.ambaco-isr.org/,http://www.wikidata.org/entity/Q30743995
,embassy,Italy,Rome,,,https://www.ambasciatadelcongobrazzaville.it/,http://www.wikidata.org/entity/Q103572600
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q119225247
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q106205010
,embassy,South Africa,Pretoria,,,https://www.embassyofcongo.co.za/,http://www.wikidata.org/entity/Q106665387
,embassy,Sweden,Stockholm,,,,http://www.wikidata.org/entity/Q18291323
,embassy,Switzerland,Geneva,,,,http://www.wikidata.org/entity/Q100958441
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q110969540
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369941
