email,mission_type,host_country,city,address,phone,website,wikidata_qid
tirana@mae.ro,embassy,Albania,Tirana,,,https://tirana.mae.ro/,http://www.wikidata.org/entity/Q89188958
alger@mae.ro,embassy,Algeria,Hydra,,,https://alger.mae.ro,http://www.wikidata.org/entity/Q89341850
,embassy,Angola,Luanda,,,http://luanda.mae.ro,http://www.wikidata.org/entity/Q106831329
,embassy,Argentina,Buenos Aires,,,http://buenosaires.mae.ro,http://www.wikidata.org/entity/Q106835029
,embassy,Armenia,Yerevan,,,https://erevan.mae.ro,http://www.wikidata.org/entity/Q89189036
,embassy,Australia,Canberra,,,http://canberra.mae.ro,http://www.wikidata.org/entity/Q106489611
,embassy,Austria,Vienna,,,http://viena.mae.ro/,http://www.wikidata.org/entity/Q54168947
baku@mae.ro,embassy,Azerbaijan,Baku,,,https://baku.mae.ro,http://www.wikidata.org/entity/Q12845101
,embassy,Belarus,Minsk,,,http://minsk.mae.ro,http://www.wikidata.org/entity/Q33119274
,embassy,Belgium,Uccle - Ukkel,,,https://bruxelles.mae.ro/,http://www.wikidata.org/entity/Q69903498
sarajevo@mae.ro,embassy,Bosnia and Herzegovina,Sarajevo,,,https://sarajevo.mae.ro/,http://www.wikidata.org/entity/Q89188830
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105725018
,embassy,Bulgaria,Stolichna Municipality,,,http://sofia.mae.ro/,http://www.wikidata.org/entity/Q41588466
,consulate general,Canada,Montreal,,,https://montreal.mae.ro/,http://www.wikidata.org/entity/Q110344382
,embassy,Canada,Ottawa,,,http://ottawa.mae.ro,http://www.wikidata.org/entity/Q5369838
,honorary consulate,Central African Republic,Bangui,,,https://www.mae.ro/romanian-missions/48206,http://www.wikidata.org/entity/Q89346008
,embassy,Chile,Las Condes,,,http://santiagodechile.mae.ro,http://www.wikidata.org/entity/Q106835393
,embassy,Colombia,Bogotá,,,http://bogota.mae.ro,http://www.wikidata.org/entity/Q106835461
,embassy,Croatia,Zagreb,,,https://zagreb.mae.ro,http://www.wikidata.org/entity/Q89188416
,embassy,Cuba,Havana,,,http://havana.mae.ro,http://www.wikidata.org/entity/Q106834981
,embassy,Czech Republic,Prague,,,https://praga.mae.ro,http://www.wikidata.org/entity/Q3566381
,embassy,Egypt,Cairo,,,http://cairo.mae.ro,http://www.wikidata.org/entity/Q106833885
,embassy,Estonia,Tallinn City,,,http://tallinn.mae.ro,http://www.wikidata.org/entity/Q65262499
addisabeba@mae.ro,embassy,Ethiopia,Addis Ababa,,+251-11-661-0156,https://addisabeba.mae.ro,http://www.wikidata.org/entity/Q89341431
,embassy,Finland,Helsinki,,,https://helsinki.mae.ro/,http://www.wikidata.org/entity/Q89189222
,consulate general,France,3rd arrondissement of Lyon,,,http://lyon.mae.ro/fr,http://www.wikidata.org/entity/Q16507612
,consulate general,France,Marseille,,,http://marsilia.mae.ro/fr,http://www.wikidata.org/entity/Q16507615
,embassy,France,Paris,,,https://paris.mae.ro/fr,http://www.wikidata.org/entity/Q20051110
,consulate general,France,Strasbourg,,,http://strasbourg.mae.ro/fr,http://www.wikidata.org/entity/Q16507613
,embassy,Georgia,Tbilisi,,,http://tbilisi.mae.ro,http://www.wikidata.org/entity/Q106835793
,embassy,Germany,Mitte,,,http://berlin.mae.ro/,http://www.wikidata.org/entity/Q20686236
atena@mae.ro,embassy,Greece,Filothei-Psychiko Municipality,,,https://atena.mae.ro/,http://www.wikidata.org/entity/Q89187801
,embassy,Hungary,Budapest,,,https://budapesta.mae.ro/,http://www.wikidata.org/entity/Q89189164
,consulate general,Hungary,Gyula,,+36-66-465130,https://gyula.mae.ro,http://www.wikidata.org/entity/Q107464428
,embassy,India,New Delhi,,,http://newdelhi.mae.ro,http://www.wikidata.org/entity/Q106843439
,embassy,Indonesia,Jakarta,,,http://jakarta.mae.ro,http://www.wikidata.org/entity/Q106844842
teheran@mae.ro,embassy,Iran,District 12,,+98-21-7764-7570,,http://www.wikidata.org/entity/Q88958794
,embassy,Iraq,Baghdad,,,,http://www.wikidata.org/entity/Q89343372
dublin@mae.ro,embassy,Ireland,Dublin,,,https://dublin.mae.ro,http://www.wikidata.org/entity/Q89189218
,embassy,Israel,Tel Aviv,,,https://telaviv.mae.ro/en,http://www.wikidata.org/entity/Q89370986
,embassy,Italy,Rome,,,http://vatican.mae.ro/,http://www.wikidata.org/entity/Q56337796
,embassy,Italy,Rome,,,https://roma.mae.ro/it,http://www.wikidata.org/entity/Q103908013
,embassy,Japan,Tokyo,,,https://tokyo.mae.ro,http://www.wikidata.org/entity/Q61923869
amman@mae.ro,embassy,Jordan,Amman,,,https://amman.mae.ro,http://www.wikidata.org/entity/Q89341862
