email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Abkhazia,Sukhumi,,,http://www.abkhazia.mid.ru/,http://www.wikidata.org/entity/Q4374039
rusembafg@yandex.ru,embassy,Afghanistan,Kabul,,,http://www.afghanistan.mid.ru,http://www.wikidata.org/entity/Q16687384
,embassy,Albania,Tirana,,,http://www.albania.mid.ru,http://www.wikidata.org/entity/Q16687405
,embassy,Algeria,El Biar,,,http://www.algerie.mid.ru/,http://www.wikidata.org/entity/Q4436010
,embassy,Angola,Luanda,,,https://angola.mid.ru/,http://www.wikidata.org/entity/Q106303333
,embassy,Argentina,Buenos Aires,,,https://argentina.mid.ru,http://www.wikidata.org/entity/Q109922221
,embassy,Armenia,Yerevan,,,https://armenia.mid.ru,http://www.wikidata.org/entity/Q28667078
,embassy,Australia,Canberra,,,http://www.australia.mid.ru,http://www.wikidata.org/entity/Q16487654
,embassy,Austria,Vienna,,,http://austria.mid.ru/,http://www.wikidata.org/entity/Q4555169
,embassy,Azerbaijan,Baku,,,https://azerbaijan.mid.ru/,http://www.wikidata.org/entity/Q16416268
,embassy,Bahrain,Manama,,,https://bahrain.mid.ru,http://www.wikidata.org/entity/Q68170343
,embassy,Bangladesh,Dhaka,,,https://bangladesh.mid.ru,http://www.wikidata.org/entity/Q109923260
rusemb-minsk@yandex.ru,embassy,Belarus,Minsk,,,http://www.belarus.mid.ru/,http://www.wikidata.org/entity/Q4374045
,embassy,Belgium,Uccle - Ukkel,,,http://www.belgium.mid.ru/,http://www.wikidata.org/entity/Q16687387
,embassy,Benin,Cotonou,,,https://benin.mid.ru,http://www.wikidata.org/entity/Q109923547
,embassy,Bolivia,La Paz,,,https://bolivia.mid.ru,http://www.wikidata.org/entity/Q109923736
,embassy,Bosnia and Herzegovina,Centar Municipality,,,https://sarajevo.mid.ru/ru/,http://www.wikidata.org/entity/Q27835115
,embassy,Botswana,Gaborone,,,https://botswana.mid.ru,http://www.wikidata.org/entity/Q109923778
,embassy,Brazil,Brasília,,,https://brazil.mid.ru,http://www.wikidata.org/entity/Q16687391
,embassy,Brunei,Kampong Manggis,,,https://brunei.mid.ru,http://www.wikidata.org/entity/Q109923893
,embassy,Bulgaria,Stolichna Municipality,,,https://bulgaria.mid.ru,http://www.wikidata.org/entity/Q16687389
,embassy,Burundi,Bujumbura,,,https://burundi.mid.ru,http://www.wikidata.org/entity/Q109924068
,embassy,Cambodia,Phnom Penh,,,http://embrusscambodia.mid.ru/,http://www.wikidata.org/entity/Q28666956
,embassy,Cameroon,Yaoundé,,,https://cameroun.mid.ru,http://www.wikidata.org/entity/Q106452701
,embassy,Canada,Ottawa,,,https://canada.mid.ru,http://www.wikidata.org/entity/Q5369847
,embassy,Cape Verde,Praia,,,https://capeverde.mid.ru,http://www.wikidata.org/entity/Q109924093
