email,mission_type,host_country,city,address,phone,website,wikidata_qid
,honorary consulate,Bangladesh,Chittagong,,,,http://www.wikidata.org/entity/Q106457573
,embassy,Belgium,Woluwe-Saint-Pierre - Sint-Pieters-Woluwe,,,https://www.ambarwanda.be/,http://www.wikidata.org/entity/Q69910324
,high commission,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q106821993
,embassy,France,,,,https://www.rwandainfrance.gov.rw/,http://www.wikidata.org/entity/Q2841883
,embassy,Germany,Berlin,,,http://www.rwanda-botschaft.de,http://www.wikidata.org/entity/Q60860863
,embassy,Guinea,Conakry,,,,http://www.wikidata.org/entity/Q112190989
,high commission,India,New Delhi,,,https://www.rwandainindia.gov.rw/,http://www.wikidata.org/entity/Q104764672
,embassy,Israel,Herzliya,,,,http://www.wikidata.org/entity/Q109787094
info@japan.embassy.gov.rw,embassy,Japan,Setagaya-ku,,+81-3-57524255,https://www.rwandainjapan.gov.rw/ja/ホーム,http://www.wikidata.org/entity/Q61877328
,high commission,Kenya,Nairobi,,,https://kenya.embassy.gov.rw/home.html,http://www.wikidata.org/entity/Q106314569
,embassy,Netherlands,The Hague,,,https://www.rwandainthenetherlands.gov.rw,http://www.wikidata.org/entity/Q100502508
,embassy,People's Republic of China,Beijing,,,https://china.embassy.gov.rw/index.php?id=2,http://www.wikidata.org/entity/Q104744322
,embassy,Poland,,,,,http://www.wikidata.org/entity/Q110389130
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q104787086
,high commission,Singapore,Singapore,,,http://rwandahighcomm.org.sg,http://www.wikidata.org/entity/Q106489768
,high commission,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106695085
,embassy,Sweden,Stockholm,,,https://rwandaembassy.se,http://www.wikidata.org/entity/Q18332313
,high commission,Tanzania,Dar es Salaam,,,https://tanzania.embassy.gov.rw/home.html,http://www.wikidata.org/entity/Q104745039
,embassy,Turkey,Ankara,,,https://www.rwandainturkey.gov.rw,http://www.wikidata.org/entity/Q111030291
,high commission,United Kingdom,London,,,https://www.rwandahc.org,http://www.wikidata.org/entity/Q16843043
,embassy,United States of America,"Washington, D.C.",,,http://www.rwandaembassy.org,http://www.wikidata.org/entity/Q5369848
