email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Algeria,Algiers,,,,http://www.wikidata.org/entity/Q102140227
,embassy,Angola,Luanda,,,,http://www.wikidata.org/entity/Q102370817
,embassy,Botswana,Gaborone,,,,http://www.wikidata.org/entity/Q107394067
,embassy,Cuba,Havana,,,,http://www.wikidata.org/entity/Q102197402
,embassy,East Timor,Dili,,,,http://www.wikidata.org/entity/Q102195527
,embassy,Ecuador,Quito,,,,http://www.wikidata.org/entity/Q110814883
,embassy,Mexico,Mexico City,,,https://www.embajadasaharauimexico.org/,http://www.wikidata.org/entity/Q102187880
,embassy,Nicaragua,Managua,,,,http://www.wikidata.org/entity/Q122961827
,embassy,Panama,Panama City,,,,http://www.wikidata.org/entity/Q111109409
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q102186630
,embassy,Uruguay,Montevideo,,,http://embajadasaharauruguay.blogspot.com/,http://www.wikidata.org/entity/Q102196263
,embassy,Venezuela,Caracas,,,,http://www.wikidata.org/entity/Q102196862
