email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Albania,Tirana,,,,http://www.wikidata.org/entity/Q107642697
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q104643869
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69912424
,embassy,Bosnia and Herzegovina,Centar Municipality,,,,http://www.wikidata.org/entity/Q99482491
,embassy,France,Paris,,,,http://www.wikidata.org/entity/Q20669709
,embassy,Indonesia,Jakarta,,,http://rsm-indonesia.com,http://www.wikidata.org/entity/Q107636311
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q56326672
,embassy,Italy,Rome,,,http://www.ambrsm.it,http://www.wikidata.org/entity/Q103921491
,embassy,Japan,Minato,,,http://rsm-giappone.com/,http://www.wikidata.org/entity/Q89149550
,embassy,Spain,Madrid,,,,http://www.wikidata.org/entity/Q105339362
,embassy,Switzerland,Geneva,,,,http://www.wikidata.org/entity/Q100910388
,embassy,United States of America,New York City,,,,http://www.wikidata.org/entity/Q107642747
