email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Afghanistan,Kabul,,,,http://www.wikidata.org/entity/Q54857289
,embassy,Albania,Tirana,,,,http://www.wikidata.org/entity/Q54857094
,embassy,Algeria,Ben Aknoun,,,https://embassies.mofa.gov.sa/sites/algeria,http://www.wikidata.org/entity/Q54857306
,embassy,Argentina,Buenos Aires,,,https://embassies.mofa.gov.sa/sites/argentina,http://www.wikidata.org/entity/Q54857194
,embassy,Australia,Canberra,,,https://embassies.mofa.gov.sa/sites/Australia/AR/Pages/default.aspx,http://www.wikidata.org/entity/Q54857098
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q54857177
,embassy,Azerbaijan,Baku,,,,http://www.wikidata.org/entity/Q16417379
,embassy,Bahrain,Manama,,,,http://www.wikidata.org/entity/Q54857276
bdemb@mofa.gov.sa,embassy,Bangladesh,Dhaka,,+880-298-58882,,http://www.wikidata.org/entity/Q54857293
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q54857091
,embassy,Bosnia and Herzegovina,Sarajevo,,,,http://www.wikidata.org/entity/Q54857165
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q25438234
,embassy,Brunei,Kampong Salar,,,,http://www.wikidata.org/entity/Q54857261
,embassy,Bulgaria,Sofia,,,,http://www.wikidata.org/entity/Q54857180
,embassy,Burkina Faso,Ouagadougou,,,,http://www.wikidata.org/entity/Q54857216
,embassy,Cameroon,Yaoundé,,,,http://www.wikidata.org/entity/Q54857243
,embassy,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q5369849
,embassy,Chad,N'Djamena,,,,http://www.wikidata.org/entity/Q54857237
,embassy,Chile,Las Condes,,,https://embassies.mofa.gov.sa/sites/Chile,http://www.wikidata.org/entity/Q54857196
,embassy,Comoros,Moroni,,,,http://www.wikidata.org/entity/Q54857256
,embassy,Cuba,Havana,,,,http://www.wikidata.org/entity/Q54857209
,embassy,Cyprus,Egkomi Lefkosias,,,,http://www.wikidata.org/entity/Q109788828
,embassy,Czech Republic,Prague,,,,http://www.wikidata.org/entity/Q54857078
,embassy,Djibouti,Djibouti,,,,http://www.wikidata.org/entity/Q54857251
,consulate,Egypt,Alexandria,,+20 3 497 7593,,http://www.wikidata.org/entity/Q113001908
,embassy,Egypt,Giza,,,,http://www.wikidata.org/entity/Q12216178
,embassy,Eritrea,Asmara,,,,http://www.wikidata.org/entity/Q54857246
,embassy,Ethiopia,Addis Ababa,,,,http://www.wikidata.org/entity/Q54857235
,embassy,Finland,Helsinki,,,https://embassies.mofa.gov.sa/sites/finland,http://www.wikidata.org/entity/Q54857192
,embassy,France,,,,https://embassies.mofa.gov.sa/sites/France,http://www.wikidata.org/entity/Q1862835
,embassy,Gabon,Libreville,,,,http://www.wikidata.org/entity/Q54857250
,embassy,Georgia,Tbilisi,,,https://embassies.mofa.gov.sa/sites/Georgia,http://www.wikidata.org/entity/Q111372022
,embassy,Germany,Berlin,,,https://embassies.mofa.gov.sa/sites/Germany,http://www.wikidata.org/entity/Q20181181
,consulate general,Germany,Frankfurt,,,,http://www.wikidata.org/entity/Q57712969
,embassy,Ghana,Accra,,,https://embassies.mofa.gov.sa/sites/Ghana,http://www.wikidata.org/entity/Q54857254
,embassy,Greece,Psychiko,,,,http://www.wikidata.org/entity/Q54857152
,embassy,Guinea,Conakry,,,https://embassies.mofa.gov.sa/sites/Guinea,http://www.wikidata.org/entity/Q54857228
,embassy,Hungary,Budapest District I,,,http://embassies.mofa.gov.sa/sites/Hungary/EN/Pages/default.aspx,http://www.wikidata.org/entity/Q54857112
,embassy,India,New Delhi,,,https://embassies.mofa.gov.sa/sites/India,http://www.wikidata.org/entity/Q54857286
,embassy,Indonesia,Jakarta,,,https://embassies.mofa.gov.sa/sites/indonesia,http://www.wikidata.org/entity/Q28715477
,embassy,Iran,Tehran,,,,http://www.wikidata.org/entity/Q22908116
,embassy,Iraq,,,,,http://www.wikidata.org/entity/Q54857302
,embassy,Ireland,Dublin,,,,http://www.wikidata.org/entity/Q54857304
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q54857159
,embassy,Ivory Coast,Cocody,,,,http://www.wikidata.org/entity/Q54857253
,embassy,Japan,Minato,,,https://embassies.mofa.gov.sa/sites/japan,http://www.wikidata.org/entity/Q31075981
,embassy,Jordan,Amman,,,https://embassies.mofa.gov.sa/sites/jordan,http://www.wikidata.org/entity/Q31075998
,embassy,Kazakhstan,Astana,,,https://embassies.mofa.gov.sa/sites/Kazakhstan,http://www.wikidata.org/entity/Q54857282
,embassy,Kenya,Nairobi,,,https://embassies.mofa.gov.sa/sites/Kenya,http://www.wikidata.org/entity/Q54857255
,embassy,Kingdom of Denmark,Copenhagen Municipality,,,https://embassies.mofa.gov.sa/sites/Denmark,http://www.wikidata.org/entity/Q54857143
,embassy,Kuwait,Kuwait City,,,https://embassies.mofa.gov.sa/sites/kuwait,http://www.wikidata.org/entity/Q54857264
,embassy,Kyrgyzstan,Bishkek,,,https://embassies.mofa.gov.sa/sites/kyrgyzstan,http://www.wikidata.org/entity/Q54857273
,embassy,Lebanon,Beirut,,,https://embassies.mofa.gov.sa/sites/Lebanon,http://www.wikidata.org/entity/Q54857284
