email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Bahrain,,,,,http://www.wikidata.org/entity/Q68170695
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69914083
,embassy,Brazil,Brasília,,,http://senebrasilia.org.br,http://www.wikidata.org/entity/Q105725043
,embassy,Canada,Ottawa,,,http://www.ambsencanada.org/,http://www.wikidata.org/entity/Q96626996
,embassy,Egypt,,,,,http://www.wikidata.org/entity/Q125496187
,embassy,France,,,,http://www.ambasseneparis.com,http://www.wikidata.org/entity/Q2841885
,consulate general,France,16th arrondissement of Paris,,,http://www.consulsen-paris.fr,http://www.wikidata.org/entity/Q16507659
,consulate general,France,6th arrondissement of Lyon,,,,http://www.wikidata.org/entity/Q16507657
,consulate general,France,Bordeaux,,,http://www.consulsenbordeaux.com/,http://www.wikidata.org/entity/Q16507655
,consulate general,France,Marseille,,,http://senconsulatmarseille.com,http://www.wikidata.org/entity/Q16507658
,embassy,Germany,Mitte,,,https://www.botschaft-senegal.de/,http://www.wikidata.org/entity/Q57831709
,embassy,Guinea,,,,,http://www.wikidata.org/entity/Q111207255
,embassy,India,New Delhi,,,http://www.embsenindia.org,http://www.wikidata.org/entity/Q112668067
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q56339882
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103925007
,embassy,Ivory Coast,Abidjan,,,,http://www.wikidata.org/entity/Q112899014
,embassy,Jamaica,Kingston,,,,http://www.wikidata.org/entity/Q110816794
,embassy,Japan,Aobadai 1-chōme,,,http://www.senambatok.org,http://www.wikidata.org/entity/Q61877329
,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q100492377
,embassy,Poland,Warsaw,,+48-22-743-56-45,,http://www.wikidata.org/entity/Q24944854
,embassy,Portugal,Lisbon,,,,http://www.wikidata.org/entity/Q105462914
,embassy,Russia,Moscow,,,https://ambassenmos.ru/,http://www.wikidata.org/entity/Q4374052
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68170092
,embassy,South Africa,Pretoria,,,https://senegalembassy.co.za,http://www.wikidata.org/entity/Q106704300
,embassy,Spain,Madrid,,,,http://www.wikidata.org/entity/Q105342203
info@missionsenegal-geneve.org,embassy,Switzerland,Meyrin,,+41-22-918-02-30,http://www.missionsenegal-geneve.org/,http://www.wikidata.org/entity/Q26995367
,embassy,The Gambia,Kanifing,,,,http://www.wikidata.org/entity/Q61686843
,embassy,Turkey,Ankara,,,http://senegalbuyukelciligi.com,http://www.wikidata.org/entity/Q110973616
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16977057
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369852
