email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Albania,Tirana,,,http://www.tirana.mfa.gov.rs,http://www.wikidata.org/entity/Q108275560
,embassy,Algeria,Hydra,,,http://alger.mfa.gov.rs,http://www.wikidata.org/entity/Q108290155
,embassy,Angola,Luanda,,,http://luanda.mfa.gov.rs/index.php,http://www.wikidata.org/entity/Q106034457
,embassy,Argentina,Buenos Aires,,,http://buenosaires.mfa.gov.rs,http://www.wikidata.org/entity/Q108290200
,embassy,Australia,Canberra,,,http://canberra.mfa.gov.rs,http://www.wikidata.org/entity/Q106489880
,embassy,Austria,Vienna,,+43-1-7132595,http://www.vienna.mfa.gov.rs/,http://www.wikidata.org/entity/Q5369858
,embassy,Azerbaijan,Baku,,,http://www.baku.mfa.gov.rs,http://www.wikidata.org/entity/Q108291533
embassy.minsk@mfa.rs,embassy,Belarus,Minsk,,+375-17-284-29-84,http://www.minsk.mfa.gov.rs/,http://www.wikidata.org/entity/Q33113564
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69914553
,consulate general,Bosnia and Herzegovina,Mostar,,,http://mostar.mfa.gov.rs/cir/,http://www.wikidata.org/entity/Q104531679
,embassy,Bosnia and Herzegovina,Sarajevo,,,http://sarajevo.mfa.gov.rs/,http://www.wikidata.org/entity/Q92086072
,embassy,Brazil,Brasília,,,http://brasilia.mfa.gov.rs,http://www.wikidata.org/entity/Q105725077
,embassy,Bulgaria,Sofia,,,http://sofia.mfa.gov.rs,http://www.wikidata.org/entity/Q108515236
,embassy,Canada,Ottawa,,,http://www.ottawa.mfa.gov.rs,http://www.wikidata.org/entity/Q106786143
,embassy,Croatia,Zagreb,,,http://zagreb.mfa.gov.rs,http://www.wikidata.org/entity/Q107416938
,embassy,Cuba,Havana,,,http://havana.mfa.gov.rs,http://www.wikidata.org/entity/Q108527716
,embassy,Czech Republic,Prague,,,http://prague.mfa.gov.rs,http://www.wikidata.org/entity/Q107140644
,embassy,Democratic Republic of the Congo,Kinshasa,,,http://kinshasa.mfa.gov.rs,http://www.wikidata.org/entity/Q108524382
,embassy,Egypt,Cairo,,,http://www.cairo.mfa.gov.rs/,http://www.wikidata.org/entity/Q108807318
,embassy,Ethiopia,Addis Ababa,,,http://addisababa.mfa.gov.rs,http://www.wikidata.org/entity/Q108807264
,embassy,Finland,Helsinki,,,http://www.helsinki.mfa.gov.rs,http://www.wikidata.org/entity/Q106211841
ambassade.paris@mfa.rs,embassy,France,Paris,,+33-40722424,http://www.paris.mfa.gov.rs/,http://www.wikidata.org/entity/Q7452846
,embassy,Germany,Berlin,,+49-30-8957700,http://www.berlin.mfa.gov.rs/,http://www.wikidata.org/entity/Q5369854
,embassy,Greece,Athens,,,http://www.athens.mfa.gov.rs/,http://www.wikidata.org/entity/Q108807405
,embassy,Guinea,Conakry,,,,http://www.wikidata.org/entity/Q107024827
,embassy,Hungary,Budapest,,+36-1-322-9838,http://www.budapest.mfa.gov.rs/,http://www.wikidata.org/entity/Q5369855
,embassy,India,New Delhi,,,http://www.newdelhi.mfa.gov.rs,http://www.wikidata.org/entity/Q108516272
,embassy,Indonesia,Jakarta,,,http://www.jakarta.mfa.gov.rs,http://www.wikidata.org/entity/Q107636374
,embassy,Iran,Tehran,,,http://tehran.mfa.gov.rs,http://www.wikidata.org/entity/Q108816925
,embassy,Iraq,Baghdad,,,http://www.baghdad.mfa.gov.rs,http://www.wikidata.org/entity/Q108816981
,embassy,Israel,Tel Aviv,,,http://telaviv.mfa.gov.rs,http://www.wikidata.org/entity/Q108817007
,embassy,Italy,Rome,,,http://vatican.mfa.gov.rs/index.php,http://www.wikidata.org/entity/Q56326313
,embassy,Italy,Rome,,,http://roma.mfa.gov.rs,http://www.wikidata.org/entity/Q103927586
,embassy,Japan,Minato,,,http://www.tokyo.mfa.gov.rs/,http://www.wikidata.org/entity/Q61923962
,embassy,Kazakhstan,Astana,,,http://astana.mfa.gov.rs,http://www.wikidata.org/entity/Q108852960
,embassy,Kenya,Nairobi,,,http://nairobi.mfa.gov.rs,http://www.wikidata.org/entity/Q108807381
,embassy,Kingdom of Denmark,Copenhagen Municipality,,,http://copenhagen.mfa.gov.rs,http://www.wikidata.org/entity/Q106069964
,embassy,Kuwait,Kuwait City,,,http://kuwait.mfa.gov.rs,http://www.wikidata.org/entity/Q108516458
,embassy,Lebanon,Beirut,,,http://nicosia.mfa.gov.rs,http://www.wikidata.org/entity/Q108849140
,embassy,Libya,Tripoli,,,http://tripoli.mfa.gov.rs,http://www.wikidata.org/entity/Q108524464
,embassy,Mexico,Mexico City,,,http://www.mexico.mfa.gov.rs,http://www.wikidata.org/entity/Q108527683
,embassy,Montenegro,Podgorica,,,http://podgorica.mfa.gov.rs,http://www.wikidata.org/entity/Q108854412
,embassy,Morocco,Rabat,,,http://rabat.mfa.gov.rs,http://www.wikidata.org/entity/Q108853785
