email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,Woluwe-Saint-Pierre - Sint-Pieters-Woluwe,,,https://www.sierraleoneembassy.brussels/,http://www.wikidata.org/entity/Q16010350
,embassy,Ethiopia,Addis Ababa,,,,http://www.wikidata.org/entity/Q106704716
,embassy,Germany,Steglitz-Zehlendorf,,,http://www.slembassy-germany.org/,http://www.wikidata.org/entity/Q31839264
,embassy,Guinea,,,,,http://www.wikidata.org/entity/Q111207247
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q100272729
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q60861102
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68170097
,embassy,Switzerland,Geneva,,,,http://www.wikidata.org/entity/Q101016366
,embassy,Turkey,Ankara,,,http://www.sierraleoneembassy.org.tr/,http://www.wikidata.org/entity/Q111030509
,high commission,United Kingdom,London,,,https://www.slhc-uk.org/,http://www.wikidata.org/entity/Q16843050
,embassy,United States of America,"Washington, D.C.",,,https://embassyofsierraleone.net/,http://www.wikidata.org/entity/Q5369861
