email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Albania,Tirana,,,https://www.mzv.sk/web/tirana,http://www.wikidata.org/entity/Q52197775
,embassy,Argentina,Buenos Aires,,,https://www.mzv.sk/web/buenosaires,http://www.wikidata.org/entity/Q107001781
,embassy,Armenia,Yerevan,,,https://www.mzv.sk/web/jerevan,http://www.wikidata.org/entity/Q107001880
,embassy,Australia,Canberra,,,https://www.mzv.sk/canberra,http://www.wikidata.org/entity/Q106489901
,embassy,Austria,Vienna,,,https://www.mzv.sk/web/vieden,http://www.wikidata.org/entity/Q104645166
,embassy,Azerbaijan,Baku,,,https://www.mzv.sk/web/baku,http://www.wikidata.org/entity/Q107003049
,embassy,Belarus,Minsk,,,https://www.mzv.sk/web/minsk,http://www.wikidata.org/entity/Q107003114
,embassy,Belgium,Ixelles - Elsene,,,https://www.mzv.sk/web/brusel-fr,http://www.wikidata.org/entity/Q66311103
,embassy,Bosnia and Herzegovina,Centar Municipality,,,https://www.mzv.sk/web/sarajevo,http://www.wikidata.org/entity/Q95592368
,embassy,Brazil,Brasília,,,https://www.mzv.sk/web/brazilia,http://www.wikidata.org/entity/Q105695183
,embassy,Bulgaria,Stolichna Municipality,,,https://www.mzv.sk/web/sofia,http://www.wikidata.org/entity/Q41589218
,embassy,Canada,Ottawa,,,https://www.mzv.sk/web/ottawa,http://www.wikidata.org/entity/Q85759109
,embassy,Croatia,Zagreb,,,https://www.mzv.sk/web/zahreb,http://www.wikidata.org/entity/Q107014234
,embassy,Cuba,Havana,,,https://www.mzv.sk/web/havana,http://www.wikidata.org/entity/Q107023263
,embassy,Cyprus,Strovolos,,,https://www.mzv.sk/web/nicosia,http://www.wikidata.org/entity/Q107012656
,embassy,Czech Republic,Prague,,,https://www.mzv.sk/web/praha/,http://www.wikidata.org/entity/Q64138256
,embassy,Egypt,Giza,,,https://www.mzv.sk/web/kahira,http://www.wikidata.org/entity/Q107012974
,embassy,Ethiopia,Addis Ababa,,,https://www.mzv.sk/web/addisabeba,http://www.wikidata.org/entity/Q107013843
,embassy,Finland,Helsinki,,,https://www.mzv.sk/web/helsinki,http://www.wikidata.org/entity/Q106214908
,embassy,France,Paris,,,https://www.mzv.sk/web/pariz/,http://www.wikidata.org/entity/Q2841837
,embassy,Georgia,Tbilisi,,,https://www.mzv.sk/web/tbilisi,http://www.wikidata.org/entity/Q107014186
,embassy,Germany,Mitte,,,https://www.mzv.sk/web/berlin/,http://www.wikidata.org/entity/Q21036893
,embassy,Greece,Filothei-Psychiko Municipality,,,https://www.mzv.sk/web/ateny,http://www.wikidata.org/entity/Q107014012
,embassy,Guinea,Conakry,,,,http://www.wikidata.org/entity/Q114350155
,embassy,Hungary,Zugló,,,https://www.mzv.sk/web/budapest/,http://www.wikidata.org/entity/Q66828903
