email,mission_type,host_country,city,address,phone,website,wikidata_qid
zenel.hoxha@gmail.com,honorary consulate,Albania,,,+355-4-222-7000,http://www.dirco.gov.za/foreign/sa_abroad/saa.htm#alb,http://www.wikidata.org/entity/Q80782370
algiers.embassy@dirco.gov.za,embassy,Algeria,Algiers,,+213-21-48-44-18,http://www.dirco.gov.za/foreign/sa_abroad/saa.htm#alg,http://www.wikidata.org/entity/Q80784516
luanda.dha@dirco.gov.za,embassy,Angola,Samba,,+244-222-460-818,,http://www.wikidata.org/entity/Q80785445
info.argentina@dirco.gov.za,embassy,Argentina,Buenos Aires,,+54-11-4317-2900,http://www.dirco.gov.za/argentina/,http://www.wikidata.org/entity/Q80800874
info.canberra@dirco.gov.za,high commission,Australia,Canberra,,+61-2-6272-7300,https://www.sahc.org.au/,http://www.wikidata.org/entity/Q80801769
melbourne@honcons.com.au,honorary consulate,Australia,Melbourne,,+61-3-8825-5718,http://www.dirco.gov.za/foreign/sa_abroad/saa.htm#aus,http://www.wikidata.org/entity/Q80803692
repard@paydirt.com.au,honorary consulate,Australia,Perth,,+61-8-9321-0355,https://www.saconsulwa.com/,http://www.wikidata.org/entity/Q80803196
sa.konsulat-tirol@utanet.at,honorary consulate,Austria,Innsbruck,,+43-512-59416,http://www.dirco.gov.za/foreign/sa_abroad/saa.htm#aust,http://www.wikidata.org/entity/Q80805521
wthaler@sbg.at,honorary consulate,Austria,Salzburg,,+43-662-85738560,http://www.dirco.gov.za/foreign/sa_abroad/saa.htm#aust,http://www.wikidata.org/entity/Q80804715
lydia.dyk@dyk-mill.com,honorary consulate,Austria,St. Pölten,,+43-664-5577999,http://www.dirco.gov.za/foreign/sa_abroad/saa.htm#aust,http://www.wikidata.org/entity/Q80806084
vienna.dha@dirco.gov.za,embassy,Austria,Vienna,,+43-1-320649309,https://www.suedafrika-botschaft.at/,http://www.wikidata.org/entity/Q80803715
,honorary consulate,Bahrain,,,+973-1757-6664,http://www.dirco.gov.za/foreign/sa_abroad/sab.htm#Bah,http://www.wikidata.org/entity/Q80892885
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q68189699
,embassy,Benin,Cotonou,,,,http://www.wikidata.org/entity/Q106588484
,high commission,Botswana,Gaborone,,,,http://www.wikidata.org/entity/Q106595912
,embassy,Brazil,Brasília,,,https://www.africadosul.org.br,http://www.wikidata.org/entity/Q105667533
,embassy,Bulgaria,Sofia,,,http://www.dirco.gov.za/sofia,http://www.wikidata.org/entity/Q106595956
,embassy,Burkina Faso,Ouagadougou,,,,http://www.wikidata.org/entity/Q106596013
,embassy,Burundi,Bujumbura,,,,http://www.wikidata.org/entity/Q106596044
,high commission,Cameroon,Yaoundé,,,http://www.dirco.gov.za/cameroon,http://www.wikidata.org/entity/Q106603848
,high commission,Canada,Ottawa,,,http://www.southafrica-canada.ca/,http://www.wikidata.org/entity/Q5755115
,embassy,Chile,Las Condes,,,,http://www.wikidata.org/entity/Q106606195
,embassy,Comoros,Moroni,,,http://www.dirco.gov.za/comoros,http://www.wikidata.org/entity/Q106606291
,embassy,Cuba,Havana,,,,http://www.wikidata.org/entity/Q106614537
,embassy,Czech Republic,Prague,,,http://www.dirco.gov.za/prague/,http://www.wikidata.org/entity/Q106614553
,embassy,Democratic Republic of the Congo,Kinshasa,,,http://www.dirco.gov.za/kinshasa,http://www.wikidata.org/entity/Q106614717
,embassy,Egypt,Cairo,,,http://www.dirco.gov.za/cairo,http://www.wikidata.org/entity/Q106614949
,embassy,Equatorial Guinea,Malabo,,,http://www.dirco.gov.za/malabo,http://www.wikidata.org/entity/Q106614973
,embassy,Eritrea,Asmara,,,,http://www.wikidata.org/entity/Q106617509
,high commission,Eswatini,Mbabane,,,,http://www.wikidata.org/entity/Q106617924
,embassy,Ethiopia,Addis Ababa,,,https://www.southafricanembassyethiopia.com/,http://www.wikidata.org/entity/Q106614738
,high commission,Fiji,Suva,,,,http://www.wikidata.org/entity/Q106617988
,embassy,Finland,Helsinki,,,,http://www.wikidata.org/entity/Q106215188
,embassy,France,,,,https://www.afriquesud.net,http://www.wikidata.org/entity/Q2391616
libreville.dha@dirco.gov.za,embassy,Gabon,Libreville,,+241-774530,http://www.dirco.gov.za/gabon/,http://www.wikidata.org/entity/Q80657171
berlin.info@dirco.gov.za,embassy,Germany,Berlin,,+49-30-220730,https://www.suedafrika.org/,http://www.wikidata.org/entity/Q1311871
,honorary consulate,Germany,Bremen,,+49-421-346200,http://www.dirco.gov.za/foreign/sa_abroad/sag.htm#ger,http://www.wikidata.org/entity/Q80689824
,honorary consulate,Germany,Dortmund,,+49-231-5640011,http://www.dirco.gov.za/foreign/sa_abroad/sag.htm#ger,http://www.wikidata.org/entity/Q80686891
,honorary consulate,Germany,Frankfurt,,+49-69-13623944,http://www.dirco.gov.za/foreign/sa_abroad/sag.htm#ger,http://www.wikidata.org/entity/Q80688661
,honorary consulate,Germany,Hamburg,,+49-40-380160,http://www.dirco.gov.za/foreign/sa_abroad/sag.htm#ger,http://www.wikidata.org/entity/Q80687769
,honorary consulate,Germany,Hanover,,+49-511-5445493,http://www.dirco.gov.za/foreign/sa_abroad/sag.htm#ger,http://www.wikidata.org/entity/Q80690752
,honorary consulate,Germany,Kiel,,+49-431-80080,http://www.dirco.gov.za/foreign/sa_abroad/sag.htm#ger,http://www.wikidata.org/entity/Q80689861
,honorary consulate,Germany,Lichtenau,,+49-37208-8890,http://www.dirco.gov.za/foreign/sa_abroad/sag.htm#ger,http://www.wikidata.org/entity/Q80691581
consular.munich@dirco.gov.za,consulate,Germany,Munich,,+49-89-2311630,http://www.dirco.gov.za/munich/index.html,http://www.wikidata.org/entity/Q80684030
,honorary consulate,Germany,Stuttgart,,+49-711-7222175,http://www.dirco.gov.za/foreign/sa_abroad/sag.htm#ger,http://www.wikidata.org/entity/Q80685174
accra.dha@dirco.gov.za,high commission,Ghana,Accra,,+233-30-274-0450,http://www.dirco.gov.za/foreign/sa_abroad/sag.htm#gha,http://www.wikidata.org/entity/Q80691824
athens.info@dirco.gov.za,embassy,Greece,Athens,,+30-21-0617-8020,,http://www.wikidata.org/entity/Q80692759
fmonterroso@ufm.edu.gt,honorary consulate,Guatemala,,,+502-2332-6953,http://www.dirco.gov.za/foreign/sa_abroad/sag.htm#gua,http://www.wikidata.org/entity/Q80776852
conakrymission@dirco.gov.za,embassy,Guinea,Conakry,,+224-30-664904771,,http://www.wikidata.org/entity/Q80656039
bissau@dirco.gov.za,embassy,Guinea-Bissau,Bissau,,+245-6678910,http://www.dirco.gov.za/guinea-bissau/,http://www.wikidata.org/entity/Q80781036
,embassy,Hungary,Budapest,,,http://www.dirco.gov.za/budapest/,http://www.wikidata.org/entity/Q106612517
,high commission,India,New Delhi,,,,http://www.wikidata.org/entity/Q106585715
,embassy,Indonesia,Jakarta,,,http://www.dirco.gov.za/jakarta/,http://www.wikidata.org/entity/Q106614884
,embassy,Iran,Tehran,,,,http://www.wikidata.org/entity/Q106618294
,embassy,Ireland,Dublin,,,,http://www.wikidata.org/entity/Q104779833
,embassy,Israel,Ramat Gan,,,http://www.safis.co.il,http://www.wikidata.org/entity/Q106618756
,embassy,Italy,Rome,,,http://lnx.sudafrica.it/,http://www.wikidata.org/entity/Q103935932
,embassy,Italy,Rome,,,https://www.saholysee.com/,http://www.wikidata.org/entity/Q104036442
,embassy,Ivory Coast,Abidjan,,,http://www.dirco.gov.za/Abidjan,http://www.wikidata.org/entity/Q106612484
,high commission,Jamaica,Kingston,,,http://www.dirco.gov.za/kingston,http://www.wikidata.org/entity/Q106576157
,embassy,Japan,Tokyo,,,,http://www.wikidata.org/entity/Q61877330
,embassy,Jordan,Amman,,,,http://www.wikidata.org/entity/Q106618755
,embassy,Kazakhstan,Astana,,,http://www.dirco.gov.za/astana,http://www.wikidata.org/entity/Q106620006
,high commission,Kenya,Nairobi,,,,http://www.wikidata.org/entity/Q106620565
,embassy,Kingdom of Denmark,Gentofte Municipality,,,http://www.dirco.gov.za/copenhagen,http://www.wikidata.org/entity/Q106084237
,embassy,Kuwait,Kuwait City,,,http://www.dirco.gov.za/kuwait,http://www.wikidata.org/entity/Q106621971
,high commission,Lesotho,Maseru,,,,http://www.wikidata.org/entity/Q105610980
,embassy,Liberia,Monrovia,,,,http://www.wikidata.org/entity/Q106622127
,embassy,Madagascar,Antananarivo,,,,http://www.wikidata.org/entity/Q106622324
,high commission,Malawi,Lilongwe,,,,http://www.wikidata.org/entity/Q106622368
,high commission,Malaysia,Kuala Lumpur,,,http://www.dirco.gov.za/malaysia,http://www.wikidata.org/entity/Q106595932
,embassy,Mali,Bamako,,,,http://www.wikidata.org/entity/Q106622479
,embassy,Mauritania,Nouakchott,,,,http://www.wikidata.org/entity/Q106627390
,high commission,Mauritius,Port Louis,,,,http://www.wikidata.org/entity/Q106627426
,embassy,Mexico,Mexico City,,,http://embajadasudafrica.mx,http://www.wikidata.org/entity/Q106612399
