email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Afghanistan,Kabul,,,,http://www.wikidata.org/entity/Q24346589
koemal@mofa.go.kr,embassy,Algeria,Algiers,,+213-23-47-28-38,http://overseas.mofa.go.kr/dz-ko/index.do,http://www.wikidata.org/entity/Q79943684
,embassy,Argentina,Buenos Aires,,,https://overseas.mofa.go.kr/ar-ko/index.do,http://www.wikidata.org/entity/Q55734507
,embassy,Australia,Canberra,,,https://overseas.mofa.go.kr/au-ko/index.do,http://www.wikidata.org/entity/Q55734513
,consulate general,Australia,Sydney,,,https://overseas.mofa.go.kr/au-sydney-ko/index.do,http://www.wikidata.org/entity/Q109456914
,embassy,Austria,Vienna,,,http://overseas.mofa.go.kr/at-ko/index.do,http://www.wikidata.org/entity/Q55734514
,embassy,Bahrain,Manama,,,,http://www.wikidata.org/entity/Q68170704
embdhaka@mofa.go.kr,embassy,Bangladesh,Dhaka,,+880-2-5881208890,https://overseas.mofa.go.kr/bd-en/index.do,http://www.wikidata.org/entity/Q107452681
,embassy,Belarus,Minsk,,,,http://www.wikidata.org/entity/Q33118472
,embassy,Belgium,Watermael-Boitsfort / Watermaal-Bosvoorde,,,,http://www.wikidata.org/entity/Q55734497
,embassy,Bolivia,La Paz,,,https://overseas.mofa.go.kr/bo-ko/index.do,http://www.wikidata.org/entity/Q110577033
,consulate general,Brazil,,,,https://overseas.mofa.go.kr/br-saopaulo-pt/index.do,http://www.wikidata.org/entity/Q115607153
,embassy,Brazil,Brasília,,,http://overseas.mofa.go.kr/br-pt/index.do,http://www.wikidata.org/entity/Q55734499
,embassy,Brunei,,,,,http://www.wikidata.org/entity/Q109455785
,embassy,Bulgaria,Stolichna Municipality,,,,http://www.wikidata.org/entity/Q41589346
,embassy,Cambodia,Phnom Penh,,,,http://www.wikidata.org/entity/Q55734537
toronto@mofa.go.kr,consulate general,Canada,,,14169203809,https://overseas.mofa.go.kr/ca-toronto-en/index.do,http://www.wikidata.org/entity/Q125943596
,embassy,Canada,Ottawa,,,http://can-ottawa.mofa.go.kr,http://www.wikidata.org/entity/Q55734538
,embassy,Chile,Las Condes,,,https://overseas.mofa.go.kr/cl-ko/index.do,http://www.wikidata.org/entity/Q55734536
,embassy,Colombia,Bogotá,,,https://overseas.mofa.go.kr/co-ko/index.do,http://www.wikidata.org/entity/Q55734539
,embassy,Costa Rica,San Rafael,,,https://overseas.mofa.go.kr/cr-ko/index.do,http://www.wikidata.org/entity/Q111058396
,embassy,Croatia,Zagreb,,,https://overseas.mofa.go.kr/hr-ko/,http://www.wikidata.org/entity/Q55734540
,embassy,Czech Republic,Prague,,,http://overseas.mofa.go.kr/cz-ko/index.do,http://www.wikidata.org/entity/Q55734535
,embassy,Dominican Republic,,,,,http://www.wikidata.org/entity/Q110117673
,embassy,Ecuador,Quito,,,https://overseas.mofa.go.kr/ec-ko/index.do,http://www.wikidata.org/entity/Q110739654
,embassy,Egypt,Cairo,,,,http://www.wikidata.org/entity/Q55734526
,embassy,Finland,Helsinki,,,,http://www.wikidata.org/entity/Q106215453
,embassy,France,,,,https://overseas.mofa.go.kr/fr-fr,http://www.wikidata.org/entity/Q15695344
,consulate general,Germany,Frankfurt,,,https://overseas.mofa.go.kr/de-frankfurt-ko/index.do,http://www.wikidata.org/entity/Q115606986
