email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,Etterbeek,,,http://www.goss-brussels.com/,http://www.wikidata.org/entity/Q69915995
,embassy,Egypt,,,,,http://www.wikidata.org/entity/Q125496180
,embassy,France,,,,http://www.southsudanembassyparis.net/,http://www.wikidata.org/entity/Q16303708
,embassy,Germany,Berlin,,,http://www.embassy-southsudan.de,http://www.wikidata.org/entity/Q55518162
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q112668142
,embassy,Israel,Herzliya,,,,http://www.wikidata.org/entity/Q112088411
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103936812
,embassy,Norway,Oslo,,,http://www.embrss-norway.org,http://www.wikidata.org/entity/Q19391677
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q110197375
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106704311
,embassy,Sudan,,,,,http://www.wikidata.org/entity/Q125496222
,embassy,Turkey,Ankara,,,https://southsudanankara.org/,http://www.wikidata.org/entity/Q111031094
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16965384
,embassy,United States of America,"Washington, D.C.",,,https://www.southsudanembassyusa.org/,http://www.wikidata.org/entity/Q106822884
