email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Albania,Tirana,,,https://albaniaembassy.orderofmalta.int,http://www.wikidata.org/entity/Q113248760
,embassy,Argentina,Buenos Aires,,,,http://www.wikidata.org/entity/Q110301534
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q104641296
,embassy,Belarus,Minsk,,,http://belarusembassy.orderofmalta.int/,http://www.wikidata.org/entity/Q99293333
,embassy,Bosnia and Herzegovina,Sarajevo,,,,http://www.wikidata.org/entity/Q108064625
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105715891
,embassy,Bulgaria,Stolichna Municipality,,,,http://www.wikidata.org/entity/Q41588336
,embassy,Chile,Las Condes,,,,http://www.wikidata.org/entity/Q110479461
,embassy,Colombia,Bogotá,,,,http://www.wikidata.org/entity/Q110889084
,embassy,Costa Rica,San José,,,,http://www.wikidata.org/entity/Q111096346
,embassy,Croatia,Zagreb,,,,http://www.wikidata.org/entity/Q107417022
,embassy,Cyprus,Nicosia,,,,http://www.wikidata.org/entity/Q109789422
,embassy,Czech Republic,Prague,,,,http://www.wikidata.org/entity/Q107141111
,embassy,Ecuador,Quito,,,,http://www.wikidata.org/entity/Q110780952
,embassy,Germany,Berlin,,,,http://www.wikidata.org/entity/Q85759112
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q56340022
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103929534
,embassy,Ivory Coast,Abidjan,,,https://ivorycoastembassy.orderofmalta.int,http://www.wikidata.org/entity/Q112876830
,embassy,Latvia,Riga,,,,http://www.wikidata.org/entity/Q107234872
,embassy,Lithuania,Vilnius,,,https://lithuaniaembassy.orderofmalta.int,http://www.wikidata.org/entity/Q107295842
,embassy,Malta,Valletta,,,,http://www.wikidata.org/entity/Q107737143
monacoembassy@orderofmalta.int,embassy,Monaco,Monaco,,,,http://www.wikidata.org/entity/Q104249979
,embassy,Panama,Panama City,,,,http://www.wikidata.org/entity/Q111107366
,embassy,Paraguay,Asunción,,,,http://www.wikidata.org/entity/Q110551603
,embassy,Peru,San Isidro,,,,http://www.wikidata.org/entity/Q110729064
polandembassy@orderofmalta.int,embassy,Poland,,,+48-22-827-25-46,http://www.ambasada.zakonmaltanski.pl/,http://www.wikidata.org/entity/Q24949169
,embassy,Portugal,Lisbon,,,,http://www.wikidata.org/entity/Q105458356
,embassy,San Marino,Serravalle,,,,http://www.wikidata.org/entity/Q107957212
,embassy,Serbia,Belgrade,,,https://orderofmalta.org.rs/,http://www.wikidata.org/entity/Q108258098
,embassy,Slovenia,Ljubljana,,,https://www.smomembassytoslovenia.org/,http://www.wikidata.org/entity/Q107352432
,embassy,Spain,Madrid,,,,http://www.wikidata.org/entity/Q105336639
ukraineembassy@orderofmalta.int,embassy,Ukraine,Kyiv,,+380-44-486-1888,https://www.orderofmalta.int/contacts/ukraine/,http://www.wikidata.org/entity/Q12142668
,embassy,Uruguay,Montevideo,,,,http://www.wikidata.org/entity/Q110493336
