email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Afghanistan,Kabul,,,http://www.exteriores.gob.es/Embajadas/Kabul/,http://www.wikidata.org/entity/Q61999046
,embassy,Albania,Tirana,,,http://www.exteriores.gob.es/Embajadas/Tirana,http://www.wikidata.org/entity/Q61999044
,consulate general,Algeria,Algiers,,,,http://www.wikidata.org/entity/Q110855114
,embassy,Algeria,El Biar,,,http://www.exteriores.gob.es/Embajadas/Argel/es/Paginas/inicio.aspx,http://www.wikidata.org/entity/Q61999039
,consulate general,Algeria,Oran,,,,http://www.wikidata.org/entity/Q110855096
,embassy,Andorra,Andorra la Vella,,,http://www.exteriores.gob.es/Embajadas/Andorra/es/Paginas/inicio.aspx,http://www.wikidata.org/entity/Q61999043
,embassy,Angola,Luanda,,,http://www.exteriores.gob.es/Embajadas/Luanda,http://www.wikidata.org/entity/Q61999041
,embassy,Argentina,,,,http://www.exteriores.gob.es/Embajadas/BUENOSAIRES,http://www.wikidata.org/entity/Q105089948
,consulate general,Argentina,Bahía Blanca,,,,http://www.wikidata.org/entity/Q110854390
,consulate general,Argentina,Córdoba,,,,http://www.wikidata.org/entity/Q110854404
,consulate general,Argentina,Mendoza,,,,http://www.wikidata.org/entity/Q110854410
,consulate general,Argentina,Rosario,,,,http://www.wikidata.org/entity/Q110854414
,embassy,Australia,Canberra,,,http://www.exteriores.gob.es/Embajadas/Canberra/es/Paginas/inicio.aspx,http://www.wikidata.org/entity/Q61999037
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q54168971
,embassy,Bangladesh,Dhaka,,,http://www.exteriores.gob.es/embajadas/dhaka/,http://www.wikidata.org/entity/Q65165593
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69424944
,embassy,Bolivia,La Paz,,,http://www.exteriores.gob.es/Embajadas/LAPAZ,http://www.wikidata.org/entity/Q105098328
,consulate general,Bolivia,Santa Cruz de la Sierra,,,,http://www.wikidata.org/entity/Q110854431
,embassy,Bosnia and Herzegovina,Sarajevo,,,http://www.exteriores.gob.es/Embajadas/SARAJEVO/es/Embajada/Paginas/inicio.aspx,http://www.wikidata.org/entity/Q65166030
,embassy,Brazil,Brasília,,,http://www.exteriores.gob.es/Embajadas/BRASILIA,http://www.wikidata.org/entity/Q105098347
,consulate general,Brazil,Porto Alegre,,,,http://www.wikidata.org/entity/Q110854733
,consulate general,Brazil,Rio de Janeiro,,,,http://www.wikidata.org/entity/Q110854737
,consulate general,Brazil,Salvador,,,,http://www.wikidata.org/entity/Q110854738
,consulate general,Brazil,São Paulo,,,,http://www.wikidata.org/entity/Q110854740
,embassy,Bulgaria,Stolichna Municipality,,,,http://www.wikidata.org/entity/Q41588977
,embassy,Cameroon,,,,http://www.exteriores.gob.es/Embajadas/Yaunde,http://www.wikidata.org/entity/Q62006267
,embassy,Canada,,,,http://www.exteriores.gob.es/Embajadas/Ottawa,http://www.wikidata.org/entity/Q61998950
,consulate general,Canada,Montreal,,,,http://www.wikidata.org/entity/Q110854369
,consulate general,Canada,Toronto,,,,http://www.wikidata.org/entity/Q110854359
,embassy,Cape Verde,,,,http://www.exteriores.gob.es/Embajadas/Praia,http://www.wikidata.org/entity/Q61998949
,embassy,Chile,,,,http://www.exteriores.gob.es/Embajadas/SANTIAGODECHILE,http://www.wikidata.org/entity/Q105104306
,embassy,Colombia,Bogotá,,,http://www.exteriores.gob.es/Embajadas/BOGOTA,http://www.wikidata.org/entity/Q105104778
,embassy,Costa Rica,San José,,,http://www.exteriores.gob.es/Embajadas/SANJOSEDECOSTARICA,http://www.wikidata.org/entity/Q105105062
,embassy,Croatia,,,,http://www.exteriores.gob.es/embajadas/zagreb,http://www.wikidata.org/entity/Q65165064
,embassy,Cuba,Havana,,,http://www.exteriores.gob.es/Embajadas/LAHABANA,http://www.wikidata.org/entity/Q105105108
,embassy,Czech Republic,Prague,,,http://www.exteriores.gob.es/Embajadas/Praga,http://www.wikidata.org/entity/Q61998966
,embassy,Democratic Republic of the Congo,,,,http://www.exteriores.gob.es/Embajadas/Kinshasa,http://www.wikidata.org/entity/Q61998956
,embassy,Dominican Republic,Santo Domingo,,,https://www.exteriores.gob.es/Embajadas/santodomingo/es/Paginas/index.aspx,http://www.wikidata.org/entity/Q105137683
,consulate general,Ecuador,Guayaquil,,,,http://www.wikidata.org/entity/Q110854444
,embassy,Ecuador,Quito,,,http://www.exteriores.gob.es/Embajadas/QUITO,http://www.wikidata.org/entity/Q105105327
,embassy,Egypt,,,,http://www.exteriores.gob.es/embajadas/elcairo/es/Paginas/inicio.aspx,http://www.wikidata.org/entity/Q65173823
,consulate general,Egypt,Alexandria,,+20 3 393 91 85,,http://www.wikidata.org/entity/Q110855298
,embassy,El Salvador,San Salvador,,,http://www.exteriores.gob.es/Embajadas/SANSALVADOR,http://www.wikidata.org/entity/Q105105519
,embassy,Equatorial Guinea,,,,http://www.exteriores.gob.es/Embajadas/MALABO,http://www.wikidata.org/entity/Q61968010
,embassy,Estonia,Tallinn City,,,http://www.exteriores.gob.es/Embajadas/TALLIN,http://www.wikidata.org/entity/Q65262019
,embassy,Ethiopia,Addis Ababa,,,http://www.exteriores.gob.es/Embajadas/AddisAbeba,http://www.wikidata.org/entity/Q65166032
,embassy,Finland,Helsinki,,,http://www.exteriores.gob.es/Embajadas/HELSINKI,http://www.wikidata.org/entity/Q63226631
,embassy,France,,,,https://www.exteriores.gob.es/Embajadas/paris/es/Paginas/index.aspx,http://www.wikidata.org/entity/Q17346971
,consulate general,France,Bayonne,,,http://www.exteriores.gob.es/consulados/bayona/es/Paginas/inicio.aspx,http://www.wikidata.org/entity/Q16507568
,consulate general,France,Bordeaux,,,http://www.maec.es/subwebs/Consulados/Burdeos/fr/home/Paginas/home.aspx,http://www.wikidata.org/entity/Q16507563
,consulate general,France,Marseille,,,http://www.maec.es/subwebs/Consulados/Marsella/es/home/Paginas/homemarsella.aspx,http://www.wikidata.org/entity/Q16507571
,consulate general,France,Montpellier,,,http://www.maec.es/subwebs/Consulados/Montpellier/fr/home/Paginas/Home.aspx,http://www.wikidata.org/entity/Q16507567
,consulate general,France,Paris,,,http://www.exteriores.gob.es/consulados/paris/es/Paginas/inicio.aspx,http://www.wikidata.org/entity/Q22248280
,consulate general,France,Pau,,,http://www.maec.es/subwebs/Consulados/Pau/es/home/Paginas/home_pau.aspx,http://www.wikidata.org/entity/Q16507566
,consulate,France,Perpignan,,,http://www.maec.es/subwebs/Consulados/Perpignan/fr/home/Paginas/home_fr_perpi%C3%B1an.aspx,http://www.wikidata.org/entity/Q16011103
