email,mission_type,host_country,city,address,phone,website,wikidata_qid
,high commission,Australia,Canberra,,,http://www.slhcaust.org,http://www.wikidata.org/entity/Q106498668
,embassy,Austria,Vienna,,,https://www.srilankaembassy.at/,http://www.wikidata.org/entity/Q104645753
,embassy,Bahrain,Manama,,,,http://www.wikidata.org/entity/Q68170707
,embassy,Belgium,Ixelles - Elsene,,,http://www.srilankaembassy.be/,http://www.wikidata.org/entity/Q69916378
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105725297
,high commission,Canada,Ottawa,,,http://www.srilankahcottawa.org/,http://www.wikidata.org/entity/Q106822996
,embassy,Cuba,Havana,,,http://srilankaembcuba.org/,http://www.wikidata.org/entity/Q110815717
,embassy,France,,,,https://www.srilankaembassy.fr,http://www.wikidata.org/entity/Q20669723
,embassy,Germany,Berlin,,,https://www.srilanka-botschaft.de/,http://www.wikidata.org/entity/Q73274876
,embassy,Guinea,,,,,http://www.wikidata.org/entity/Q111207256
,high commission,India,New Delhi,,,https://www.slhcindia.org,http://www.wikidata.org/entity/Q112668177
,embassy,Indonesia,Jakarta,,,http://srilankaembassyjakarta.com,http://www.wikidata.org/entity/Q107636691
,embassy,Italy,Rome,,,https://www.srilankaembassyrome.org/,http://www.wikidata.org/entity/Q103934236
,embassy,Japan,Tokyo,,,,http://www.wikidata.org/entity/Q17003682
,high commission,Maldives,,,,,http://www.wikidata.org/entity/Q101096781
,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q100556479
,embassy,Norway,Oslo Municipality,,,,http://www.wikidata.org/entity/Q19390076
,de facto embassy,Palestine,Ramallah,,,,http://www.wikidata.org/entity/Q125495734
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q119217989
,embassy,Poland,Wilanów,,+48-22-853-88-96,http://srilankaembassy.com.pl,http://www.wikidata.org/entity/Q9149597
,embassy,Russia,Moscow,,,http://www.srilankaembassy.ru,http://www.wikidata.org/entity/Q4374087
,embassy,Saudi Arabia,Riyadh,,,https://slemb.org.sa,http://www.wikidata.org/entity/Q68170109
,high commission,South Africa,Pretoria,,,http://www.srilanka.co.za/,http://www.wikidata.org/entity/Q106704321
,embassy,South Korea,Seoul,,,https://www.slembassykorea.org/,http://www.wikidata.org/entity/Q17003667
,embassy,Sweden,Stockholm,,,https://www.stockholm.embassy.gov.lk,http://www.wikidata.org/entity/Q18332807
,embassy,Turkey,Ankara,,,https://srilanka.org.tr,http://www.wikidata.org/entity/Q111031113
,high commission,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16843060
,embassy,United States of America,"Washington, D.C.",,,https://slembassyusa.org,http://www.wikidata.org/entity/Q5369869
