email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Australia,Canberra,,,https://en.sudanicanberra.com/,http://www.wikidata.org/entity/Q106500450
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q54168979
,embassy,Bahrain,Manama,,,http://www.sudanimanama.com,http://www.wikidata.org/entity/Q68170689
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q67406920
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105725350
,embassy,Canada,Ottawa,,,https://www.sudanembassyottawa.com/,http://www.wikidata.org/entity/Q106822848
,embassy,Comoros,Moroni,,,,http://www.wikidata.org/entity/Q85086220
,embassy,France,Paris,,,https://ambassade-du-soudan.fr,http://www.wikidata.org/entity/Q16303710
,embassy,Germany,Berlin,,,http://www.sudanembassy.de/,http://www.wikidata.org/entity/Q60861211
,embassy,Greece,Psychiko,,,,http://www.wikidata.org/entity/Q109690413
,embassy,India,New Delhi,,,https://www.sudanembassyindia.org/,http://www.wikidata.org/entity/Q112668287
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q107636981
sudanbaghdad@gmail.com,embassy,Iraq,Baghdad,,+964-771-3955550,,http://www.wikidata.org/entity/Q107428065
,embassy,Ireland,Dublin,,,,http://www.wikidata.org/entity/Q104780498
,embassy,Italy,Rome,,,http://www.sudanembassy.it,http://www.wikidata.org/entity/Q103937128
,embassy,Japan,Yakumo 4-chōme,,,http://www.sudanembassy.jp/,http://www.wikidata.org/entity/Q61877333
,embassy,Libya,Tripoli,,,,http://www.wikidata.org/entity/Q107786829
,embassy,Netherlands,The Hague,,,http://www.sudanembassy.nl/,http://www.wikidata.org/entity/Q100574136
,embassy,Norway,Oslo Municipality,,,http://www.sudanoslo.no/,http://www.wikidata.org/entity/Q19391082
,embassy,People's Republic of China,Beijing,,,http://www.sudanembassybj.com,http://www.wikidata.org/entity/Q100276509
,embassy,Romania,Bucharest,,,http://sudanembassy.ro/,http://www.wikidata.org/entity/Q106885792
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q4374056
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68170113
,honorary consulate,Singapore,Singapore,,,,http://www.wikidata.org/entity/Q107421902
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106704314
,embassy,Spain,Madrid,,,,http://www.wikidata.org/entity/Q105282667
,embassy,Sweden,Lidingö Municipality,,,https://sudanembassy.se/,http://www.wikidata.org/entity/Q18333067
,embassy,Switzerland,Geneva,,,,http://www.wikidata.org/entity/Q101016965
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q111031186
sudanikampala@africaonline.co.ug,embassy,Uganda,Kampala,,+256-41-230001,,http://www.wikidata.org/entity/Q107422243
info@sudanembassy.kiev.ua,embassy,Ukraine,Kyiv,,+380-44-355-5001,http://sudanembassy.kiev.ua/ru/novosti-i-sobytiya,http://www.wikidata.org/entity/Q25437764
,embassy,United Kingdom,London,,,https://www.sudan-embassy.co.uk/,http://www.wikidata.org/entity/Q16991739
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369870
