email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69914303
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105725379
,embassy,Cuba,Havana,,,,http://www.wikidata.org/entity/Q108525252
,embassy,France,16th arrondissement of Paris,,,,http://www.wikidata.org/entity/Q20127468
,embassy,Ghana,Accra,,,,http://www.wikidata.org/entity/Q108585760
,embassy,Guyana,Georgetown,,,,http://www.wikidata.org/entity/Q108511022
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q108511958
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q106502141
,embassy,Morocco,Rabat,,,,http://www.wikidata.org/entity/Q115158526
,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q96985339
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q108512166
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106704315
,embassy,Trinidad and Tobago,Port of Spain,,,,http://www.wikidata.org/entity/Q110821450
,embassy,United States of America,"Washington, D.C.",,,https://www.surinameembassy.org,http://www.wikidata.org/entity/Q106823244
,embassy,Venezuela,Caracas,,,,http://www.wikidata.org/entity/Q108523741
