email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Afghanistan,Kabul,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/afghanistan-kabul/,http://www.wikidata.org/entity/Q10686007
,embassy,Albania,Tirana,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/albanien-tirana/,http://www.wikidata.org/entity/Q18333543
,embassy,Algeria,Algiers,,,https://www.swedenabroad.se/alger,http://www.wikidata.org/entity/Q18333494
,embassy,Angola,Luanda,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/angola-luanda/,http://www.wikidata.org/entity/Q18449212
,embassy,Argentina,Buenos Aires,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/argentina-buenos-aires/,http://www.wikidata.org/entity/Q10686002
,embassy,Armenia,Yerevan,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/armenien-jerevan/,http://www.wikidata.org/entity/Q18333519
,embassy,Australia,Canberra,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/australien-canberra/,http://www.wikidata.org/entity/Q10686003
,embassy,Austria,Vienna,,,http://www.swedenabroad.com/Wien/,http://www.wikidata.org/entity/Q27588313
,embassy,Azerbaijan,Baku,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/azerbajdzjan-baku/,http://www.wikidata.org/entity/Q18333497
,embassy,Bangladesh,Dhaka,,+880-2-55668500,https://www.swedenabroad.se/sv/utlandsmyndigheter/bangladesh-dhaka/,http://www.wikidata.org/entity/Q18449202
,embassy,Belarus,Minsk,,,http://www.swedenabroad.com/Minsk/,http://www.wikidata.org/entity/Q10686015
generalkonsulat.bryssel@gov.se,Consulate General of Sweden,Belgium,City of Brussels,,+32-22895800,https://www.swedenabroad.se/sv/utlandsmyndigheter/belgien-bryssel/,http://www.wikidata.org/entity/Q101070007
,embassy,Bolivia,La Paz,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/bolivia-la-paz/,http://www.wikidata.org/entity/Q10686011
,embassy,Bosnia and Herzegovina,Sarajevo,,,https://www.swedenabroad.se/en/embassies/bosnia-and-herzegovina-sarajevo/,http://www.wikidata.org/entity/Q10686023
,embassy,Brazil,Brasília,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/brasilien-brasilia/,http://www.wikidata.org/entity/Q10685999
,embassy,Burkina Faso,Ouagadougou,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/burkina-faso-ouagadougou/,http://www.wikidata.org/entity/Q18333532
,embassy,Cambodia,Phnom Penh,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/kambodja-phnom-penh/,http://www.wikidata.org/entity/Q18333534
,embassy,Canada,Ottawa,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/kanada-ottawa/,http://www.wikidata.org/entity/Q10686018
,embassy,Chile,Providencia,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/chile-santiago-de-chile/,http://www.wikidata.org/entity/Q27588394
,embassy,Colombia,Bogotá,,,https://www.swedenabroad.se/bogota,http://www.wikidata.org/entity/Q10685998
,embassy,Comoros,,,,,http://www.wikidata.org/entity/Q114612470
,embassy,Croatia,Zagreb,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/kroatien-zagreb/,http://www.wikidata.org/entity/Q17561300
,embassy,Cuba,Havana,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/kuba-havanna/,http://www.wikidata.org/entity/Q10686005
,embassy,Czech Republic,Prague,,,http://www.swedenabroad.com/Prag/,http://www.wikidata.org/entity/Q5369876
,embassy,Democratic Republic of the Congo,Kinshasa,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/d.r.-kongo-kinshasa/,http://www.wikidata.org/entity/Q18333523
ambassaden.kairo@gov.se,embassy,Egypt,Cairo,,+20 2 2728 9200,https://www.swedenabroad.se/sv/utlandsmyndigheter/egypten-kairo/,http://www.wikidata.org/entity/Q10686008
,honorary consulate,Estonia,Narva City,,,,http://www.wikidata.org/entity/Q18625305
ambassaden.tallinn@gov.se,embassy,Estonia,Tallinn City,,+372-640-56-00,https://www.swedenabroad.se/sv/utlandsmyndigheter/estland-tallinn/,http://www.wikidata.org/entity/Q10686024
,honorary consulate,Estonia,Tartu City,,,,http://www.wikidata.org/entity/Q18625307
,embassy,Eswatini,,,,,http://www.wikidata.org/entity/Q114612578
,embassy,Ethiopia,Addis Ababa,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/etiopien-addis-abeba/,http://www.wikidata.org/entity/Q10685995
,embassy,Finland,Helsinki,,,http://www.swedenabroad.com/Helsinki/,http://www.wikidata.org/entity/Q2841849
,consulate,Finland,Mariehamn,,,,http://www.wikidata.org/entity/Q117078366
generalkonsulat.mariehamn@gov.se,Consulate General of Sweden,Finland,Mariehamn,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/aland-mariehamn/,http://www.wikidata.org/entity/Q108058370
,embassy,France,,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/frankrike-paris/,http://www.wikidata.org/entity/Q2841853
,honorary consulate,France,3rd arrondissement of Lyon,,,,http://www.wikidata.org/entity/Q61641688
,embassy,Georgia,Tbilisi,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/georgien-tbilisi,http://www.wikidata.org/entity/Q4374091
,embassy,Germany,Berlin,,,https://www.swedenabroad.se/sv/utlandsmyndigheter/tyskland-berlin/,http://www.wikidata.org/entity/Q1428725
,embassy,Gibraltar,,,,,http://www.wikidata.org/entity/Q114612456
,embassy,Greece,Athens,,,http://www.swedenabroad.com/Athen/,http://www.wikidata.org/entity/Q5369872
