email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Argentina,Buenos Aires,,,,http://www.wikidata.org/entity/Q110301403
syrem_ar@infotech.am,embassy,Armenia,Yerevan,,,,http://www.wikidata.org/entity/Q120083559
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q103928492
,embassy,Bahrain,Manama,,,,http://www.wikidata.org/entity/Q68170691
,embassy,Belarus,Minsk,,,,http://www.wikidata.org/entity/Q33120025
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69917137
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105725258
,embassy,Bulgaria,Sofia,,,,http://www.wikidata.org/entity/Q109326542
,embassy,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q106823370
,embassy,Chile,Las Condes,,,,http://www.wikidata.org/entity/Q110484295
,embassy,Cyprus,Nicosia,,,,http://www.wikidata.org/entity/Q109789562
,embassy,Czech Republic,Prague,,,https://www.syrianembassy.cz/,http://www.wikidata.org/entity/Q107141502
,embassy,France,Paris,,,https://ambassadesyrie.fr/,http://www.wikidata.org/entity/Q98971826
,embassy,Germany,Mitte,,,http://www.mofa.gov.sy/berlin-embassy,http://www.wikidata.org/entity/Q5369883
,embassy,India,New Delhi,,,http://syriaembassy.in,http://www.wikidata.org/entity/Q112668565
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q107637268
,embassy,Iran,Tehran,,,,http://www.wikidata.org/entity/Q124661563
,embassy,Japan,Akasaka,,,,http://www.wikidata.org/entity/Q44825284
,embassy,Kuwait,,,,,http://www.wikidata.org/entity/Q125497699
,embassy,Lebanon,Baabda,,,http://www.mofaex.gov.sy/beirut-embassy/,http://www.wikidata.org/entity/Q100333025
,embassy,Malaysia,Kuala Lumpur,,,,http://www.wikidata.org/entity/Q71072830
,embassy,North Korea,Pyongyang,,,,http://www.wikidata.org/entity/Q118920883
,embassy,People's Republic of China,Beijing,,,http://www.syrembassy.cn/,http://www.wikidata.org/entity/Q72162008
,embassy,Poland,Warsaw,,+48-22-849-14-56,http://syrianembassy.com.pl/,http://www.wikidata.org/entity/Q9149604
,embassy,Romania,Bucharest,,,https://www.syrianembassy.ro,http://www.wikidata.org/entity/Q106947647
,embassy,Russia,Mansurovsky Lane,,,,http://www.wikidata.org/entity/Q1710068
,embassy,Serbia,Belgrade,,,,http://www.wikidata.org/entity/Q108097983
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106704317
,embassy,Spain,Madrid,,,,http://www.wikidata.org/entity/Q105343737
,embassy,Sweden,Danderyd Municipality,,,http://www.syrianembassy.se/,http://www.wikidata.org/entity/Q19978771
syrian-emb@ukr.net,embassy,Ukraine,Kyiv,,+380-44-489-5551,http://www.mofa.gov.sy/cweb/MOEX_NEW/Home_Page_New/Addr_mission.htm,http://www.wikidata.org/entity/Q12142677
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q1861679
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369885
