email,mission_type,host_country,city,address,phone,website,wikidata_qid
,de facto embassy,Argentina,Buenos Aires,,,http://web.roc-taiwan.org/ar_es/index.html,http://www.wikidata.org/entity/Q24010977
,Taipei Representative Office,Australia,,,,https://www.roc-taiwan.org/au/index.html,http://www.wikidata.org/entity/Q23073870
,de facto consulate,Australia,Brisbane,,,http://www.roc-taiwan.org/aubne_en/index.html,http://www.wikidata.org/entity/Q100414809
,de facto consulate,Australia,Brisbane,,,https://www.roc-taiwan.org/aubne/index.html,http://www.wikidata.org/entity/Q109344646
,de facto consulate,Australia,Melbourne,,,http://www.roc-taiwan.org/aumel_en/index.html,http://www.wikidata.org/entity/Q100414908
,de facto consulate,Australia,Sydney,,,http://www.roc-taiwan.org/ausyd_en/index.html,http://www.wikidata.org/entity/Q100414878
,de facto consulate,Australia,Sydney,,,https://www.roc-taiwan.org/ausyd/index.html,http://www.wikidata.org/entity/Q109411851
,de facto embassy,Austria,Vienna,,,http://web.roc-taiwan.org/at_de/index.html,http://www.wikidata.org/entity/Q24031604
,de facto embassy,Bahrain,,,,,http://www.wikidata.org/entity/Q100450166
,de facto embassy,Belgium,City of Brussels,,,https://www.taiwanembassy.org/be/index.html,http://www.wikidata.org/entity/Q15921381
,embassy,Belize,,,,https://www.roc-taiwan.org/bz/,http://www.wikidata.org/entity/Q64764179
,de facto embassy,Brazil,,,,http://web.roc-taiwan.org/br_pt/index.html,http://www.wikidata.org/entity/Q25346434
,de facto consulate,Brazil,São Paulo,,,http://www.roc-taiwan.org/brsao_pt/index.html,http://www.wikidata.org/entity/Q100668477
,de facto embassy,Brunei,,,,http://www.roc-taiwan.org/bn_en/index.html,http://www.wikidata.org/entity/Q100450196
,de facto embassy,Canada,Ottawa,,,http://web.roc-taiwan.org/ca_en/index.html,http://www.wikidata.org/entity/Q24191304
,de facto consulate,Canada,Toronto,,,https://www.roc-taiwan.org/cayyz_en/index.html,http://www.wikidata.org/entity/Q100273018
,de facto consulate,Canada,Vancouver,,,http://www.roc-taiwan.org/cayvr_en/index.html,http://www.wikidata.org/entity/Q100272993
,de facto embassy,Chile,,,,http://www.roc-taiwan.org/cl_es/index.html,http://www.wikidata.org/entity/Q100450208
,de facto embassy,Colombia,,,,http://web.roc-taiwan.org/co_es/index.html,http://www.wikidata.org/entity/Q25340206
,de facto embassy,Czech Republic,Dejvice,,,,http://www.wikidata.org/entity/Q100450253
,de facto embassy,Denmark,,,,http://www.roc-taiwan.org/DK/mp.asp?mp=142,http://www.wikidata.org/entity/Q24283371
,de facto embassy,Ecuador,,,,http://www.roc-taiwan.org/ec_es/index.html,http://www.wikidata.org/entity/Q100471921
,embassy,Eswatini,Mbabane,,,https://www.taiwanembassy.org/sz,http://www.wikidata.org/entity/Q16891041
,de facto embassy,Fiji,,,,http://www.roc-taiwan.org/fj_en/index.html,http://www.wikidata.org/entity/Q100481512
,de facto embassy,Fiji,,,,https://www.roc-taiwan.org/fj,http://www.wikidata.org/entity/Q117322552
