email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69978658
,embassy,Brazil,Brasília,,,https://br.tzembassy.go.tz,http://www.wikidata.org/entity/Q105725531
bujumbura@nje.go.tz,embassy,Burundi,Bujumbura,,+257-22-248636,https://www.bi.tzembassy.go.tz,http://www.wikidata.org/entity/Q107418740
,high commission,Canada,Ottawa,,,https://www.ca.tzembassy.go.tz/,http://www.wikidata.org/entity/Q106823389
moroni@nje.go.tz,embassy,Comoros,Moroni,,+269-0773-7859,https://km.tzembassy.go.tz/,http://www.wikidata.org/entity/Q79946879
,embassy,Egypt,,,,,http://www.wikidata.org/entity/Q125496178
,embassy,France,,,,https://www.fr.tzembassy.go.tz/,http://www.wikidata.org/entity/Q15622116
,embassy,Germany,Berlin,,,https://de.tzembassy.go.tz/,http://www.wikidata.org/entity/Q55341078
,high commission,India,New Delhi,,,https://www.in.tzembassy.go.tz/,http://www.wikidata.org/entity/Q107637355
,embassy,Israel,Ramat Gan,,,https://www.il.tzembassy.go.tz,http://www.wikidata.org/entity/Q110826753
,embassy,Italy,Rome,,,https://www.embassyoftanzaniarome.info/,http://www.wikidata.org/entity/Q103938486
,embassy,Japan,Setagaya-ku,,,http://www.tanzaniaembassy.or.jp,http://www.wikidata.org/entity/Q16964538
,high commission,Malaysia,Kuala Lumpur,,,https://www.my.tzembassy.go.tz/,http://www.wikidata.org/entity/Q107637381
,high commission,Mozambique,Maputo,,,https://mz.tzembassy.go.tz/,http://www.wikidata.org/entity/Q106438245
,embassy,Netherlands,The Hague,,,https://www.nl.tzembassy.go.tz/,http://www.wikidata.org/entity/Q100541676
,embassy,Nigeria,,,,https://www.ng.tzembassy.go.tz/,http://www.wikidata.org/entity/Q120200735
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q16925066
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q4374064
,high commission,Rwanda,Kigali,,,https://rw.tzembassy.go.tz/,http://www.wikidata.org/entity/Q104744819
,embassy,Saudi Arabia,Riyadh,,,https://www.sa.tzembassy.go.tz,http://www.wikidata.org/entity/Q68170121
,high commission,South Africa,Pretoria,,,https://za.tzembassy.go.tz/,http://www.wikidata.org/entity/Q106715272
,embassy,Sweden,Täby Municipality,,,https://www.tanemb.se/,http://www.wikidata.org/entity/Q15110698
,embassy,Turkey,Ankara,,,https://www.tr.tzembassy.go.tz,http://www.wikidata.org/entity/Q111038067
,high commission,United Kingdom,Marylebone,,,,http://www.wikidata.org/entity/Q16843094
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369887
