email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Argentina,Buenos Aires,,,http://www.thaiembargen.org/,http://www.wikidata.org/entity/Q110301634
,consulate general,Armenia,Yerevan,,,,http://www.wikidata.org/entity/Q58325277
,embassy,Australia,Canberra,,,https://canberra.thaiembassy.org,http://www.wikidata.org/entity/Q106510918
,embassy,Austria,Vienna,,,https://www.thaiembassy.at,http://www.wikidata.org/entity/Q54168985
,embassy,Bahrain,Manama,,,,http://www.wikidata.org/entity/Q68170686
thaiembassy.dac@mfa.mail.go.th,embassy,Bangladesh,Dhaka,,+880-2-588132601,https://dhaka.thaiembassy.org/th/index,http://www.wikidata.org/entity/Q107452747
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69979442
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105725488
,embassy,Cambodia,Phnom Penh,,,http://www.thaiembassy.org/phnompenh/,http://www.wikidata.org/entity/Q24451571
,embassy,Canada,Ottawa,,,https://ottawa.thaiembassy.org,http://www.wikidata.org/entity/Q106823726
,embassy,Chile,Las Condes,,,,http://www.wikidata.org/entity/Q110484786
,embassy,Czech Republic,Prague,,,http://thaiembassy.cz,http://www.wikidata.org/entity/Q107141693
,embassy,Finland,Helsinki,,,https://helsinki.thaiembassy.org/,http://www.wikidata.org/entity/Q106216624
,embassy,France,,,,https://www.thaiembassy.fr,http://www.wikidata.org/entity/Q20669712
,honorary consulate,France,2nd arrondissement of Lyon,,,,http://www.wikidata.org/entity/Q59677368
,embassy,Germany,Berlin,,,http://thaiembassy.de/,http://www.wikidata.org/entity/Q23786623
,embassy,Greece,Psychiko,,,https://athens.thaiembassy.org,http://www.wikidata.org/entity/Q107786931
,embassy,Hungary,Budapest,,,https://budapest.thaiembassy.org,http://www.wikidata.org/entity/Q107417078
,consulate general,India,Chennai,,,http://www.thaiembassy.org/chennai/en/,http://www.wikidata.org/entity/Q7374908
,embassy,India,New Delhi,,,https://newdelhi.thaiembassy.org,http://www.wikidata.org/entity/Q112671187
,embassy,Indonesia,Jakarta,,,http://www.thaiembassyjakarta.com,http://www.wikidata.org/entity/Q107637542
,embassy,Israel,Herzliya,,,https://telaviv.thaiembassy.org,http://www.wikidata.org/entity/Q112106849
,embassy,Italy,Rome,,,http://www.thaiembassy.it,http://www.wikidata.org/entity/Q103939575
,consulate general,Japan,Fukuoka,,,https://fukuoka.thaiembassy.org/th/index,http://www.wikidata.org/entity/Q58855858
,consulate general,Japan,Osaka,,,http://www.thaiconsulate.jp/th/,http://www.wikidata.org/entity/Q56107213
,embassy,Japan,Shinagawa-ku,,+81-3-5789-2449,http://site.thaiembassy.jp/th/,http://www.wikidata.org/entity/Q26326829
,embassy,Kingdom of Denmark,Copenhagen Municipality,,,http://thaiembassy.dk,http://www.wikidata.org/entity/Q106084702
,embassy,Laos,,,,,http://www.wikidata.org/entity/Q23975302
,embassy,Mexico,Mexico City,,,,http://www.wikidata.org/entity/Q111698909
,embassy,Myanmar,Yangon,,,,http://www.wikidata.org/entity/Q111085584
,embassy,Netherlands,The Hague,,,https://hague.thaiembassy.org,http://www.wikidata.org/entity/Q100570155
,embassy,New Zealand,Wellington,,,https://wellington.thaiembassy.org/,http://www.wikidata.org/entity/Q111898664
,embassy,Norway,Oslo Municipality,,,,http://www.wikidata.org/entity/Q19392209
,embassy,People's Republic of China,Chaowai Subdistrict,,,,http://www.wikidata.org/entity/Q119174174
,consulate general,People's Republic of China,Qingdao,,,,http://www.wikidata.org/entity/Q48926461
,embassy,Peru,San Isidro,,,https://lima.thaiembassy.org,http://www.wikidata.org/entity/Q110729144
,embassy,Poland,Warsaw,,+48-22-849-26-55,http://www.thaiembassy.org/warsaw/pl/,http://www.wikidata.org/entity/Q9149617
,embassy,Portugal,Lisbon,,,https://lisbon.thaiembassy.org/,http://www.wikidata.org/entity/Q105464033
,embassy,Romania,Bucharest,,,https://bucharest.thaiembassy.org,http://www.wikidata.org/entity/Q106950021
,embassy,Russia,Moscow,,,https://moscow.thaiembassy.org,http://www.wikidata.org/entity/Q4374059
,embassy,Saudi Arabia,Riyadh,,,https://riyadh.thaiembassy.org/,http://www.wikidata.org/entity/Q68170124
,embassy,South Africa,Pretoria,,,https://pretoria.thaiembassy.org,http://www.wikidata.org/entity/Q106715268
,embassy,South Korea,Hannam-dong,,,https://seoul.thaiembassy.org/th/index,http://www.wikidata.org/entity/Q24033423
,embassy,Spain,Madrid,,,https://madrid.thaiembassy.org,http://www.wikidata.org/entity/Q105344458
,embassy,Sweden,Stockholm,,,http://thaiembassy.se,http://www.wikidata.org/entity/Q10694853
thai.bern@bluewin.ch,embassy,Switzerland,Köniz,,+41-31-970-30-30,,http://www.wikidata.org/entity/Q26979959
,embassy,Turkey,Ankara,,,https://ankara.thaiembassy.org,http://www.wikidata.org/entity/Q111038380
,embassy,United Kingdom,Royal Borough of Kensington and Chelsea,,,http://www.thaiembassyuk.org.uk/,http://www.wikidata.org/entity/Q15378913
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369889
