email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,Woluwe-Saint-Pierre - Sint-Pieters-Woluwe,,,http://ambatogobruxelles.be/,http://www.wikidata.org/entity/Q70002416
,embassy,Brazil,Brasília,,,https://embaixadadotogo.com.br,http://www.wikidata.org/entity/Q105725599
,embassy,Canada,Ottawa,,,https://ambatogocanada.com,http://www.wikidata.org/entity/Q106821600
,embassy,France,Paris,,,https://www.france.ambassadetogo.org/,http://www.wikidata.org/entity/Q15149892
,embassy,Germany,Berlin,,,http://ambatogoberlin.de/,http://www.wikidata.org/entity/Q60861249
,embassy,India,New Delhi,,,https://ambatogoindia.com/,http://www.wikidata.org/entity/Q112671216
,embassy,Japan,Yakumo 2-chōme,,,https://ambatogojapon.net/,http://www.wikidata.org/entity/Q61877336
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q100276655
,embassy,South Africa,Pretoria,,,https://embassyoftogoza.com/,http://www.wikidata.org/entity/Q106715271
,honorary consulate,Spain,Barcelona,,,,http://www.wikidata.org/entity/Q108741329
,embassy,Switzerland,Geneva,,,,http://www.wikidata.org/entity/Q100955589
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q106098280
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369891
