email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Belgium,Woluwe-Saint-Pierre - Sint-Pieters-Woluwe,,,,http://www.wikidata.org/entity/Q70002988
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q104178640
,high commission,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q104178710
,embassy,Costa Rica,San José,,,,http://www.wikidata.org/entity/Q104178882
,embassy,Cuba,Havana,,,,http://www.wikidata.org/entity/Q104178961
,high commission,Guyana,Ottawa,,,,http://www.wikidata.org/entity/Q104179485
,high commission,India,New Delhi,,,,http://www.wikidata.org/entity/Q104179018
,high commission,Jamaica,Kingston,,,,http://www.wikidata.org/entity/Q104179166
,high commission,Nigeria,Abuja,,,,http://www.wikidata.org/entity/Q104179243
,embassy,Panama,Panama City,,,,http://www.wikidata.org/entity/Q104179372
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q104178814
,honorary consulate,Peru,Lima,,,,http://www.wikidata.org/entity/Q124879130
,high commission,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q104179397
,high commission,United Kingdom,London,,,,http://www.wikidata.org/entity/Q16843147
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369892
,embassy,Venezuela,Caracas,,,,http://www.wikidata.org/entity/Q104179459
