email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Algeria,El Mouradia,,,,http://www.wikidata.org/entity/Q2841839
,embassy,Argentina,Buenos Aires,,,,http://www.wikidata.org/entity/Q68171001
,embassy,Austria,Vienna,,,https://www.diplomatie.gov.tn/nc/mission/etranger/ambassade-de-tunisie-a-vienne-autriche/,http://www.wikidata.org/entity/Q68170961
,embassy,Bahrain,,,,,http://www.wikidata.org/entity/Q68170353
,embassy,Belgium,Woluwe-Saint-Pierre - Sint-Pieters-Woluwe,,,,http://www.wikidata.org/entity/Q68170977
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q68171004
,embassy,Burkina Faso,,,,,http://www.wikidata.org/entity/Q68170918
,embassy,Cameroon,Yaoundé,,,,http://www.wikidata.org/entity/Q68170897
,embassy,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q68171005
,embassy,Czech Republic,Prague,,,,http://www.wikidata.org/entity/Q68170965
,embassy,Democratic Republic of the Congo,Kinshasa,,,,http://www.wikidata.org/entity/Q68170930
,embassy,Egypt,Cairo,,,,http://www.wikidata.org/entity/Q68170913
,embassy,Ethiopia,,,,,http://www.wikidata.org/entity/Q68170893
,embassy,Finland,Helsinki,,,,http://www.wikidata.org/entity/Q68170981
,embassy,France,,,,,http://www.wikidata.org/entity/Q2841840
,consulate general,France,16th arrondissement of Paris,,,https://www.consulat-general-tunisie-paris.com/,http://www.wikidata.org/entity/Q16507619
,consulate general,France,6th arrondissement of Lyon,,,http://www.consulattunisie-lyon.org/,http://www.wikidata.org/entity/Q16507618
,consulate general,France,Marseille,,,,http://www.wikidata.org/entity/Q16507617
,consulate general,France,Nice,,,http://www.cgt-nice.diplomatie.gov.tn/,http://www.wikidata.org/entity/Q16507616
,embassy,Germany,Berlin,,,http://www.tunesien.tn/,http://www.wikidata.org/entity/Q72014824
,consulate general,Germany,Bonn,,,,http://www.wikidata.org/entity/Q21588226
,embassy,Greece,Athens,,,,http://www.wikidata.org/entity/Q68170972
,embassy,Hungary,Budapest District XII,,,https://www.diplomatie.gov.tn/en/nc/mission/etranger/ambassade-de-tunisie-a-budapest-hongrie/,http://www.wikidata.org/entity/Q68170970
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q68171122
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q68171118
,embassy,Iran,Tehran,,,,http://www.wikidata.org/entity/Q68171119
,embassy,Iraq,,,,,http://www.wikidata.org/entity/Q68171129
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q54874562
,embassy,Ivory Coast,Abidjan,,,,http://www.wikidata.org/entity/Q68170908
at.tokyo@diplomatie.gov.tn,embassy,Japan,Kudanminami,,+81-3-35116622,https://www.diplomatie.gov.tn/nc/mission/etranger/ambassade-de-tunisie-a-tokyo-japon/,http://www.wikidata.org/entity/Q61925305
,embassy,Jordan,Amman,,,,http://www.wikidata.org/entity/Q68171128
,embassy,Kenya,,,,,http://www.wikidata.org/entity/Q68170921
,embassy,Kuwait,,,,,http://www.wikidata.org/entity/Q68171136
,embassy,Lebanon,,,,,http://www.wikidata.org/entity/Q68171147
,embassy,Libya,,,,,http://www.wikidata.org/entity/Q68170935
,embassy,Mali,Bamako,,,https://www.diplomatie.gov.tn/nc/mission/etranger/ambassade-de-tunisie-a-bamako-mali/,http://www.wikidata.org/entity/Q68170903
,embassy,Malta,Attard,,,,http://www.wikidata.org/entity/Q68170987
,embassy,Mauritania,Nouakchott,,,,http://www.wikidata.org/entity/Q68170923
,embassy,Morocco,,,,,http://www.wikidata.org/entity/Q30314919
,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q68170989
,embassy,Nigeria,Abuja,,,,http://www.wikidata.org/entity/Q68170938
,embassy,Norway,,,,http://www.tunisiaamb.no/,http://www.wikidata.org/entity/Q19393500
,embassy,Pakistan,Islamabad,,,,http://www.wikidata.org/entity/Q68171140
,embassy,Palestine,,,,,http://www.wikidata.org/entity/Q68171143
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q68171121
,embassy,Poland,Warsaw,,+48-22-628-25-86,https://www.diplomatie.gov.tn/en/nc/mission/etranger/ambassade-de-tunisie-a-warsaw-pologne/,http://www.wikidata.org/entity/Q9149619
,embassy,Portugal,Lisbon,,,,http://www.wikidata.org/entity/Q68170984
,embassy,Qatar,Doha,,,,http://www.wikidata.org/entity/Q68171124
,embassy,Romania,Bucharest,,,http://atunisia.ro,http://www.wikidata.org/entity/Q68170978
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q4374061
,embassy,Saudi Arabia,Riyadh,,,https://www.diplomatie.gov.tn/nc/mission/etranger/ambassade-de-tunisie-a-riyad-arabie-saoudite/,http://www.wikidata.org/entity/Q68170127
,embassy,Senegal,Dakar,,,,http://www.wikidata.org/entity/Q68170916
,embassy,Serbia,Belgrade,,,,http://www.wikidata.org/entity/Q68170967
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q68170902
,embassy,South Korea,Seoul,,,,http://www.wikidata.org/entity/Q68171130
,embassy,Spain,Madrid,,,https://www.diplomatie.gov.tn/nc/mission/etranger/ambassade-de-tunisie-a-madrid-espagne/,http://www.wikidata.org/entity/Q54874577
,embassy,Sudan,Khartoum,,,,http://www.wikidata.org/entity/Q68170928
,embassy,Sweden,Stockholm Municipality,,,,http://www.wikidata.org/entity/Q18334191
at.berne@diplomatie.gov.tn,embassy,Switzerland,Bern,,+41 31 3528226,,http://www.wikidata.org/entity/Q26979972
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q43033179
,embassy,United Arab Emirates,,,,,http://www.wikidata.org/entity/Q68171134
,embassy,United Kingdom,London,,,http://www.at-londres.diplomatie.gov.tn/,http://www.wikidata.org/entity/Q16891026
,embassy,United States of America,"Washington, D.C.",,,https://www.tunisianembassy.org/,http://www.wikidata.org/entity/Q1834440
