email,mission_type,host_country,city,address,phone,website,wikidata_qid
embassy.kabul@mfa.gov.tr,embassy,Afghanistan,Kabul,,+93-20-210-1581,http://kabul.emb.mfa.gov.tr/Mission,http://www.wikidata.org/entity/Q81528107
,embassy,Albania,Tirana,,,http://tirana.emb.mfa.gov.tr,http://www.wikidata.org/entity/Q1320314
,embassy,Algeria,El Biar,,,http://cezayir.be.mfa.gov.tr,http://www.wikidata.org/entity/Q110894552
,embassy,Angola,Luanda,,,http://luanda.be.mfa.gov.tr,http://www.wikidata.org/entity/Q110955679
,embassy,Argentina,Buenos Aires,,,http://buenosaires.emb.mfa.gov.tr,http://www.wikidata.org/entity/Q1752608
,embassy,Australia,Canberra,,,http://kanberra.be.mfa.gov.tr,http://www.wikidata.org/entity/Q106511555
,embassy,Austria,Vienna,,,http://www.vienna.emb.mfa.gov.tr/,http://www.wikidata.org/entity/Q2464773
,embassy,Azerbaijan,Baku,,,http://baku.be.mfa.gov.tr,http://www.wikidata.org/entity/Q16417782
,embassy,Bahrain,Manama,,,http://manama.emb.mfa.gov.tr,http://www.wikidata.org/entity/Q19611772
embassy.dhaka@mfa.gov.tr,embassy,Bangladesh,Dhaka,,+880-960-4800100,http://dhaka.emb.mfa.gov.tr/,http://www.wikidata.org/entity/Q107452809
,embassy,Belarus,Minsk,,,http://minsk.be.mfa.gov.tr,http://www.wikidata.org/entity/Q107003183
,embassy,Belgium,City of Brussels,,,http://bruksel-be.mfa.gov.tr,http://www.wikidata.org/entity/Q2464729
,embassy,Benin,Cotonou,,,http://kotonu.be.mfa.gov.tr,http://www.wikidata.org/entity/Q110899117
,consulate general,Bosnia and Herzegovina,City of Mostar,,,http://mostar.bk.mfa.gov.tr/,http://www.wikidata.org/entity/Q99481345
,embassy,Bosnia and Herzegovina,Sarajevo,,,http://sarajevo.emb.mfa.gov.tr/,http://www.wikidata.org/entity/Q93501596
,embassy,Botswana,Gaborone,,,http://gaboron.be.mfa.gov.tr,http://www.wikidata.org/entity/Q110899306
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q7855266
,embassy,Brunei,Bandar Seri Begawan,,,http://bandar.be.mfa.gov.tr,http://www.wikidata.org/entity/Q110899344
,embassy,Bulgaria,Sofia,,,http://sofia.emb.mfa.gov.tr,http://www.wikidata.org/entity/Q109327434
,embassy,Burkina Faso,Ouagadougou,,,http://ugudugu.be.mfa.gov.tr,http://www.wikidata.org/entity/Q110899419
,embassy,Cambodia,Phnom Penh,,,http://punompen.be.mfa.gov.tr,http://www.wikidata.org/entity/Q110906097
,embassy,Cameroon,Yaoundé,,,http://yaounde.be.mfa.gov.tr,http://www.wikidata.org/entity/Q110906129
,embassy,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q5369896
,embassy,Chad,N'Djamena,,,http://encemine.be.mfa.gov.tr,http://www.wikidata.org/entity/Q110907703
,embassy,Chile,Providencia,,,http://santiago.emb.mfa.gov.tr,http://www.wikidata.org/entity/Q109536041
,embassy,Colombia,Bogotá,,,http://bogota.be.mfa.gov.tr,http://www.wikidata.org/entity/Q109534212
,embassy,Costa Rica,San José,,,http://sanjose.emb.mfa.gov.tr,http://www.wikidata.org/entity/Q110907823
,embassy,Croatia,Zagreb,,,http://zagreb.emb.mfa.gov.tr,http://www.wikidata.org/entity/Q2464779
,embassy,Cuba,Havana,,,http://havana.be.mfa.gov.tr,http://www.wikidata.org/entity/Q110898598
,embassy,Czech Republic,Prague,,,http://prag.be.mfa.gov.tr,http://www.wikidata.org/entity/Q2464755
,embassy,Democratic Republic of the Congo,Kinshasa,,,http://kinsasa.be.mfa.gov.tr,http://www.wikidata.org/entity/Q110907682
,embassy,Djibouti,Djibouti,,,http://cibuti.be.mfa.gov.tr,http://www.wikidata.org/entity/Q110908196
,embassy,Dominican Republic,Santo Domingo,,,http://santodomingo.be.mfa.gov.tr,http://www.wikidata.org/entity/Q109535752
,embassy,Ecuador,Quito,,,http://kito.be.mfa.gov.tr,http://www.wikidata.org/entity/Q109534213
consulate.alexandria@mfa.gov.tr,consulate general,Egypt,Alexandria,,+20 3 399 07 00,http://iskenderiye.bk.mfa.gov.tr/,http://www.wikidata.org/entity/Q112630514
,embassy,Egypt,Cairo,,,http://cairo.emb.mfa.gov.tr,http://www.wikidata.org/entity/Q110894621
,embassy,Eritrea,Asmara,,,http://asmara.be.mfa.gov.tr,http://www.wikidata.org/entity/Q110917465
,embassy,Estonia,Tallinn City,,,http://tallin.be.mfa.gov.tr,http://www.wikidata.org/entity/Q65262669
,embassy,Ethiopia,Addis Ababa,,,http://addisababa.be.mfa.gov.tr,http://www.wikidata.org/entity/Q110908868
,embassy,Finland,Helsinki,,,http://helsinki.be.mfa.gov.tr,http://www.wikidata.org/entity/Q1657302
,embassy,France,,,,http://paris.emb.mfa.gov.tr,http://www.wikidata.org/entity/Q2464752
,consulate general,France,6th arrondissement of Lyon,,,https://lyon-bk.mfa.gov.tr/Mission,http://www.wikidata.org/entity/Q16507639
,consulate general,France,Bordeaux,,,http://bordo.bk.mfa.gov.tr,http://www.wikidata.org/entity/Q16507641
