email,mission_type,host_country,city,address,phone,website,wikidata_qid
,high commission,Australia,Canberra,,,https://www.ugandahighcommissionaustralia.org,http://www.wikidata.org/entity/Q106511919
,embassy,Belgium,Woluwe-Saint-Pierre - Sint-Pieters-Woluwe,,,,http://www.wikidata.org/entity/Q69897471
,high commission,Canada,Ottawa,,,https://ottawa.mofa.go.ug/,http://www.wikidata.org/entity/Q106777294
,embassy,Egypt,Cairo,,,https://cairo.mofa.go.ug/,http://www.wikidata.org/entity/Q111038938
,embassy,France,Paris,,,https://paris.mofa.go.ug/,http://www.wikidata.org/entity/Q16303654
,embassy,Germany,Berlin,,,https://berlin.mofa.go.ug/,http://www.wikidata.org/entity/Q60862264
,high commission,India,New Delhi,,,https://newdelhi.mofa.go.ug,http://www.wikidata.org/entity/Q107637661
,embassy,Italy,Rome,,,https://rome.mofa.go.ug/,http://www.wikidata.org/entity/Q103944468
,embassy,Kingdom of Denmark,Gentofte Municipality,,,https://copenhagen.mofa.go.ug,http://www.wikidata.org/entity/Q101801037
,high commission,Malaysia,Kuala Lumpur,,,https://kualalumpur.mofa.go.ug,http://www.wikidata.org/entity/Q107637720
,high commission,Nigeria,,,,http://www.abuja.mofa.go.ug/,http://www.wikidata.org/entity/Q112750427
,embassy,Russia,Moscow,,,https://moscow.mofa.go.ug,http://www.wikidata.org/entity/Q106963820
,embassy,Saudi Arabia,Riyadh,,,https://riyadh.mofa.go.ug,http://www.wikidata.org/entity/Q68170134
,high commission,South Africa,Pretoria,,,https://pretoria.mofa.go.ug/,http://www.wikidata.org/entity/Q106730454
,embassy,Switzerland,Geneva,,,http://www.ugandamission.ch/,http://www.wikidata.org/entity/Q101015975
,high commission,United Kingdom,City of Westminster,,,,http://www.wikidata.org/entity/Q7877675
,embassy,United States of America,"Washington, D.C.",,,http://washington.mofa.go.ug/,http://www.wikidata.org/entity/Q5369901
