email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Albania,Tirana,,,https://albania.mfa.gov.ua,http://www.wikidata.org/entity/Q113249270
emb_dz@mfa.gov.ua,embassy,Algeria,Algiers,,+213-21-69-13-87,http://algeria.mfa.gov.ua,http://www.wikidata.org/entity/Q12142692
emb_ao@mfa.gov.ua,embassy,Angola,Luanda,,+244-222-716-758,http://angola.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142693
emb_ar@mfa.gov.ua,embassy,Argentina,Buenos Aires,,+54-11-4775-3476,http://argentina.mfa.gov.ua/ua,http://www.wikidata.org/entity/Q12142694
emb_am@mfa.gov.ua,embassy,Armenia,Yerevan,,+374-10-229727,http://armenia.mfa.gov.ua/ua,http://www.wikidata.org/entity/Q12142743
emb_au@mfa.gov.ua,embassy,Australia,Canberra,,+61-2-6230-5789,http://australia.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142690
emb_at@mfa.gov.ua,embassy,Austria,Vienna,,+43-1-479717211,https://austria.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142691
emb_az@mfa.gov.ua,embassy,Azerbaijan,Baku,,+41-24412706,http://azerbaijan.mfa.gov.ua/ua,http://www.wikidata.org/entity/Q11165280
emb_by@mfa.gov.ua,embassy,Belarus,Minsk,,+375-17-283-19-89,http://belarus.mfa.gov.ua/ua,http://www.wikidata.org/entity/Q3917804
emb_be@mfa.gov.ua,embassy,Belgium,City of Brussels,,+32-2-379-21-11,http://belgium.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142695
,embassy,Botswana,Gaborone,,,https://botswana.mfa.gov.ua/,http://www.wikidata.org/entity/Q126496527
emb_br@mfa.gov.ua,embassy,Brazil,Brasília,,+55-61-3365-1457,http://brazil.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142698
emb_bg@mfa.gov.ua,embassy,Bulgaria,Sofia,,+359-2-818-6828,http://bulgaria.mfa.gov.ua,http://www.wikidata.org/entity/Q12142696
emb_ca@mfa.gov.ua,embassy,Canada,Ottawa,,+1-613-230-2961,http://canada.mfa.gov.ua/ua,http://www.wikidata.org/entity/Q5369906
,embassy,Chile,Las Condes,,,https://chile.mfa.gov.ua,http://www.wikidata.org/entity/Q110484954
emb_hr@mfa.gov.ua,embassy,Croatia,Zagreb,,+385-1-4616-296,http://croatia.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142736
emb_cu@mfa.gov.ua,embassy,Cuba,Havana,,+53-7-2042586,http://cuba.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142740
ktoras@ppgroup.com.cy,honorary consulate,Cyprus,Limassol,,+357-25-724821,,http://www.wikidata.org/entity/Q79844807
emb_cz@mfa.gov.ua,embassy,Czech Republic,Prague,,+420-227-020-212,http://czechia.mfa.gov.ua/,http://www.wikidata.org/entity/Q5369907
emb_eg@mfa.gov.ua,embassy,Egypt,Cairo,,+20-2-23786870,http://egypt.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142684
emb_ee@mfa.gov.ua,embassy,Estonia,Tallinn City,,+372-601-5815,https://estonia.mfa.gov.ua/,http://www.wikidata.org/entity/Q5369909
emb_et@mfa.gov.ua,embassy,Ethiopia,Addis Ababa,,+251-11-661-1698,https://ethiopia.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142702
emb_fi@mfa.gov.ua,embassy,Finland,Helsinki,,+358-9-2289000,http://finland.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142745
emb_fr@mfa.gov.ua,embassy,France,,,+33-1-43-06-07-37,https://france.mfa.gov.ua/fr,http://www.wikidata.org/entity/Q2841607
emb_ge@mfa.gov.ua,embassy,Georgia,Tbilisi,,+995-32-231-11-61,http://georgia.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142701
emb_de@mfa.gov.ua,embassy,Germany,Mitte,,+49-30-28887116,http://germany.mfa.gov.ua/ua,http://www.wikidata.org/entity/Q821586
emb_gr@mfa.gov.ua,embassy,Greece,Filothei-Psychiko Municipality,,+30-21-0680-0230,http://greece.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142700
emb_hu@mfa.gov.ua,embassy,Hungary,Budapest District XII,,+36-1-422-4120,https://hungary.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142734
emb_in@mfa.gov.ua,embassy,India,New Delhi,,+91-11-2614-6041,http://india.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142687
emb_id@mfa.gov.ua,embassy,Indonesia,Jakarta,,+62-21-2500801,http://indonesia.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142686
emb_ir@mfa.gov.ua,embassy,Iran,Tehran,,+98-21-2239-7195,http://iran.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142689
emb_iq@mfa.gov.ua,embassy,Iraq,Baghdad,,,http://iraq.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142688
emb_ie@mfa.gov.ua,embassy,Ireland,Dublin,,+353-1-668-5189,http://ireland.mfa.gov.ua,http://www.wikidata.org/entity/Q7216893
emb_il@mfa.gov.ua,embassy,Israel,Tel Aviv,,+972-3-627-3300,http://israel.mfa.gov.ua/ua,http://www.wikidata.org/entity/Q12142685
emb_it@mfa.gov.ua,embassy,Italy,Rome,,+39-06-841-2630,http://italy.mfa.gov.ua/,http://www.wikidata.org/entity/Q4374076
emb_va@mfa.gov.ua,embassy,Italy,Rome,,+39-06-3937-8800,http://vatican.mfa.gov.ua/,http://www.wikidata.org/entity/Q56440861
emb_jp@mfa.gov.ua,embassy,Japan,Nishi-Azabu,,+81-3-5474-9770,http://japan.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142738
emb_jo@mfa.gov.ua,embassy,Jordan,Amman,,+962-6-592-2402,http://jordan.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142703
emb_kz@mfa.gov.ua,embassy,Kazakhstan,Astana,,+7-7172-32-43-25,http://kazakhstan.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142704
emb_ke@mfa.gov.ua,embassy,Kenya,Nairobi,,+254-20-3748922,http://kenya.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142706
emb_dk@mfa.gov.ua,embassy,Kingdom of Denmark,Copenhagen Municipality,,+45-33-16-16-35,http://denmark.mfa.gov.ua/,http://www.wikidata.org/entity/Q5369903
emb_kw@mfa.gov.ua,embassy,Kuwait,Kuwait City,,+965-2531-8507,http://kuwait.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142708
emb_kg@mfa.gov.ua,embassy,Kyrgyzstan,Bishkek,,+996-312-251-767,http://kyrgyzstan.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142707
emb_lv@mfa.gov.ua,embassy,Latvia,Riga,,+371-67-243-082,https://latvia.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142709
emb_lb@mfa.gov.ua,embassy,Lebanon,Beirut,,+961-5-921-975,https://lebanon.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142711
emb_ly@mfa.gov.ua,embassy,Libya,Tripoli,,,http://www.mfa.gov.ua/libya,http://www.wikidata.org/entity/Q12142710
emb_lt@mfa.gov.ua,embassy,Lithuania,Vilnius,,+370-5-212-1536,http://lithuania.mfa.gov.ua/,http://www.wikidata.org/entity/Q5369911
emb_my@mfa.gov.ua,embassy,Malaysia,Kuala Lumpur,,+60-3-2166-9552,http://malaysia.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142714
emb_mx@mfa.gov.ua,embassy,Mexico,Mexico City,,+52-55-5282-4744,https://mexico.mfa.gov.ua/,http://www.wikidata.org/entity/Q4374072
emb_md@mfa.gov.ua,embassy,Moldova,Chișinău,,+373-22-582-151,http://moldova.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142715
emb_me@mfa.gov.ua,embassy,Montenegro,Podgorica,,+382-20-227-181,http://montenegro.mfa.gov.ua/,http://www.wikidata.org/entity/Q4374077
emb_ma@mfa.gov.ua,embassy,Morocco,Rabat,,+212-5376-57840,http://morocco.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142713
emb_nl@mfa.gov.ua,embassy,Netherlands,The Hague,,+31-70-362-6095,http://netherlands.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142719
emb_ng@mfa.gov.ua,embassy,Nigeria,Abuja,,+234-803-678-9749,http://nigeria.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142716
emb_mk@mfa.gov.ua,embassy,North Macedonia,Skopje,,+389-2-317-8120,http://macedonia.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142712
emb_cy@mfa.gov.ua,embassy,Northern Cyprus,Nicosia,,+357-22-464380,http://cyprus.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142739
emb_no@mfa.gov.ua,embassy,Norway,Oslo Municipality,,+47-22-83-55-60,http://norway.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142717
emb_pk@mfa.gov.ua,embassy,Pakistan,Islamabad,,+92-51-2608966,http://pakistan.mfa.gov.ua/,http://www.wikidata.org/entity/Q4374068
emb_cn@mfa.gov.ua,embassy,People's Republic of China,Beijing,,+86-10-6532-6359,http://china.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142705
,consulate general,People's Republic of China,Changning District,,,,http://www.wikidata.org/entity/Q115707609
,consulate general,People's Republic of China,Guangzhou,,,,http://www.wikidata.org/entity/Q119323659
,consulate general,People's Republic of China,Shanghai,,,,http://www.wikidata.org/entity/Q119324066
emb_pe@mfa.gov.ua,embassy,Peru,Lima,,+51-16-39-68-56,https://peru.mfa.gov.ua,http://www.wikidata.org/entity/Q12142720
emb_pl@mfa.gov.ua,embassy,Poland,,,+48-22-629-34-46,http://poland.mfa.gov.ua/,http://www.wikidata.org/entity/Q2339271
,consulate general,Poland,Gdańsk,,,https://gdansk.mfa.gov.ua/ua,http://www.wikidata.org/entity/Q55587190
,consulate,Poland,Kraków,,,,http://www.wikidata.org/entity/Q86680055
,consulate,Poland,Wrocław,,,https://wroclaw.mfa.gov.ua/pl,http://www.wikidata.org/entity/Q112829331
emb_pt@mfa.gov.ua,embassy,Portugal,Lisbon,,+351-21-301-0043,http://portugal.mfa.gov.ua/,http://www.wikidata.org/entity/Q4374070
emb_qa@mfa.gov.ua,embassy,Qatar,Doha,,+974-4414-7297,http://qatar.mfa.gov.ua/,http://www.wikidata.org/entity/Q20091588
emb_ro@mfa.gov.ua,embassy,Romania,Bucharest,,+40-21-230-3660,http://romania.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142724
emb_ru@mfa.gov.ua,embassy,Russia,Presnensky District,,+7-495-629-46-40,http://russia.mfa.gov.ua/,http://www.wikidata.org/entity/Q4374079
gcspb@cons-ua.ru,consulate general,Russia,Saint Petersburg,,+7-812-331-51-63,http://www.cons-ua.ru/,http://www.wikidata.org/entity/Q5164560
emb_sa@mfa.gov.ua,embassy,Saudi Arabia,Riyadh,,+966-11-450-8536,http://saudiarabia.mfa.gov.ua,http://www.wikidata.org/entity/Q12142723
emb_sn@mfa.gov.ua,embassy,Senegal,Dakar,,+221-33-859-02-02,http://senegal.mfa.gov.ua,http://www.wikidata.org/entity/Q16712428
emb_sm@mfa.gov.ua,embassy,Serbia,Belgrade,,+381-11-3672411,http://serbia.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142726
emb_sg@mfa.gov.ua,embassy,Singapore,Singapore,,+65-6535-6550,http://singapore.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142728
emb_sk@mfa.gov.ua,embassy,Slovakia,Bratislava,,+421-2-592-028-10,http://slovakia.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142744
emb_si@mfa.gov.ua,embassy,Slovenia,Ljubljana,,+386-1-421-06-04,http://slovenia.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142727
emb_za@mfa.gov.ua,embassy,South Africa,Pretoria,,+27-12-460-1943,http://rsa.mfa.gov.ua/ua,http://www.wikidata.org/entity/Q12142721
emb_kr@mfa.gov.ua,embassy,South Korea,Seoul,,+82-2-790-5696,http://korea.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142722
,consulate general,Spain,Les Corts,,,https://barcelona.mfa.gov.ua/,http://www.wikidata.org/entity/Q111082202
emb_es@mfa.gov.ua,embassy,Spain,Madrid,,+34-917-48-93-60,http://spain.mfa.gov.ua/,http://www.wikidata.org/entity/Q4374069
,consulate general,Spain,Málaga,,,https://malaga.mfa.gov.ua,http://www.wikidata.org/entity/Q111082512
emb_se@mfa.gov.ua,embassy,Sweden,Lidingö Municipality,,+46-8-522-284-01,http://sweden.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142737
emb_ch@mfa.gov.ua,embassy,Switzerland,Bern,,+41 (0)31 352-23-16,https://switzerland.mfa.gov.ua/,http://www.wikidata.org/entity/Q5369902
emb_sy@mfa.gov.ua,embassy,Syria,Damascus,,+963-11-611-3016,http://syria.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142725
emb_tj@mfa.gov.ua,embassy,Tajikistan,Dushanbe,,+992-372-35-8412,http://tajikistan.mfa.gov.ua,http://www.wikidata.org/entity/Q12142729
emb_th@mfa.gov.ua,embassy,Thailand,Bangkok,,+66-2-685-3216,http://thailand.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142730
emb_tn@mfa.gov.ua,embassy,Tunisia,Tunis,,+216-71-849-861,https://tunis.mfa.gov.ua/fr,http://www.wikidata.org/entity/Q12142731
emb_tr@mfa.gov.ua,embassy,Turkey,Ankara,,+90-312-441-54-99,http://turkey.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142732
emb_tm@mfa.gov.ua,embassy,Turkmenistan,Ashgabat,,+993-12-94-30-25,http://turkmenistan.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142733
emb_ae@mfa.gov.ua,embassy,United Arab Emirates,Abu Dhabi,,+971-2-632-7586,http://uae.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142718
emb_gb@mfa.gov.ua,embassy,United Kingdom,Royal Borough of Kensington and Chelsea,,+20-77276312,http://uk.mfa.gov.ua,http://www.wikidata.org/entity/Q5369904
,consulate general,United States of America,New York City,,,https://ny.mfa.gov.ua/,http://www.wikidata.org/entity/Q111182740
emb_us@mfa.gov.ua,embassy,United States of America,"Washington, D.C.",,+1-202-349-2963,http://usa.mfa.gov.ua/,http://www.wikidata.org/entity/Q4374071
emb_uz@mfa.gov.ua,embassy,Uzbekistan,Tashkent,,+998-71-233-52-80,https://uzbekistan.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142735
emb_vn@mfa.gov.ua,embassy,Vietnam,Hanoi,,+84-437344484,http://vietnam.mfa.gov.ua/,http://www.wikidata.org/entity/Q12142741
