email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Afghanistan,Kabul,,+93-78-686-8687,,http://www.wikidata.org/entity/Q81527452
algeriaemb@mofaic.gov.ae,embassy,Algeria,Algiers,,+213-23-48-22-71,https://www.mofaic.gov.ae/en/missions/uae-missions-abroad/uae-missions-abroad-details?countryId=e5164de8-6e30-4da1-bdd6-2d118040aa7b,http://www.wikidata.org/entity/Q81300613
luandaemb@mofaic.gov.ae,embassy,Angola,Luanda,,+244-923-344-367,https://www.mofaic.gov.ae/missions/UAE-Missions-Abroad/UAE-Missions-Abroad-Details?countryId=82ca7276-24cc-4464-bb23-c9c4b3340e27,http://www.wikidata.org/entity/Q81301905
buenosaires@mofa.gov.ae,embassy,Argentina,Buenos Aires,,+54-11-4772-9709,https://www.mofaic.gov.ae/missions/UAE-Missions-Abroad/UAE-Missions-Abroad-Details?countryId=53e02a6a-1d50-4a88-849a-9997ffba89cf,http://www.wikidata.org/entity/Q81267791
yerevanemb@mofa.gov.ae,embassy,Armenia,,,+374-11-777772,https://sp.mofaic.gov.ae/EN/DiplomaticMissions/Embassies/Yerevan/Pages/home.aspx,http://www.wikidata.org/entity/Q81893133
canberraemb@mofaic.gov.aev,embassy,Australia,Canberra,,+61-2-6286-8802,https://sp.mofaic.gov.ae/EN/DiplomaticMissions/Embassies/Canberra/Pages/home.aspx,http://www.wikidata.org/entity/Q81985256
melbournecon@mofa.gov.ae,consulate general,Australia,Melbourne,,+61-3-9622-2000,https://www.mofaic.gov.ae/en/missions/uae-missions-abroad/uae-missions-abroad-details?countryId=4c4715f0-3ec8-4c63-bc79-2a66b7a535a0,http://www.wikidata.org/entity/Q81986729
viennaemb@mofaic.gov.ae,embassy,Austria,Vienna,,+43-1-3681455,https://www.mofaic.gov.ae/en/missions/uae-missions-abroad/uae-missions-abroad-details?countryId=99edd5d0-a580-4dcd-8635-ce0924fd23d1,http://www.wikidata.org/entity/Q80314647
bakuemb@mofaic.gov.ae,embassy,Azerbaijan,,,+994-12-594-70-31,https://sp.mofaic.gov.ae/EN/DiplomaticMissions/Embassies/Baku/Pages/home.aspx,http://www.wikidata.org/entity/Q81893885
manamaemb@mofa.gov.ae,embassy,Bahrain,,,+973-1774-8333,https://sp.mofaic.gov.ae/EN/DiplomaticMissions/Embassies/Manama/Pages/home.aspx,http://www.wikidata.org/entity/Q68170358
