email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Argentina,Buenos Aires,,,https://embajadadeluruguay.com.ar/,http://www.wikidata.org/entity/Q110301953
,embassy,Australia,Canberra,,,,http://www.wikidata.org/entity/Q106512245
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q104649198
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q70004275
,embassy,Bolivia,La Paz,,,,http://www.wikidata.org/entity/Q110589791
,embassy,Brazil,Brasília,,,http://www.emburuguai.org.br/,http://www.wikidata.org/entity/Q105735469
,consulate,Brazil,Salvador,,+55-71-3326-3037,,http://www.wikidata.org/entity/Q66950039
,embassy,Canada,Ottawa,,,http://embassyofuruguay.ca/,http://www.wikidata.org/entity/Q106823305
,embassy,Chile,Providencia,,,,http://www.wikidata.org/entity/Q110485309
,embassy,Colombia,Bogotá,,,,http://www.wikidata.org/entity/Q110623791
,embassy,Costa Rica,San José,,,,http://www.wikidata.org/entity/Q110623842
,embassy,Cuba,Havana,,,,http://www.wikidata.org/entity/Q110624054
,embassy,Dominican Republic,Santo Domingo,,,,http://www.wikidata.org/entity/Q110624141
,embassy,Ecuador,Quito,,,,http://www.wikidata.org/entity/Q110629498
,embassy,Egypt,Cairo,,,,http://www.wikidata.org/entity/Q110616199
,embassy,El Salvador,San Salvador,,,,http://www.wikidata.org/entity/Q110629562
,embassy,Ethiopia,Addis Ababa,,,,http://www.wikidata.org/entity/Q110616446
,embassy,Finland,Helsinki,,,,http://www.wikidata.org/entity/Q106231054
,embassy,France,,,+33-1-45-00-81-37,,http://www.wikidata.org/entity/Q18578134
,embassy,Germany,Berlin,,,https://www.embajada-uruguay.de,http://www.wikidata.org/entity/Q72620962
,embassy,Greece,Kifisia Municipality,,,,http://www.wikidata.org/entity/Q108916702
,embassy,Guatemala,Guatemala City,,,,http://www.wikidata.org/entity/Q110629629
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q110630177
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q107637745
,embassy,Iran,Tehran,,,,http://www.wikidata.org/entity/Q110637998
,embassy,Israel,Herzliya,,,,http://www.wikidata.org/entity/Q110640190
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q60855683
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103945996
,embassy,Japan,Minato,,,,http://www.wikidata.org/entity/Q61911677
,embassy,Lebanon,Jounieh,,,,http://www.wikidata.org/entity/Q109789808
,embassy,Malaysia,Kuala Lumpur,,,,http://www.wikidata.org/entity/Q110640848
,embassy,Mexico,Mexico City,,,,http://www.wikidata.org/entity/Q110629792
,embassy,Netherlands,The Hague,,,,http://www.wikidata.org/entity/Q100535669
,embassy,Palestine,Ramallah,,,,http://www.wikidata.org/entity/Q110640992
,de facto embassy,Palestine,Ramallah,,,,http://www.wikidata.org/entity/Q125497404
,embassy,Panama,Panama City,,,,http://www.wikidata.org/entity/Q110629848
,embassy,Paraguay,Asunción,,,https://embajadadeluruguay.com.py,http://www.wikidata.org/entity/Q110576295
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q100278679
,embassy,Peru,San Isidro,,,,http://www.wikidata.org/entity/Q110630132
,embassy,Poland,Warsaw,,+48-22-849-50-40,,http://www.wikidata.org/entity/Q9149625
,embassy,Portugal,Lisbon,,,,http://www.wikidata.org/entity/Q105464545
,embassy,Qatar,Doha,,,,http://www.wikidata.org/entity/Q110641228
,embassy,Romania,Bucharest,,,http://www.embadeuruguay.ro,http://www.wikidata.org/entity/Q106937655
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q4374075
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68170142
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106730455
,embassy,South Korea,Seoul,,,,http://www.wikidata.org/entity/Q110641390
,embassy,Spain,Madrid,,,,http://www.wikidata.org/entity/Q105357643
,embassy,Sweden,Stockholm,,,,http://www.wikidata.org/entity/Q18334470
uruhelve@bluewin.ch,embassy,Switzerland,Bern,,+41-31-311-27-92,,http://www.wikidata.org/entity/Q26980042
,embassy,United Arab Emirates,Abu Dhabi,,,,http://www.wikidata.org/entity/Q110643123
,embassy,United Kingdom,London,,,,http://www.wikidata.org/entity/Q104782073
,embassy,United States of America,"Washington, D.C.",,,,http://www.wikidata.org/entity/Q5369912
,embassy,Venezuela,Caracas,,,,http://www.wikidata.org/entity/Q110630162
,embassy,Vietnam,Hanoi,,,,http://www.wikidata.org/entity/Q110643133
