email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q104649208
,embassy,Azerbaijan,Baku,,,,http://www.wikidata.org/entity/Q12848723
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q69897692
,embassy,France,Paris,,,https://www.ouzbekistan.fr,http://www.wikidata.org/entity/Q2841596
,embassy,Germany,Berlin,,,http://www.uzbekistan.de/,http://www.wikidata.org/entity/Q22582789
,embassy,India,New Delhi,,,http://www.uzbekembassy.in,http://www.wikidata.org/entity/Q112671287
,embassy,Indonesia,Jakarta,,,http://uzembassy.id/,http://www.wikidata.org/entity/Q107641893
,embassy,Israel,Ramat Gan,,,http://www.uzbembassy.org.il,http://www.wikidata.org/entity/Q112109983
,embassy,Italy,Rome,,,http://uzembassy.it/,http://www.wikidata.org/entity/Q103946627
,embassy,Japan,,,,,http://www.wikidata.org/entity/Q61925853
,embassy,Latvia,Riga,,,http://uzembassy.lv/,http://www.wikidata.org/entity/Q106231289
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q100276880
,embassy,Poland,Warsaw,,,http://www.uzbekistan.pl/index.php?lang=pl,http://www.wikidata.org/entity/Q9149627
,embassy,Russia,Moscow,,,http://www.uzembassy.ru/,http://www.wikidata.org/entity/Q4374066
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68170144
,embassy,Singapore,Singapore,,,http://uzembassy.sg,http://www.wikidata.org/entity/Q106512279
,embassy,Spain,Madrid,,,http://uzbekembassy.es,http://www.wikidata.org/entity/Q104162047
,embassy,Sweden,,,,,http://www.wikidata.org/entity/Q126538830
,embassy,Turkey,Ankara,,,http://www.uzembassy.org.tr,http://www.wikidata.org/entity/Q106730642
embassy@uzbekistan.org.ua,embassy,Ukraine,Kyiv,,+380-44-501-5000,http://www.uzbekistan.org.ua/,http://www.wikidata.org/entity/Q12142683
,embassy,United Kingdom,Royal Borough of Kensington and Chelsea,,,,http://www.wikidata.org/entity/Q16991748
,embassy,United States of America,"Washington, D.C.",,,https://uzbekistan.org/,http://www.wikidata.org/entity/Q5369913
