email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Argentina,Buenos Aires,,,,http://www.wikidata.org/entity/Q110302052
,embassy,Australia,Canberra,,,http://australia.embajada.gob.ve,http://www.wikidata.org/entity/Q106512410
,embassy,Austria,Vienna,,,https://www.austria.gob.ve,http://www.wikidata.org/entity/Q54169006
,embassy,Belarus,Minsk,,+375-17-284-50-99,http://www.embavenez.by/,http://www.wikidata.org/entity/Q33113496
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q70004644
,embassy,Belize,Belmopan,,,,http://www.wikidata.org/entity/Q121271599
,embassy,Bolivia,La Paz,,,,http://www.wikidata.org/entity/Q110589844
,embassy,Brazil,Brasília,,,http://brasil.embajada.gob.ve/,http://www.wikidata.org/entity/Q105735849
,embassy,Bulgaria,Sofia,,,,http://www.wikidata.org/entity/Q108916761
,embassy,Canada,Ottawa,,,http://www.misionvenezuela.org,http://www.wikidata.org/entity/Q106823495
,embassy,Chile,Providencia,,,http://chile.embajada.gob.ve/,http://www.wikidata.org/entity/Q110485327
,embassy,Costa Rica,San José,,,,http://www.wikidata.org/entity/Q111103147
,embassy,Ecuador,Quito,,,,http://www.wikidata.org/entity/Q79863989
,embassy,Egypt,Maadi,,+20 2 2359 4873,,http://www.wikidata.org/entity/Q113161907
,embassy,France,,,,https://francia.consuladovenezuela.org/,http://www.wikidata.org/entity/Q2841886
,consulate general,France,Fort-de-France,,,,http://www.wikidata.org/entity/Q16507654
,embassy,Germany,Berlin,,,https://botschaft-venezuela.de/,http://www.wikidata.org/entity/Q67475152
,embassy,Greece,Chalandri,,,,http://www.wikidata.org/entity/Q109690714
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q112671307
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q107642300
,embassy,Italy,Rome,,,http://vaticano.embajada.gob.ve/,http://www.wikidata.org/entity/Q86668904
,embassy,Italy,Rome,,,http://italia.embajada.gob.ve/,http://www.wikidata.org/entity/Q103948947
info@venezuela.or.jp,embassy,Japan,Tokyo,,+81-3-3409-1501,https://venezuela.or.jp/,http://www.wikidata.org/entity/Q61877375
,embassy,Mexico,Mexico City,,,,http://www.wikidata.org/entity/Q111699020
,embassy,Netherlands,The Hague,,,http://paisesbajos.embajada.gob.ve,http://www.wikidata.org/entity/Q100493149
,embassy,North Korea,Pyongyang,,,,http://www.wikidata.org/entity/Q66712757
,embassy,Norway,Oslo Municipality,,,,http://www.wikidata.org/entity/Q19323350
,embassy,Paraguay,Asunción,,,,http://www.wikidata.org/entity/Q110576407
,embassy,People's Republic of China,Beijing,,,http://china.embajada.gob.ve/,http://www.wikidata.org/entity/Q100276195
,embassy,Peru,Lima District,,,,http://www.wikidata.org/entity/Q110729464
,embassy,Poland,Warsaw,,+48-22-646-18-46,http://www.venez.pl/language/pl/,http://www.wikidata.org/entity/Q11685582
,embassy,Portugal,Lisbon,,,,http://www.wikidata.org/entity/Q105464880
,embassy,Romania,Bucharest,,,http://rumania.embajada.gob.ve,http://www.wikidata.org/entity/Q106937708
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q4373980
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68170147
,embassy,Serbia,Belgrade,,,http://serbia.embajada.gob.ve/,http://www.wikidata.org/entity/Q108275465
,embassy,South Africa,Pretoria,,,http://sudafrica.embajada.gob.ve/,http://www.wikidata.org/entity/Q106730788
,embassy,South Korea,,,,,http://www.wikidata.org/entity/Q114096522
,embassy,Spain,Madrid,,,http://espana.embajada.gob.ve/,http://www.wikidata.org/entity/Q105357853
,embassy,Suriname,Paramaribo,,,,http://www.wikidata.org/entity/Q109500223
embajada@embavenez-suiza.ch,embassy,Switzerland,Köniz,,+41-31-350-57-57,http://suiza.embajada.gob.ve,http://www.wikidata.org/entity/Q26980064
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q111039059
,embassy,United Kingdom,,,,,http://www.wikidata.org/entity/Q15378879
,embassy,United States of America,,,,,http://www.wikidata.org/entity/Q5369915
,consulate general,United States of America,Texas,,,,http://www.wikidata.org/entity/Q7919823
,embassy,Uruguay,Montevideo,,,https://uruguay.embajada.gob.ve,http://www.wikidata.org/entity/Q110494838
