email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Austria,Vienna,,,,http://www.wikidata.org/entity/Q54168833
,embassy,Bahrain,,,,,http://www.wikidata.org/entity/Q68170367
,embassy,Belgium,City of Brussels,,,,http://www.wikidata.org/entity/Q67408014
,embassy,Bulgaria,Sofia,,,,http://www.wikidata.org/entity/Q109327808
,embassy,Canada,Ottawa,,,http://www.yemenembassy.ca/,http://www.wikidata.org/entity/Q106824188
,embassy,Cuba,Havana,,,,http://www.wikidata.org/entity/Q105704333
,embassy,Czech Republic,Prague,,,,http://www.wikidata.org/entity/Q107119226
,embassy,Ethiopia,Addis Ababa,,,,http://www.wikidata.org/entity/Q79637889
,embassy,France,,,,,http://www.wikidata.org/entity/Q2841888
,embassy,Germany,Berlin,,,https://yemenembassy.de/,http://www.wikidata.org/entity/Q73169729
,embassy,India,New Delhi,,,,http://www.wikidata.org/entity/Q112671343
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q106512440
,embassy,Italy,Rome,,,https://yemenembassy.it/,http://www.wikidata.org/entity/Q103950579
,embassy,Japan,,,,https://www.yemen.jp/index.php,http://www.wikidata.org/entity/Q61911599
,embassy,Libya,Tripoli,,,,http://www.wikidata.org/entity/Q107790543
,embassy,Netherlands,The Hague,,,https://www.yemenembassynl.org/,http://www.wikidata.org/entity/Q100605534
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q100276129
,embassy,Poland,Warsaw,,,http://www.embassy-of-yemen.pl,http://www.wikidata.org/entity/Q11685571
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q4374003
,embassy,Saudi Arabia,Riyadh,,,https://www.yemenembassy-sa.org,http://www.wikidata.org/entity/Q68170152
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106731011
,embassy,Spain,Madrid,,,http://www.embyemenesp.com/,http://www.wikidata.org/entity/Q105358047
,embassy,Switzerland,Le Grand-Saconnex,,,,http://www.wikidata.org/entity/Q101069905
hcgye.bkk@gmail.com,consulate general,Thailand,Bangkok,,,,http://www.wikidata.org/entity/Q110746029
,embassy,Turkey,Ankara,,,,http://www.wikidata.org/entity/Q111039490
,embassy,United Kingdom,London,,,http://www.yemenembassy.co.uk,http://www.wikidata.org/entity/Q5369918
,embassy,United States of America,"Washington, D.C.",,,https://www.yemenembassy.org/,http://www.wikidata.org/entity/Q5369916
