email,mission_type,host_country,city,address,phone,website,wikidata_qid
,high commission,Australia,Canberra,,,https://www.zambia.org.au/,http://www.wikidata.org/entity/Q106512447
,embassy,Belgium,Waterloo,,,,http://www.wikidata.org/entity/Q70005054
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105737117
,high commission,Canada,Ottawa,,,,http://www.wikidata.org/entity/Q106824215
,embassy,Egypt,,,,,http://www.wikidata.org/entity/Q125496175
,embassy,France,,,,,http://www.wikidata.org/entity/Q15952651
,embassy,Germany,Berlin,,,http://www.zambiaembassy.de,http://www.wikidata.org/entity/Q16919108
,high commission,India,New Delhi,,,http://www.zambiahighcomdelhi.org,http://www.wikidata.org/entity/Q112671357
,embassy,Israel,Tel Aviv,,,,http://www.wikidata.org/entity/Q112110207
,embassy,Italy,Rome,,,http://www.zambianembassy.it,http://www.wikidata.org/entity/Q103951185
,embassy,Japan,Tokyo,,,,http://www.wikidata.org/entity/Q61877341
,high commission,Malaysia,Kuala Lumpur,,,http://www.zhckl.com.my,http://www.wikidata.org/entity/Q107642478
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q100274997
,embassy,Russia,Meshchansky District,,,,http://www.wikidata.org/entity/Q4472701
,embassy,Saudi Arabia,Riyadh,,,,http://www.wikidata.org/entity/Q68170162
,high commission,South Africa,Pretoria,,,http://www.zambiapretoria.net/,http://www.wikidata.org/entity/Q106731054
,embassy,Sweden,Solna Municipality,,,https://zambiaembassy.se/,http://www.wikidata.org/entity/Q18450406
,embassy,Switzerland,Geneva,,,http://www.zambianmission.ch,http://www.wikidata.org/entity/Q101019847
,embassy,Turkey,Ankara,,,https://www.zambiaembassy.org.tr/,http://www.wikidata.org/entity/Q111027588
,high commission,United Kingdom,London,,,,http://www.wikidata.org/entity/Q15378903
,embassy,United States of America,"Washington, D.C.",,,http://www.zambiaembassy.org/,http://www.wikidata.org/entity/Q5369919
