email,mission_type,host_country,city,address,phone,website,wikidata_qid
,embassy,Angola,Luanda,,,,http://www.wikidata.org/entity/Q106211762
,embassy,Australia,Canberra,,,http://zimembassycanberra.org.au,http://www.wikidata.org/entity/Q106512497
,embassy,Belgium,Woluwe-Saint-Lambert - Sint-Lambrechts-Woluwe,,,,http://www.wikidata.org/entity/Q70005212
,embassy,Brazil,Brasília,,,,http://www.wikidata.org/entity/Q105737153
,embassy,Canada,Ottawa,,,https://www.zimembassyottawa.com/,http://www.wikidata.org/entity/Q106824210
,embassy,Egypt,New Cairo,,,,http://www.wikidata.org/entity/Q112110236
,embassy,France,Paris,,,http://www.zimparis.gov.zw/,http://www.wikidata.org/entity/Q15952656
,embassy,Germany,Mitte,,,https://www.zimembassyberlin.com/,http://www.wikidata.org/entity/Q1591611
,embassy,India,New Delhi,,,http://zimbabweembassyinindia.com,http://www.wikidata.org/entity/Q112671368
,embassy,Indonesia,Jakarta,,,,http://www.wikidata.org/entity/Q107642526
,embassy,Italy,Rome,,,,http://www.wikidata.org/entity/Q103951993
,embassy,Japan,Tokyo,,,,http://www.wikidata.org/entity/Q61877349
,embassy,People's Republic of China,Beijing,,,,http://www.wikidata.org/entity/Q100275974
,embassy,Russia,Moscow,,,,http://www.wikidata.org/entity/Q4373997
,embassy,South Africa,Pretoria,,,,http://www.wikidata.org/entity/Q106731055
,embassy,Sweden,Lidingö Municipality,,,http://www.zimstockholm.gov.zw,http://www.wikidata.org/entity/Q18335158
,embassy,Turkey,Ankara,,,https://www.zimankara.org.tr,http://www.wikidata.org/entity/Q111039564
,embassy,United Kingdom,City of Westminster,,,,http://www.wikidata.org/entity/Q5369920
,embassy,United States of America,"Washington, D.C.",,,http://www.zimbabwe-embassy.us/,http://www.wikidata.org/entity/Q5369921
